Song Name,Lyrics
La Isla Bonita,"Como puede ser verdad
Last night I dreamt of San Pedro
Just like I'd never gone, I knew the song
A young girl with eyes like the desert
It all seems like yesterday, not far away
Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby
I fell in love with San Pedro
Warm wind carried on the sea, he called to me
Te dijo te amo
I prayed that the days would last
They went so fast
Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby
I want to be where the sun warms the sky
When it's time for siesta you can watch them go by
Beautiful faces, no cares in this world
Where a girl loves a boy, and a boy loves a girl
Last night I dreamt of San Pedro
It all seems like yesterday, not far away
Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby
Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby
La la la la la la la
Te dijo te amo
La la la la la la la
El dijo que te ama"
Frozen,"Mmm, if I could melt your heart
Mmm, if I could melt your heart
Okay, what's the addy?
All the lights are flashing
I'm surprised I barely made it, took two shots, I barely taste it
Red cups, I keep passing
Rolling peaks and valleys
Better focus, concentrating, took too much, I'm levitatin'
Open up the gates, I feel close enough to heaven
To go, to stay, to leave, to pray
C-cast out in the rain, guess they didn't like my confession
It's no mistake, I know it's just a bad religion
Whoa, whoa
Don't blow my high, don't calm me down
Don't text me back, don't call me now
Whoa, whoa
It's something in the water, yeah, I just came by to wash it down
Mmm (down, down), if I could melt your heart
Mmm (right, right, right, right), if I could melt your heart
Open up the gates, I feel close enough to heaven
To go, to stay, to leave, to pray
C-cast out in the rain, guess they didn't like my confession
It's no mistake, I know it's just a bad religion
Mmm (whoa, whoa)
Don't blow my high, don't calm me down
Don't text me back, don't call me now
Mmm (whoa, whoa)
It's something in the water, yeah, I just came by to wash it down
Mmm, if I could melt your heart
Mmm, we'd never be apart"
Material Girl,"Some boys kiss me
Some boys hug me
I think they're ok
If they don't give me proper credit
I just walk away
They can beg and they can plead
But they can't see the light (that's right)
'Cause the boy with the cold hard cash
Is always Mister Right
'Cause we are living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Some boys romance
Some boys slow dance
That's all right with me
If they can't raise my interest then I
Have to let them be
Some boys try and some boys lie but
I don't let them play (no way)
Only boys who save their pennies
Make my rainy day
'Cause we're living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material world
Boys may come and boys may go
And that's all right you see
Experience has made me rich
And now they're after me
'Cause everybody's living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
A material, a material, a material, a material world
Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material"
Like a Virgin,"I made it through the wilderness
Somehow I made it through
Didn't know how lost I was
Until I found you
I was beat
Incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel
Shiny and new (Hoo)
Like a virgin
Touched for the very first time
Like a virgin
When your heart beats
Next to mine
Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you
'Cause only love can last
You're so fine
And you're mine
Make me strong, yeah you make me bold
Oh your love thawed out
Yeah, your love thawed out
What was scared and cold
Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine
Whoa
Whoa, ah
Whoa
You're so fine
And you're mine
I'll be yours
'Til the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothing to hide
Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine
Like a virgin, oh oh
Like a virgin
Feels so good inside
When you hold me
And your heart beats
And you love me
Oh oh, oh
Oh oh oh"
Hung Up,"Time goes by so slowly for those who wait
No time to hesitate
Those who run seem to have all the fun
I'm caught up
I don't know what to do
Time goes by so slowly for those who wait
No time to hesitate
Those who run seem to have all the fun
I'm caught up
I don't know what to do
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
I don't know what to do
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
Ring, ring, ring goes the telephone
The lights are on but there's no one home
Tick tick tock, it's a quarter to two
And I'm done
I'm hanging up on you
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
I don't know what to do
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
I can't keep on waiting for you
I know that you're still hesitating
Don't cry for me
'Cause I'll find my way
You'll wake up one day
But it'll be too late
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you"
Papa Don't Preach,"Papa I know you're going to be upset
'Cause I was always your little girl
But you should know by now
I'm not a baby
You always taught me right from wrong
I need your help, daddy please be strong
I may be young at heart
But I know what I'm saying
The one you warned me all about
The one you said I could do without
We're in an awful mess
And I don't mean maybe, please
Papa don't preach I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby, hm
I'm gonna keep my baby, hm
He says that he's going to marry me
We can raise a little family
Maybe we'll be all right
It's a sacrifice
But my friends keep telling me to give it up
Saying I'm too young, I oughta live it up
What I need right now is some good advice, please
Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby, hm
I'm gonna keep my baby, ooh ooh
Daddy, daddy if you could only see
Just how good he's been treating me
You'd give us your blessing right now
'Cause we are in love
We are in love (in love), so please (so)
Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby, hm
I'm gonna keep my baby, ooh ooh
Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
Papa don't preach (Oh, I'm gonna keep my baby)
Papa don't preach (Ooh)
Papa don't preach (Don't stop loving me daddy)
Papa don't preach (I know I'm keeping my baby)"
Like a Prayer,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home
When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there
I hear your voice
It's like an angel sighing
I have no choice, I hear your voice
Feels like flying
I close my eyes
Oh God I think I'm falling
Out of the sky, I close my eyes
Heaven help me
When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there
Like a child
You whisper softly to me
You're in control just like a child
Now I'm dancing
It's like a dream
No end and no beginning
You're here with me it's like a dream
Let the choir sing
When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there
When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there
Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home
Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there
Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there
Your voice can take me there
Like a prayer
Just like a prayer
Just like a prayer, your voice can take me there
Just like a prayer
Just like a prayer, your voice can take me there"
Holiday,"Holiday
Celebrate
Holiday
Celebrate
If we took a holiday
Took some time to celebrate
Just one day out of life
It would be, it would be so nice
Everybody spread the word
We're gonna have a celebration
All across the world
In every nation
It's time for the good times
Forget about the bad times, oh yeah
One day to come together to release the pressure
We need a holiday
If we took a holiday
Took some time to celebrate (come on, let's celebrate)
Just one day out of life (holiday)
It would be, it would be so nice
You can turn this world around
And bring back all of those happy days
Put your troubles down
It's time to celebrate
Let love shine
And we will find
A way to come together, we can make things better
We need a holiday
If we took a holiday (holiday)
Took some time to celebrate (celebrate)
Just one day out of life (just one day)
It would be, it would be so nice
Holiday
Celebrate
Holiday
Celebrate
If we took a holiday (oh yeah, oh yeah)
Took some time to celebrate (come on, let's celebrate)
Just one day out of life (holiday)
It would be, it would be so nice
Holiday (ooh yeah, ooh yeah)
Celebrate (come on, let's celebrate)
Holiday (just one day out of life)
Celebrate"
The Power of Good-Bye,"Your heart is not open, so I must go
The spell has been broken, I loved you so
Freedom comes when you learn to let go
Creation comes when you learn to say no
You were my lesson I had to learn
I was your fortress you had to burn
Pain is a warning that something's wrong
I pray to God that it won't be long
Do ya wanna go higher?
There's nothing left to try
There's no place left to hide
There's no greater power
Than the power of goodbye
Your heart is not open, so I must go
The spell has been broken, I loved you so
You were my lesson I had to learn
I was your fortress
There's nothing left to lose
There's no more heart to bruise
There's no greater power
Than the power of goodbye
Learn to say goodbye
I yearn to say goodbye
There's nothing left to try
There's no more places to hide
There's no greater power
Than the power of goodbye
There's nothing left to lose
There's no more heart to bruise
There's no greater power
Than the power of goodbye"
True Blue,"Hey
What
Listen
I've had other guys
I've looked into their eyes
But I never knew love before
'Til you walked through my door
I've had other lips
I've sailed a thousand ships
But no matter where I go
You're the one for me, baby, this I know
'Cause it's
True love
You're the one I'm dreaming of
Your heart fits me like a glove
And I'm gonna be true blue, baby, I love you
I've heard all the lines
I've cried, oh-so many times
Those tear drops they won't fall again
I'm so excited 'cause you're my best friend
So if you should ever doubt
Wonder what love is all about
Just think back and remember, dear
Those words whispered in your ear, I said
True love
You're the one I'm dreaming of
Your heart fits me like a glove
And I'm gonna be true blue, baby, I love you
'Cause it's
True love (This time I know it's true love)
You're the one I'm dreaming of (The one I'm dreaming of)
Your heart fits me like a glove (Heart fits just like a glove)
And I'm gonna be true blue, baby, I love you
No more sadness, I kiss it goodbye
The sun is bursting right out of the sky
I searched the whole world for someone like you
Don't you know, don't you know that it's
True love, oh baby, true love, oh baby
True love, oh baby, true love
It's true love, oh baby, true love, oh baby
True love, oh baby, true love
It's true, so if you should ever doubt
Wonder what love is all about
Just think back and remember dear
Those words whispered in your ear, I said
No more sadness, I kiss it goodbye
The sun is bursting right out of the sky
I searched the whole world for someone like you
Don't you know, don't you know that it's
True love (This time I know it's true love)
You're the one I'm dreaming of (The one I'm dreaming of)
Your heart fits me like a glove (Heart fits just like a glove)
And I'm gonna be true blue, baby, I love you
I love you
This time I know it's true love (Love, love, love)
You're the one I'm dreaming of (Love, love, love)
Your heart fits just like a glove
And I'm gonna be true blue, baby, I love you
'Cause it's
True love, oh baby, true love, oh baby
True love, oh baby, true love
It's, true love, oh baby, true love, oh baby
True love, oh baby, true love
It's true love baby
(Love, love, love)
True love, true love"
