Song Name,Lyrics
Billie Jean,"She was more like a beauty queen from a movie scene
I said don't mind, but what do you mean, I am the one
Who will dance on the floor in the round?
She said I am the one, who will dance on the floor in the round
She told me her name was Billie Jean, as she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the round
People always told me be careful of what you do
And don't go around breaking young girls' hearts
And mother always told me be careful of who you love
And be careful of what you do 'cause the lie becomes the truth
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my son
For forty days and forty nights
The law was on her side
But who can stand when she's in demand
Her schemes and plans
'Cause we danced on the floor in the round
So take my strong advice, just remember to always think twice
(Do think twice, do think twice)
She told my baby we'd danced 'til three, then she looked at me
Then showed a photo my baby cried his eyes were like mine (oh, no)
'Cause we danced on the floor in the round, baby
People always told me be careful of what you do
And don't go around breaking young girls' hearts
She came and stood right by me
Just the smell of sweet perfume
This happened much too soon
She called me to her room
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my son
She says I am the one, but the kid is not my son
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my son
She says I am the one
You know what you did, (she says he is my son) breaking my heart babe
She says I am the one
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover (don't Billie Jean)
Billie Jean is not my lover
Billie Jean is not my lover"
Smooth Criminal - 2012 Remaster,"As he came into the window was a sound of a crescendo
He came into her apartment, he left the bloodstains on the carpet
She ran underneath the table, he could see she was unable
So she ran into the bedroom, she was struck down
It was her doom
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
Will you tell us that you're okay?
There's a sound at the window
Then he struck you, a crescendo, Annie
He came into your apartment
Left the bloodstains on the carpet
And then you ran into the bedroom
You were struck down
It was your doom
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
You've been hit by
You've been hit by
A smooth criminal
So they came in to the out way
It was Sunday, what a black day
Mouth-to-mouth resuscitation
Sounding heartbeats, intimidations
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
Annie, are you okay? (Annie, are you okay?)
So, Annie, are you okay? (Annie, are you okay?)
Are you okay, Annie?
Annie, are you okay? (Annie, are you okay?)
So, Annie, are you okay? (Annie, are you okay?)
Are you okay, Annie?
Annie, are you okay?
So, Annie, are you okay?
Are you okay, Annie?
Annie, are you okay?
Will you tell us that you're okay?
There's a sound at the window
Then he struck you, a crescendo, Annie
He came into your apartment
Left the bloodstains on the carpet
And then you ran into the bedroom
You were struck down
It was your doom
Annie, are you okay?
So, Annie, are you okay? Are you okay, Annie?
You've been hit by
You've been struck by
A smooth criminal
Annie, are you okay? (I don't know)
Will you tell us that you're okay? (I don't know)
There's a sound at the window (I don't know)
Then he struck you, a crescendo, Annie (I don't know)
He came into your apartment (I don't know)
Left the bloodstains on the carpet (I don't know why, baby)
And then you ran into the bedroom (help me)
You were struck down
It was your doom, Annie (dag gone it)
Annie, are you okay? (Dag gone it, baby)
Will you tell us that you're okay? (I don't know)
There's a sound at the window (dag gone it)
Then he struck you, a crescendo, Annie (whoo, whoo!)
He came into your apartment (dag gone it)
Left the bloodstains on the carpet (whoo!)
And then you ran into the bedroom
You were struck down (dag gone it)
It was your doom, Annie (ow!)"
Beat It,"They told him, ""Don't you ever come around here""
""Don't wanna see your face, you better disappear""
The fire's in their eyes and their words are really clear
So beat it, just beat it
You better run, you better do what you can
Don't wanna see no blood, don't be a macho man
You wanna be tough, better do what you can
So beat it, but you wanna be bad
Just beat it (beat it), beat it (beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (beat it)
Just beat it (beat it)
Just beat it (beat it)
Just beat it (beat it, uh)
They're out to get you, better leave while you can
Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it
You have to show them that you're really not scared
You're playin' with your life, this ain't no truth or dare
They'll kick you, then they'll beat you
Then they'll tell you it's fair
So beat it, but you wanna be bad
Just beat it (beat it), beat it (beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (beat it), beat it (beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (beat it, beat it, beat it)
Beat it (beat it, beat it)
Beat it (beat it, beat it)
Beat it (beat it, beat it)
Beat it (beat it, beat it)
Beat it (beat it), beat it (beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right (who's right)
Just beat it (beat it), beat it (beat it)
No one wants to be defeated (no one)
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (beat it), beat it (beat it)
No one wants to be defeated (oh, no)
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (beat it), beat it (beat it)
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (beat it), beat it (beat it)"
Thriller,"It's close to midnight
Something evil's lurking in the dark
Under the moonlight
You see a sight that almost stops your heart
You try to scream
But terror takes the sound before you make it
You start to freeze
As horror looks you right between the eyes
You're paralyzed
'Cause this is thriller, thriller night
And no one's gonna save you
From the beast about to strike
You know it's thriller, thriller night
You're fighting for your life inside a killer, thriller, ow
I'm gonna thrill you tonight
Darkness falls across the land
The midnight hour is close at hand
Creatures crawl in search of blood
To terrorize y'all's neighborhood (I'm gonna thrill you tonight)
And whosoever shall be found
Without the soul for getting down
Must stand and face the hounds of hell
And rot inside a corpse's shell
I'm gonna thrill you tonight (thriller night, babe)
The foulest stench's in the air
The funk of forty thousand years
And grizzly ghouls from every tomb (I'm gonna thrill you tonight)
Are closing in to seal your doom (oh, yeah)
And though you fight to stay alive
Your body starts to shiver
For no mere mortal can resist
The evil of the thriller
'Cause this is thriller, thriller night
There ain't no second chance against the thing with 40 eyes, girl
Thriller, thriller night
You're fighting for your life inside a killer, thriller
'Cause this is thriller, thriller night
'Cause I can thrill you more than any ghoul would ever dare try
Thriller (ooh-ooh), thriller night
So let me hold you tight and share a
Killer, thriller, killer, thriller here tonight
'Cause this is thriller, thriller night
Girl, I can thrill you more than any ghoul would ever dare try
Thriller (ooh-ooh), thriller night
So let me hold you tight and share a killer, thriller, ow"
The Way You Make Me Feel - 2012 Remaster,"Hee hee
Ooh
Go on, girl
Ow
Hee
Hey, pretty baby with the high heels on
You give me fever like I've never ever known
You're just a product of loveliness
I like the groove of your walk, your talk, your dress
I feel your fever from miles around
I'll pick you up in my car and we'll paint the town
Just kiss me baby and tell me twice
That you're the one for me
The way you make me feel (The way you make me feel)
You really turn me on (You really turn me on)
You knock me off of my feet (You knock me off of my feet)
My lonely days are gone (My lonely days are gone)
I like the feelin' you're givin' me
Just hold me, baby, and I'm in ecstasy
Oh, I'll be workin' from nine to five
To buy you things to keep you by my side
I never felt so in love before
Just promise, baby, you'll love me forevermore
I swear I'm keepin' you satisfied
'Cause you're the one for me
The way you make me feel (The way you make me feel)
You really turn me on (You really turn me on)
You knock me off of my feet now, baby (You knock me off of my feet)
My lonely days are gone (My lonely days are gone)
Go on, girl!
Go on!
Hee hee, oww!
Go on, girl!
I never felt so in love before
Promise, baby, you'll love me forevermore
I swear I'm keepin' you satisfied
'Cause you're the one for me
The way you make me feel (The way you make me feel)
You really turn me on (You really turn me on)
You knock me off of my feet now, baby (You knock me off of my feet)
My lonely days are gone (My lonely days are gone)
The way you make me feel (The way you make me feel)
You really turn me on (You really turn me on)
You knock me off of my feet now, baby (You knock me off of my feet)
My lonely days are gone (My lonely days are gone)
Ain't nobody's business (The way you make me feel)
Ain't nobody's business
Ain't nobody's business (You really turn me on)
Ain't nobody's business but mine and my baby (You knock me off of my feet)
Ooh! (My lonely days are gone)
Give it to me (The way you make me feel)
Give me some time
Come on, be my girl (You really turn me on)
I want you to be mine
Ain't nobody's business (You knock me off of my feet)
Ain't nobody's business but mine and my baby (My lonely days are gone)
Go on, girl! Ow!
Hee hee! Ooh!
Chika, chika
Chika, chika, chika
Go on, girl!
The way you make me feel
You really turn me on
You knock me off of my feet
My lonely days are gone
Give it to me (The way you make me feel)
Give me some time
Come on, be my girl (You really turn me on)
I want you to be mine
Ain't nobody's business (You knock me off of my feet)
Ain't nobody's business but mine and my baby (My lonely days are gone)
Go on girl!
Give it to me (The way you make me feel)
Give me some time
Come on, be my girl (You really turn me on)
I want you to be mine"
They Don't Care About Us,"All I want to say is that they don't really care about us
Don't worry what people say, we know the truth
All I want to say is that they don't really care about us
Enough is enough of this garbage
All I want to say is that they don't really care about us
Skin head, dead head
Everybody gone bad
Situation aggravation
Everybody, allegation
In the suite on the news
Everybody, dog food
Bang-bang, shock dead
Everybody's gone mad
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
Beat me, hate me
You can never break me
Will me, thrill me
You can never kill me
Jew me, sue me
Everybody, do me
Kick me, kike me
Don't you black or white me
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
Tell me what has become of my life
I have a wife and two children who love me
I'm a victim of police brutality, now (Mhhm)
I'm tired of bein' the victim of hate
Your rapin' me of my pride
Oh, for God's sake
I look to heaven to fulfill its prophecy...
Set me free
Skin head, dead head
Everybody, gone bad
Trepidation speculation
Everybody, allegation
In the suite on the news
Everybody, dog food
Black man, black mail
Throw the brother in jail
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
Tell me what has become of my rights
Am I invisible 'cause you ignore me?
Your proclamation promised me free liberty, now
I'm tired of bein' the victim of shame
They're throwin' me in a class with a bad name
I can't believe this is the land from which I came
You know I really do hate to say it
The government don't wanna see
But it Roosevelt was livin', he wouldn't let this be, no, no
Skinhead, deadhead
Everybody, gone bad
Situation, speculation
Everybody, litigation
Beat me, bash me
You can never trash me
Hit me, kick me
You can never get me
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
Some things in life they just don't wanna see (Ah)
But if Martin Luther was livin'
He wouldn't let this be, no, no
Skinhead, deadhead (Yeah, yeah)
Everybody's gone bad
Situation, segregation (Woo-hoo)
Everybody, allegation
In the suite on the news
Everybody dog food (Woo-ho)
Kick me, kike me
Don't you wrong or right me
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us
All I wanna say is that they don't really care about us"
Don't Stop 'Til You Get Enough,"You know, I was
I was wondering, you know
If you could keep on
Because the force
It's got a lot of power
And it make me feel like, ah
It make me feel like, ooh
Lovely is the feelin' now
Fever, temperatures risin' now
Power (oh power) is the force, the vow
That makes it happen, it asks no questions why (ooh)
So get closer (closer now)
To my body now
Just love me
'Til you don't know how (ooh)
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Touch me and I feel on fire
Ain't nothin' like a love desire (ooh)
I'm melting (I'm melting)
Like hot candle wax
Sensation (oh sensation)
Lovely where we're at (ooh)
So let love take us through the hours
I won't be complainin' (ooh)
'Cause this is love power (ooh)
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Heartbreak enemy despise
Eternal (oh, eternal)
Love shines in my eyes
So let love take us through the hours
I won't be complainin'
'Cause your love is alright, alright
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop (don't stop, babe)
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough (oh, my baby)
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough
Lovely is the feeling now
I won't be complaining
The force is love power
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop (don't stop, darlin')
Don't stop 'til you get enough
Keep on, with the force, don't stop (go crazy, baby)
Don't stop 'til you get enough
Keep on, with the force, don't stop (keep on, now)
Don't stop 'til you get enough
Keep on, with the force, don't stop (keep on, darlin')
Don't stop 'til you get enough
Keep on, with the force, don't stop (love power, yeah)
Don't stop 'til you get enough
Keep on, with the force, don't stop (keep on, darlin')
Don't stop 'til you get enough
Keep on, with the force, don't stop (don't, no, no)
Don't stop 'til you get enough (keep up the power, yeah, ooh)
Keep on, with the force, don't stop
Don't stop 'til you get enough ('til you get enough, now)
Keep on, with the force, don't stop
Don't stop 'til you get enough (ooh)
Keep on, with the force, don't stop (yeah)
Don't stop 'til you get enough (oh, no)
Keep on, with the force, don't stop (yeah)
Don't stop 'til you get enough (keep on, baby)
Keep on, with the force, don't stop
Don't stop 'til you get enough (oh, 'til you get enough)
Keep on, with the force, don't stop
Don't stop 'til you get enough
Keep on, with the force, don't stop (keep on, darlin')
Don't stop 'til you get enough
Keep on, with the force, don't stop (oh, no)
Don't stop 'til you get enough
Keep on, with the force, don't stop
Don't stop 'til you get enough"
Remember the Time,"I don't know, bet you wanna try
Every time you see
Do you remember
When we fell in love?
We were young and innocent then
Do you remember
How it all began?
It just seemed like heaven, so why did it end?
Do you remember
Back in the fall?
We'd be together all day long
Do you remember
Us holding hands?
In each other's eyes, we'd stare
Tell me
Do you remember the time
When we fell in love?
Do you remember the time
When we first met, girl?
Do you remember the time
When we fell in love?
Do you remember the time
Do you remember
How we used to talk?
You know
We'd stay on the phone at night 'til dawn
Do you remember
All the things we said?
Like, I love you so, I'll never let you go
Do you remember
Back in the Spring?
Every morning birds would sing
Do you remember
Those special times?
They'll just go on and on
In the back of my mind
Do you remember the time
When we fell in love?
Do you remember the time
When we first met, girl?
Do you remember the time
When we fell in love?
Do you remember the time
Those sweet memories
Will always be dear to me
And girl, no matter what was said
I will never forget what we had
Now baby
Do you remember the time
When we fell in love?
Do you remember the time
When we first met, girl?
Do you remember the time (oh, I)
When we fell in love?
Do you remember the time
(Remember, my baby)
Do you remember the time ('cause I remember)
When we fell in love?
Do you remember the time
(All in my mind, girl)
Do you remember the time (oh, I)
When we fell in love?
Do you remember the time
(Remember, my baby)
Remember the time
Woo
Remember the time
Do you remember, girl?
Remember the time
On the phone, you and me
Remember the time?
'Til dawn, two or three
What about us, girl?
Remember the time
Do you, do you, do you, do you, do you
Remember the time
In the park, on the beach
Remember the time
You and me in Spain
What about, what about
Remember the time
Remember the time
Ooh, in the park
Remember the time
After dark
Do you, do you, do you
Remember the time
Do you, do you, do you, do you
Remember the time
Yeah, yeah, woo
Remember the time"
P.Y.T. (Pretty Young Thing),"You know you, you make me feel so good inside
I always wanted a girl just like you
Such a P.Y.T., Pretty Young Thing, ooh
Where did you come from, lady?
And, ooh, won't you take me there
Right away, won't you, baby?
Tenderoni, you've got to be
Spark my nature, sugar fly with me
Don't you know now is the perfect time?
We can make it right, hit the city lights
Then tonight, ease the loving pain
Let me take you to the max
I want to love you (P.Y.T.)
Pretty young thing
You need some loving (T.L.C.)
Tender love and care
And I'll take you there, girl, ooh-oh
I want to love you (P.Y.T.)
Pretty young thing
You need some loving (T.L.C.)
Tender love and care
And I'll take you there
(Anywhere you want to go) yes, I will, ooh!
Nothing can stop this burning desire to be with you
Got to get to you, baby
Won't you come, it's emergency
Cool my fire yearning
Honey, come set me free
Don't you know now is the perfect time?
We can dim the lights, just to make it right
In the night, hit the loving spot
I'll give you all that I've got
I want to love you (P.Y.T.)
Pretty young thing
You need some loving (T.L.C.)
Tender love and care
And I'll take you there, yes, I will, yes, I will
I want to love you (P.Y.T.)
Pretty young thing
You need some loving (T.L.C.)
Tender love and care
And I'll take you there
Yes, I will, hee-eh
Pretty young things, repeat after me
Sing, ""na-na-na"" (Na-na-na)
""Na-na-na-na"" (Na-na-na-na)
Sing, ""na-na-na"" (Na-na-na)
""Na-na-na-na"" (Na-na-na-na)
I will take you there, take you there
I want to love you (P.Y.T.)
Pretty young thing
You need some loving (T.L.C.)
Tender love and care
And I'll take you there, take you there, take you there
I want to love you (P.Y.T.)
Pretty young thing
You need some loving (T.L.C.)
Tender love and care
And I'll take you there, take you there, hoo-ooh
Hoo-ooh! (P.Y.T.)
Oh, baby (T.L.C)
Oh, baby
Hold on, ooh-ooh
You know, I think you're really nice (P.Y.T.)
You and I could've just put together (T.L.C)
You're such a P.Y.T. to me, pretty young thing
Oh, baby, oh, baby, hold on (P.Y.T.)
Oh, baby (T.L.C)
You can be, oh
I just wanna love you, you know, it's
I'd give you all"
Bad - 2012 Remaster,"Ah, your butt is mine, gon' tell you right, ah
Just show your face in broad daylight, ah
I'm tellin' you on who I feel, ah
Gonna hurt your mind, don't shoot to kill
Shamone, ah, shamone
Lay it on me, ah, alright
Ah, I'm givin' you on count to three, ah
Just show your stuff or let it be, ah
I'm tellin' you, just watch your mouth, ah
I know your game, what you're about
Well, they say the sky's the limit
And to me that's really true, ah
But, my friend, you have seen nothin'
Just wait 'til I get through
Because I'm bad, I'm bad, shamone (bad, bad, really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it (really, really bad)
You know I'm bad, I'm bad (bad, bad)
Shamone, you know (really, really bad)
And the whole world has to answer right now
Just to tell you once again
Who's bad?
The word is out, you're doin' it wrong, ah
Gon' lock you up before too long, ah
Your lyin' eyes gon' tell you right, ah
So listen up, don't make a fight, ah
Your talk is cheap, you're not a man, ah
You're throwin' stones to hide your hands
Well, they say the sky's the limit
And to me that's really true, ah
But, my friend, you have seen nothin'
Just wait 'til I get through
Because I'm bad, I'm bad, shamone (bad, bad, really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it (really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it, you know (really, really bad)
And the whole world has to answer right now
Just to tell you once again
Who's bad?
We can change the world tomorrow
This could be a better place, ah
If you don't like what I'm sayin'
Then won't you slap my face?
Because I'm bad, I'm bad, shamone (bad, bad, really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it (really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it, you know (really, really bad)
And the whole world has to answer right now (hoo, hoo)
Just to tell you once again (hoo)
You know I'm bad, I'm bad, shamone (bad, bad, really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it, you know it (really, really bad)
You know, you know (bad, bad)
You know, shamone (really, really bad)
And the whole world has to answer right now
Just to tell you once again
You know I'm smooth, I'm bad, you know it (bad, bad, really, really bad)
You know I'm bad, I'm bad (bad, bad, really, really bad)
You know, you know, you know it, come on (bad, bad, really, really bad)
And the whole world has to answer right now (hoo)
Just to tell you once again (hoo)
You know I'm bad, I'm bad, you know it (bad, bad, really, really bad)
You know I'm bad, you know, woo (bad, bad, really, really bad)
You know I'm bad, I'm bad (bad, bad)
You know it, you know (really, really bad)
And the whole world has to answer right now
Just to tell you once again
Who's bad?"
