Song Name,Lyrics
Kiss It Better,"Kiss it, kiss it better, baby
Kiss it, kiss it better, baby
Been waiting on that sunshine
Boy, I think I need that back
Can't do it like that
No one else gonna get it like that
So I argue, you yell, had to take me back
Who cares when it feels like crack?
Boy you know that you always do it right
Man, fuck your pride, just take it on back, boy
Take it on back boy, take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurting bad man, and it hurts inside when I look you in your eye
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
Been waiting on that sunshine
Boy, I think I need that back
Can't do it like that
No one else gonna get it like that
So I argue, you yell, had to take me back
Who cares when it feels like crack?
Boy, you know that you always do it right
Man, fuck your pride, just take it on back, boy
Take it on back boy, take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurting bad man, and it hurts inside when I look you in your eye
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
I've been waiting up all night
Baby, tell me what's wrong
Go on and make it right
Make it all night long
I've been waiting up all night
Baby, tell me what's wrong
Go on and make it right
Make it all night long
Man, fuck your pride, just take it on back, boy
Take it on back boy, take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurting bad man, and it hurts inside when I look you in your eye
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better, baby
What are you willing to do?
Oh, tell me what you're willing to do?
Kiss it, kiss it better baby"
Umbrella,"Uh huh, uh huh
Yeah, Rihanna
Uh huh, uh huh
Good girl gone bad
Uh huh, uh huh
Take three, action
Uh huh, uh huh, Hov
No clouds in my stones
Let it rain, I hydroplane in the bank
Comin' down at the Dow Jones
When the clouds come, we gone
We Rocafella
We fly higher than weather
In G5s or better
You know me
In anticipation for precipitation stack chips for the rainy day
Rain Man is back with little Ms. Sunshine
Rihanna, where you at?
You have my heart, and we'll never be worlds apart
Maybe in magazines, but you'll still be my star
Baby, 'cause in the dark
You can't see shiny cars
And that's when you need me there
With you I'll always share
Because
When the sun shines, we'll shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out 'til the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh, eh
These fancy things will never come in between
You're part of my entity, here for infinity
When the world has took its part
When the world has dealt its cards
If the hand is hard, together we'll mend your heart
Because
When the sun shines, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out 'til the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh, eh
You can run into my arms
It's okay, don't be alarmed
Come into me
(There's no distance in between our love)
So gon' and let the rain pour
I'll be all you need and more
Because
When the sun shines, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out 'til the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh, eh
It's raining, raining
Ooh, baby, it's raining, raining
Baby, come into me
Come into me
It's raining, raining
Ooh, baby, it's raining, raining
You can always come into me
Come into me
It's pouring rain
It's pouring rain
Come into me
Come into me
It's pouring rain
It's pouring rain"
We Found Love,"Yellow diamonds in the light
Now we're standing side by side
As your shadow crosses mine
What it takes to come alive
It's the way I'm feeling I just can't deny
But I've gotta let it go
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
Shine a light through an open door
Love and life I will divide
Turn away 'cause I need you more
Feel the heartbeat in my mind
It's the way I'm feeling I just can't deny
But I've gotta let it go
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
Yellow diamonds in the light
Now we're standing side by side
As your shadow crosses mine (mine, mine, mine)
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place"
Don't Stop The Music,"Please don't stop the music (music, music, music, music)
Please don't stop the music (music, music, music, music)
Please don't stop the music (music, music, music, music)
Please don't stop the music (music, music, music, music)
It's gettin' late, I'm making my way over to my favorite place
I gotta get my body moving, shake the stress away
I wasn't looking for nobody when you looked my way
Possible candidate, yeah
Who knew that you'd be up in here lookin' like you do?
You're making stayin' over here impossible
Baby, I'ma say your aura is incredible
If you don't have to go, don't
Do you know what you started? I just came here to party
But now we're rockin' on the dance floor, actin' naughty
Your hands around my waist, just let the music play
We're hand in hand, chest to chest, and now we're face to face
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the, please don't stop the music
Baby, are you ready? 'Cause it's getting close
Don't you feel the passion ready to explode?
What goes on between us, no one has to know
This is a private show, oh
Do you know what you started? I just came here to party
But now we're rockin' on the dance floor, actin' naughty
Your hands around my waist, just let the music play
We're hand in hand, chest to chest, and now, we're face to face
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the, please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music (music, music, music, music)
Please don't stop the music (music, music, music, music)
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away
Let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the, please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music (music, music, music, music)"
Where Have You Been,"I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long
I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe
Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd
Yeah, yeah, yeah, yeah
Yeah, yeah (oh), yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Where have you been
All my life? All my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long
I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, baby
Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd
Yeah, yeah, yeah, yeah
Yeah, yeah (oh), yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Where have you been
All my life? All my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
You can have me all you want
Any way, any day
Just show me where you are tonight
Yeah, yeah, yeah (ohh), yeah
Yeah, yeah, yeah, yeah, yeah, yeah (yeah-yeah)
Yeah, yeah, yeah, yeah (ohh)
Yeah, yeah, yeah, yeah, yeah, yeah
I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long
I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe"
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Unavailable
Love On The Brain,"And you got me like, oh
What you want from me? (What you want from me?)
And I tried to buy your pretty heart, but the price too high
Baby you got me like, oh, mm
You love when I fall apart (fall apart)
So you can put me together
And throw me against the wall
Baby you got me like ah, woo, ah
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Oh, and baby I'm fist fighting with fire
Just to get close to you
Can we burn something, babe?
And I run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (feeling this way)
It beats me black and blue but it fucks me so good
And I can't get enough
Must be love on the brain yeah
And it keeps cursing my name (cursing my name)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain
Baby, keep loving me
Just love me, yeah
Just love me
All you need to do is love me, yeah
Got me like ah-ah-ah-ow
I'm tired of being played like a violin
What do I gotta do to get in your motherfuckin' heart?
Baby like ah, woo, ah
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Oh, and babe I'm fist fighting with fire
Just to get close to you
Can we burn something, babe?
And I run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (feeling this way)
It beats me black and blue but it fucks me so good
And I can't get enough
Must be love on the brain
And it keeps cursing my name (cursing my name)
No matter what I do
I'm no good without you
And I can't get enough
Must be love on the brain"
Love The Way You Lie,"Just gonna stand there and watch me burn?
Well, that's alright, because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's alright, because I love the way you lie
I love the way you lie
I can't tell you what it really is
I can only tell you what it feels like
And right now, there's a steel knife in my windpipe
I can't breathe, but I still fight while I can fight
As long as the wrong feels right, it's like I'm in flight
High off of love, drunk from her hate
It's like I'm huffing paint and I love her, the more I suffer
I suffocate and right before I'm about to drown
She resuscitates me, she fucking hates me
And I love it, ""Wait
Where you going?"" ""I'm leaving you""
""No you ain't, come back""
We're running right back, here we go again
It's so insane 'cause when it's going good, it's going great
I'm Superman, with the wind at his back, she's Lois Lane
But when it's bad, it's awful
I feel so ashamed, I snapped, ""Who's that dude?""
I don't even know his name, I laid hands on her
I'll never stoop so low again, I guess I don't know my own strength
Just gonna stand there and watch me burn?
Well, that's alright, because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's alright, because I love the way you lie
I love the way you lie
I love the way you lie
You ever love somebody so much you can barely breathe when you're with 'em?
You meet, and neither one of you, even know what hit 'em
Got that warm fuzzy feeling, yeah, them chills, used to get 'em
Now you're getting fucking sick of looking at 'em
You swore you've never hit 'em, never do nothing to hurt 'em
Now you're in each other's face
Spewing venom in your words when you spit 'em
You push, pull each other's hair, scratch, claw, bit 'em
Throw 'em down, pin 'em, so lost in the moments when you're in 'em
It's the rage that took over, it controls you both
So they say you're best to go your separate ways
Guess that they don't know ya 'cause today, that was yesterday
Yesterday is over, it's a different day
Sound like broken records playin' over
But you promised her, next time you'll show restraint
You don't get another chance, life is no Nintendo game
But you lied again
Now you get to watch her leave out the window
Guess that's why they call it window pane
Just gonna stand there and watch me burn?
Well, that's alright, because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's alright, because I love the way you lie
I love the way you lie
I love the way you lie
Now I know we said things, did things that we didn't mean
Then we fall back into the same patterns
Same routine, but your temper's just as bad as mine is
You're the same as me, when it comes to love, you're just as blinded
Baby, please come back, it wasn't you
Baby, it was me, maybe our relationship isn't as crazy as it seems
Maybe that's what happens when a tornado meets a volcano
All I know is I love you too much to walk away though
Come inside, pick up your bags off the sidewalk
Don't you hear sincerity in my voice when I talk?
Told you this is my fault, look me in the eyeball
Next time I'm pissed, I'll aim my fist at the drywall
Next time? There won't be no next time
I apologize, even though I know it's lies
I'm tired of the games, I just want her back, I know I'm a liar
If she ever tries to fucking leave again
I'm a tie her to the bed and set this house on fire
Just gonna stand there and watch me burn?
Well, that's alright, because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's alright, because I love the way you lie
I love the way you lie
I love the way you lie"
This Is What You Came For,"Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh
Ooh
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh
Ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
Ooh
We go fast with the game we play
Who knows why it's gotta be this way
We say nothin' more than we need
I say, ""Your place"", when we leave
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh
Ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
Ooh
Baby, this is what you came for
Lightning strikes every time she moves
Yeah
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh
Ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
You, ooh, ooh, you, ooh, ooh
Ooh"
Stay,"All along it was a fever
A cold sweat, hot headed believer
I threw my hands in the air, said, ""Show me something""
He said, ""If you dare, come a little closer""
Round and around and around and around we go
Oh, now tell me now, tell me now, tell me now you know
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
I want you to stay
It's not much of a life you're living
It's not just something you take, it's given
Round and around and around and around we go
Oh, now tell me now, tell me now, tell me now you know
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
And I want you to stay
Ooh, the reason I hold on
Ooh, 'cause I need this hole gone
Well, funny you're the broken one
But I'm the only one who needed saving
'Cause when you never see the light
It's hard to know which one of us is caving
Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
I want you to stay
Stay
I want you to stay
Ooh"
