Song Name,Lyrics
Lavender Haze,"Meet me at midnight
(Ooh, ooh, ooh, whoa whoa whoa whoa whoa)
Staring at the ceiling with you
Oh, you don't ever say too much
And you don't really read into
My melancholia
I've been under scrutiny (yeah, oh yeah)
You handle it beautifully (yeah, oh yeah)
All this shit is new to me (yeah, oh yeah)
I feel a lavender haze creeping up on me
So real, I'm damned if I do give a damn what people say
No deal, the 1950s shit they want from me
I just wanna stay in that lavender haze
(Ooh, ooh, whoa whoa whoa whoa whoa)
All they keep asking me (all they keep asking me)
Is if I'm gonna be your bride
The only kind of girl they see (the only kind of girl they see)
Is a one night or a wife
I find it dizzying (yeah, oh yeah)
They're bringing up my history (yeah, oh yeah)
But you aren't even listening (yeah, oh yeah)
I feel a lavender haze creeping up on me
So real, I'm damned if I do give a damn what people say
No deal, the 1950s shit they want from me
I just wanna stay in that lavender haze (ooh, ooh, whoa whoa whoa whoa whoa)
That lavender haze
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk (get it off my desk)
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk
I feel (I feel) a lavender haze creeping up on me
So real, I'm damned if I do give a damn what people say
No deal (no deal), the 1950s shit they want from me
I just wanna stay in that lavender haze
(Ooh, ooh, whoa whoa whoa whoa whoa)
Get it off your chest
Get it off my desk
That lavender haze
I just wanna stay
I just wanna stay
In that lavender haze"
Maroon,"When the morning came we were cleaning incense off your vinyl shelf
'Cause we lost track of time again
Laughing with my feet in your lap
Like you were my closest friend
How'd we end up on the floor anyway? You say
""Your roommate's cheap-ass screw-top rosé, that's how""
I see you every day now
And I chose you
The one I was dancin' with
In New York, no shoes
Looked up at the sky and it was
The burgundy on my T-shirt when you splashed your wine into me
And how the blood rushed into my cheeks, so scarlet, it was
The mark you saw on my collarbone, the rust that grew between telephones
The lips I used to call home, so scarlet, it was maroon
When the silence came, we were shaking blind and hazy
How the hell did we lose sight of us again?
Sobbin' with your head in your hands
Ain't that the way shit always ends?
You were standing hollow-eyed in the hallway
Carnations you had thought were roses, that's us
I feel you no matter what
The rubies that I gave up
And I lost you
The one I was dancin' with
In New York, no shoes
Looked up at the sky and it was maroon
The burgundy on my T-shirt when you splashed your wine into me
And how the blood rushed into my cheeks, so scarlet, it was (maroon)
The mark you saw on my collarbone, the rust that grew between telephones
The lips I used to call home, so scarlet, it was (maroon)
And I wake with your memory over me
That's a real fucking legacy, legacy (it was maroon)
And I wake with your memory over me
That's a real fucking legacy to leave
The burgundy on my T-shirt when you splashed your wine into me
And how the blood rushed into my cheeks, so scarlet (it was maroon)
The mark you saw on my collarbone, the rust that grew between telephones
The lips I used to call home, so scarlet (it was maroon)
It was maroon
It was maroon"
Anti-Hero,Unavailable
Snow On The Beach (feat. Lana Del Rey),"One night a few moons ago
I saw flecks of what could've been lights
But it might just have been you
Passing by unbeknownst to me
Life is emotionally abusive
And time can't stop me quite like you did
And my flight was awful, thanks for asking
I'm unglued, thanks to you
And it's like snow at the beach
Weird but fucking beautiful
Flying in a dream, stars by the pocketful
You wanting me tonight feels impossible
But it's coming down, no sound, it's all around
Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, oh, oh oh
This scene feels like what I once saw on a screen
I searched aurora borealis green
I've never seen someone live from within
Blurring out my periphery
My smile is like I won a contest
And to hide that would be so dishonest
And it's fine to fake it 'til you make it
'Til you do, 'til it's true
Now it's like snow at the beach
Weird but fucking beautiful
Flying in a dream, stars by the pocketful
You wanting me tonight feels impossible
But it's coming down, no sound, it's all around
Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, oh, oh oh
I can't speak afraid to jinx it
I don't even dare to wish it
But your eyes are flying saucers from another planet
Now I'm All For You like Janet
Can this be a real thing? Can it?
Are we falling like snow at the beach?
Weird but fucking beautiful
Flying in a dream, stars by the pocketful
You wanting me tonight feels impossible
But it's coming down, no sound, it's all around
Like snow on the beach (snow on the beach)
Like snow on the beach (are we in a dream?)
Like snow on the beach (you want me)
Like snow (like snow)
But it's coming down, no sound, it's all around
Like snow on the beach (it's coming down, it's coming down)
(It's coming down, it's coming down)
Like snow on the beach
(It's coming down, it's coming down, it's coming down, it's coming down)
(It's coming down, it's coming down, it's coming down, it's coming down)
(Coming down, it's coming down, it's coming down, it's coming down)"
"You're On Your Own, Kid","Summer went away
Still, the yearning stays
I play it cool with the best of them
I wait patiently
He's gonna notice me
It's okay, we're the best of friends
Anyway
I hear it in your voice
You're smoking with your boys
I touch my phone as if it's your face
I didn't choose this town
I dream of getting out
There's just one who could make me stay
All my days
From sprinkler splashes to fireplace ashes
I waited ages to see you there
I search the party of better bodies
Just to learn that you never cared
You're on your own, kid
You always have been
I see the great escape
So long, Daisy May
I picked the petals, he loves me not
Something different bloomed
Writing in my room
I play my songs in the parking lot
I'll run away
From sprinkler splashes to fireplace ashes
I called a taxi to take me there
I search the party of better bodies
Just to learn that my dreams aren't rare
You're on your own, kid
You always have been
From sprinkler splashes to fireplace ashes
I gave my blood, sweat, and tears for this
I hosted parties and starved my body
Like I'd be saved by a perfect kiss
The jokes weren't funny, I took the money
My friends from home don't know what to say
I looked around in a blood-soaked gown
And I saw something they can't take away
'Cause there were pages turned with the bridges burned
Everything you lose is a step you take
So make the friendship bracelets
Take the moment and taste it
You've got no reason to be afraid
You're on your own, kid
Yeah, you can face this
You're on your own, kid
You always have been"
Midnight Rain,"Rain, he wanted it comfortable
I wanted that pain
He wanted a bride
I was making my own name
Chasing that fame
He stayed the same
All of me changed like midnight
My town was a wasteland
Full of cages, full of fences
Pageant queens and big pretenders
But for some, it was paradise
My boy was a montage
A slow-motion, love potion
Jumping off things in the ocean
I broke his heart 'cause he was nice
He was sunshine, I was midnight rain
He wanted it comfortable
I wanted that pain
He wanted a bride
I was making my own name
Chasing that fame
He stayed the same
All of me changed like midnight
It came like a postcard
Picture perfect, shiny family
Holiday, peppermint candy
But for him it's every day
So I peered through a window
A deep portal, time travel
All the love we unravel
And the life I gave away
'Cause he was sunshine
I was midnight rain
He wanted it comfortable
I wanted that pain
He wanted a bride
I was making my own name
Chasing that fame
He stayed the same
All of me changed
Like midnight
Rain, he wanted it comfortable
I wanted that pain
He wanted a bride
I was making my own name
Chasing that fame
He stayed the same
All of me changed
Like midnight
I guess sometimes we all get
Just what we wanted, just what we wanted
And he never thinks of me
Except when I'm on TV
I guess sometimes we all get
Some kind of haunted, some kind of haunted
And I never think of him
Except on midnights like this (midnights like this)"
Question...?,Unavailable
Vigilante Shit,"Draw the cat eye, sharp enough to kill a man
You did some bad things, but I'm the worst of them
Sometimes I wonder which one will be your last lie
They say looks can kill and I might try
I don't dress for women
I don't dress for men
Lately I've been dressing for revenge
I don't start it but I can tell you how it ends
Don't get sad, get even
So on the weekends
I don't dress for friends
Lately I've been dressing for revenge
She needed cold hard proof so I gave her some
She had the envelope, where you think she got it from?
Now she gets the house, gets the kids, gets the pride
Picture me thick as thieves with your ex-wife
And she looks so pretty
Driving in your Benz
Lately she's been dressing for revenge
She don't start it, but she can tell you how it ends
Don't get sad, get even
So on the weekends
She don't dress for friends
Lately she's been dressing for revenge
Ladies always rise above
Ladies know what people want
Someone sweet and kind and fun
The lady simply had enough
While he was doing lines
And crossing all of mine
Someone told his white collar crimes to the FBI
And I don't dress for villains
Or for innocents
I'm on my vigilante shh again
I don't start it, but I can tell you how it ends
Don't get sad, get even
So on the weekends
I don't dress for friends
Lately I've been dressing for revenge"
Bejeweled,"Baby love, I think I've been a little too kind
Didn't notice you walking all over my peace of mind
In the shoes I gave you as a present
Puttin' someone first only works when you're in their top five
And by the way, I'm going out tonight
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I can still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice
Nice
Baby boy, I think I've been too good of a girl (too good of a girl)
Did all the extra credit, then got graded on a curve
I think it's time to teach some lessons
I made you my world (huh), have you heard? (Huh)
I can reclaim the land
And I miss you (I miss you)
But I miss sparkling (ah, hey)
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I can still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice
Nice
Sapphire tears on my face
Sadness became my whole sky
But some guy said my aura's moonstone
Just 'cause he was high
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do?
A diamond's gotta shine
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer (shimmer)
And when I meet the band
They ask, ""Do you have a man?""
I can still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real (nice), I polish up real nice
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do? What's a girl gonna do?
I polish up nice
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer"
Labyrinth,"It only hurts this much right now
Was what I was thinking the whole time
Breathe in, breathe through
Breathe deep, breathe out
I'll be getting over you my whole life
You know how scared I am of elevators
Never trust it if it rises fast
It can't last
Uh oh, I'm falling in love
Oh no, I'm falling in love again
Oh, I'm falling in love
I thought the plane was going down
How'd you turn it right around
It only feels this raw right now
Lost in the labyrinth of my mind
Break up, break free, break through, break down
You would break your back to make me break a smile
You know how much I hate that everybody just expects me to bounce back
Just like that
Uh oh, I'm falling in love
Oh no, I'm falling in love again
Oh, I'm falling in love
I thought the plane was going down
How'd you turn it right around
Uh oh, I'm falling in love
Oh no, I'm falling in love again
Oh, I'm falling in love
I thought the plane was going down
How'd you turn it right around
Uh oh, I'm falling in love
Oh no, I'm falling in love again
Oh, I'm falling in love
I thought the plane was going down
How'd you turn it right around
Uh oh, I'm falling in love
Oh no, I'm falling in love again
Oh, I'm falling in love
I thought the plane was going down
How'd you turn it right around"
