Song Name,Lyrics
Rich Flex,"Go buy a zip of w-, hit the club
Pay for like ten n- to get in, we crunk, lit in this b-, yeah
Know we walk around the world
Steppin' not givin a damn 'bout where our feet land at
Yeah, get your a- mushed, smooshed (6ix)
Yeah, 21, the biggest
Put a n- in the chicken wing
21, can you do somethin' for me? (21)
Can you hit a lil' rich flex for me? (21)
And 21, can you do somethin' for me? (21, 21)
Drop some bars to my - ex for me
And 21 (21), can you do somethin"" for me? (Yeah)
Can you talk to the opps necks for me? (Okay)
21, do your thing, 21, do your thing (21)
Do your thing, 21, do your thing
Yellow diamonds in the watch, this sh- cost a lot
Never send a b- your dot, that's how you get shot
I DM in Vanish Mode, I do that sh- a lot
Took her panties off and this b- thicker than a plot
All my exes ain't nothin', them h- busted
If my opps ain't rappin', they ass duckin'
You ain't ready to pull the trigger, don't clutch it
I know you on your -, baby, can you -?
I'm a savage (21)
Smack her booty in Magic (21)
I'll slap a - with a ratchet
I might slap a tracker on his whip and get to addin'
Don't call me on Christmas Eve, b-, call your daddy (21)
Call your uncle (21), b-, don't call me (21)
Always in my ear, your h- a flea(
Why my opps be posting guns and only use they feet? (21)
Paid like an athlete, I got-
All you h-
All of you h- need to remember who y'all talking to
It's the Slaughter Gang CEO
I got d- for you if I'm not working, girl
If I'm busy, then, f- no
You need to find you someone else to call
When your bank account get low
You need to find you someone
Ayy, ayy, ayy, ayy, ayy
I'm on that Slaughter Gang sh-, ayy, murder gang sh-
Ayy, Slaughter Gang sh-, ayy, murder gang sh-
Ayy, sticks and stones, chrome on chrome
That's just what a n- on
Internet clones, got 'em kissin' through the phone
Clickin' up so they don't feel alone, ayy
Nan' n- seein' me, I'm Young Money CMB
I used to roll with CMG, the house is not a BNB
The bad b- waitin' on a n- like I'm PnD
I'm steady pushing P, you n- pushing PTSD
I told her a- to kiss me in the club, f- a TMZ
I used to want a GMC, when Woe was doing BNE
We revvin' up and goin' on a run like the DMC
I layup with her for a couple days, then its BRB
You rappers like askin' if I f-, when you know we did
When you know we did
She came in heels, but she left out on her cozy sh-
Ayy, I'm livin every 24 like Kobe did
Shoutout to the 6ix, R.I.P the 8
Swear this sh- is getting ate, I'm on ten for the cake
Get a lot of love from 12, but I don't reciprocate
51 division stay patrolling when it's late
21 my addy, so the knife is on the gate
All the dawgs eating off a Baccarat plate
See Drake and they underestimate
Take it from a vet, that's a rookie a- mistake, ayy
Ah, what, what
Slaughter Gang sh-, ayy, murder gang sh-, ayy
Slaughter Gang sh-, ayy, murder gang sh-, ayy
(Slaughter gang sh-, ayy, murder gang sh-, ayy)
(And you got 'em)
Boy, look, you the m- man
Boy, you, ooh, you is the man, you hear me?"
Major Distribution,"No, no, no, no, no, no
No, no, no, no, no
Major distribution, man, my label on my dick, for real
Fuckin' with your friend and she ain't tell you, y'all ain't shit, for real
I've been out here crushin' on success, now she my bitch, for real
You say I'm persuasive, girl, but you can't spell that shit, for real
Hmm, hmm, in this mansion, I'm Macaulay Culkin
Paid in full, I'm Mekhi Phif'
Know you're tired, we just did dinner for three hours
Lyin' to me all night
Buyin' BM's Benzes out of spite
Paid a hundred, ran up somethin' light
Simple price to keep 'em out my life
Booby Trap, we need a business office
Magic City, need a business office
Twenty-nine, I keep a business office
I'm in love with Houston, Dallas, Austin
Tell your guys to hold off on the team chains
Seem like they may need money for coffins
Cuban girl, her family grind coffee
Text me on the signal, don't call me
Hmm, hmm, major distribution, labels call me
Bad Bunny numbers, it's a robbery
Five-hundred million, just for Aubrey
Mmm, hmm, yeah, major distribution how I pop it
Mention me to be the hottest topic
Same place you send your bitches shoppin'
Okay, go stupid, go stupid
Go stupid, go stupid
Go stupid, go stupid
Okay, okay, go stupid, stupid
Go stupid, go stupid
Go stupid, go stupid
Go stupid, okay
Nigga tried to play this shit light, play it cool, play me like I'm sweet
Fuckin' on an opp nigga bitch, say she miss the golds in my teeth
4L shit, know we steppin', y'all should get to funeral preparin'
SF90, this is not McLaren, make an IG model run my errands
He go missin', we gon' spin his parents, stayed in Houston long as Steve Francis
Shoot his feet, got him doin' dances, wiggin' niggas like I played at Kansas
Ever seen somebody get shot? Lot of shit I seen before the top
I ain't tryna wrestle like The Rock, fuck the Tris, I'd rather sip the Wock'
Lot of things I do to stay alive, everything except for call a cop
Savage still let his gun pop, FOX 5 gang, get you knocked
Major distribution, labels callin', Harry Styles numbers, it's a robbery
My niggas go in-Zayn to catch a body, we was face to face, you could've shot me
Okay, go stupid, go stupid
Go stupid, go stupid
Go stupid, go stupid
Okay, okay, go stupid, stupid
Go stupid, go stupid
Go stupid, go stupid
Go stupid, okay"
STAYING ALIVE (feat. Drake & Lil Baby),"Try me a hunnid times
Wanted me to lie, wanted me to cry, wanted me to die (real life)
Ah, ah, ah, I'm stayin' alive, I'm stayin' alive
I'm stayin' alive, I'm stayin' alive (another one)
Yeah
Try me a hunnid times
Wanted me to lie, wanted me to cry, wanted me to die (DJ Khaled)
Ah, ah, ah, I'm stayin' alive, I'm stayin' alive
I'm stayin' alive, I'm stayin' alive
How she in love and she been over once?
It's not like I known her for months
This life, it allowed me to take what I want
It's not like I know what I want
It's not like I know what I need
I get some time, but it's no guarantees
When I was broke, she was bein' a tease
Four pockets full, now she down on her knees
Whoa, whoa, whoa, whoa
Baby gon' hit it and send her to me, yeah
Or I'ma hit it and send her to Baby
That's how I get when this life get too crazy
Whoa, whoa, for real, for real, whoa
They tryna seal the deal
See me up under a sheet, parade in the streets
Yeah
Try me a hunnid times
Wanted me to lie, wanted me to cry, wanted me to die
Ah, ah, ah, I'm stayin' alive, I'm stayin' alive
I'm stayin' alive, I'm stayin' alive
Yeah
Try me a hunnid times
Wanted me to lie, wanted me to cry, wanted me to die
Ah, ah, ah, I'm stayin' alive, I'm stayin' alive
I'm stayin' alive, I'm stayin' alive, for real (oh, yeah)
For real, for real
I put my feelings aside, you want me to die
But baby, I'm stayin' alive
'Posed to be one of a kind, you puttin' on miles
I thought you was down for the ride
I'm tryna turn up her style, we goin' Chanel
She get everything in her size
She in some shit with another guy, I don't even care
Whenever I see you, you mine
Drizzy hit her and then he send her to me
I don't talk, definition of P
Hood nigga turned superstar
But I fuck her good like I'm still in the streets
No response, you can see that I read it
I'm with all that whenever you ready
Sure be happy if I fell off, but I'm still there
They gon' have to accept it
Try me a hunnid times (yeah)
Wanted me to lie, wanted me to cry, wanted me to die
Ah, ah, ah, I'm stayin' alive, I'm stayin' alive
I'm stayin' alive, I'm stayin' alive
Try me a hunnid times
Wanted me to lie, wanted me to cry, wanted me to die (wanted me to die)
Ah, ah, ah, I'm stayin' alive, I'm stayin' alive
I'm stayin' alive, I'm stayin' alive, for real (for real)
For real, for real (for real, for real)"
Privileged Rappers,"Whoa, whoa, yeah
Look at me dead in my eyes, I know that you know that a — ain't lyin'
Too much respect, all of my shawty BDs, they know not to try it
Too much respect, I used to hand out CDs before they would buy it
Whoa, she love me so much, it seem like she biased
— Don't know how I live, but that's 'cause they live at the Hyatt, ayy
4L step team steppin' on — 'til it's quiet
He brought me the money sealed up, I still had to count it, I cannot just eye it
Whoa, whoa, whoa
Yeah, let's have sex in the bank, tell 'em to open the safe
I hate a privileged rapper who don't even know what it take
The diamonds, they hit like a rainbow, that's 'cause the necklace a Frank (purr)
Whoa, whoa, whoa
Yeah, let's have sex in the nine (let's do it)
Breakin' and bendin' her spine (let's do it, let's do it)
I hate a privileged rapper that ain't had a hit since he signed (let's do it)
— Be full of excuses, act like they takin' they time (for real, for real)
Whoa, whoa, whoa
Look at me dead in my eyes, you see all the times that I had to go slide (21)
Too many sticks, we go to war with whoever, ain't never been biased
Too many sticks, how was they your opps and none of 'em died?
Hol' up (21), hol' up (21), hol' up (21)
Why you pull up at one in the morning and sit on the edge of the bed? (For what?)
Textin' emojis, tongue out, eggplant, must've went over her head (21)
Catch him outside of the studio, make him repeat what he said
Yeah, yeah, let's have sex in the car (on God)
The Maybach came with a bar (21)
I'm wipin' my — with her bra (21, pew, pew, pew)
Sniped his —, he got hit in the head from far
Opps gets undivided attention, I give them my all (on God)
How you come over to the spot when you know it's your time of the month? (How?)
Make a diss and see how fast you go from the booth to a blunt
She say she hungry, I gave her — for brunch (on God)
Send me my whole fee, I don't do backends and fronts (21, 21)
No, no, no
Let's have sex in the bank, tell 'em to open the safe
I hate a privileged rapper who don't even know what it take
The diamonds, they hit like a rainbow, that's 'cause the necklace a Frank (purr)
Whoa, whoa, whoa
Yeah, let's have sex in the nines (let's do it)
Breakin' and bendin' her spine (let's do it, let's do it)
I hate a privileged rapper that ain't had a hit since he signed (let's do it)
— Be full of excuses, act like they takin' they time (for real, for real)"
WAIT FOR U (feat. Drake & Tems),"Early in the morning, late at night (I will wait for you)
It don't even matter what time it is (I will wait for you)
Presidential Rollie already on the way (higher, sayin', ""Aye, yi, yi, yi"")
Whenever I find time, it's okay (ayy)
(ATL Jacob, ATL Jacob)
You pray for my demons, girl, I got you
Every time I sip on codeine, I get vulnerable
I'm knowin' the sounds of the storm when it come
She understand I can't take her everywhere a nigga going
I been in the field like the children of the corn
I can hear your tears when they drop over the phone
Get mad at yourself 'cause you can't leave me alone
Gossip, bein' messy, that ain't what we doing (world was ending)
Travel around the world (would you cry, or would you try to get me?)
Over the phone, dropping tears (tell me now, I want you be clear, yeah)
I get more vulnerable when I do drugs (tell me now, I need you to be clear, yeah)
When you drunk, you tell me exactly how you feel (I will wait for you, for you)
When I'm loaded, I keep it real (I will wait for you, I will wait for you)
Please tell a real one exactly what it is (I will wait, will wait, for you, for you)
Don't say it 'cause you know that's what I wanna hear (I will wait for you, I will wait for you)
Yeah, I been trapping 'round the world
I sit on my balcony and wonder how you feeling
I got a career that takes my time away from women
I cannot convince you that I love you for a living (will wait for you, for you)
I be on your line, feelings flowing like a river
You be texting back you at Kiki on the river (I will wait for you)
Message say ""Delivered"" (I will wait for you), but I know that you 'on't get it
Why you introduce us if you knew that you was with him? (I will wait for you, for you, for you)
Made me shake his hand when y'all been fucking for a minute (I will wait for you, for you)
Walk me off the plank because you know that I'm a swimmer (I will wait for you)
Supposed to be your dawg, but you done put me in a kennel
Girl, put a muzzle on it, all that barking over dinner
I was fucking with you when you had the tiny Presidential
You got better when you met me and that ain't coincidental
Tried to bring the best out you, guess I'm not that influential
Guess I'm not the one that's meant for you
I can hear your tears when they drop over the phone
Get mad at myself 'cause I can't leave you alone
Gossip, being messy, that ain't what we doing, yeah (world was ending)
Trapping around the world (would you cry, or would you try to get me?)
Over the phone, dropping tears (tell me now, I want you to be clear)
I get more vulnerable when I do pills (tell me now, I need you to be clear, yeah)
When you drunk, you tell me exactly how you feel (I will wait for you, for you)
When I'm loaded, I keep it real (I will wait for you, I will wait for you)
Please tell a real one exactly what it is (I will wait, will wait, for you, for you)
Don't say it 'cause you know that's what I wanna hear (I will wait for you, I will wait for you)
Early in the morning, late at night
It don't even matter what time it is
(World was ending, would you cry, or would you try to get me?)
(Tell me now, I want you to be clear, yeah)
(Tell me now)"
On BS,"Yeah, whoa, whoa, whoa
I had to cut some niggas off, they didn't mean me no good
I come from the ghetto, so my trunk is in my hood
She wouldn't wear no panties 'round me even if she could
Gave out plenty spankings 'til they got it understood
Fuck the nosebleeds, baby, come sit on this wood
If you know it's tension, don't come 'round me like it's good
I got street smarts and you can't get this out no book
I can't right my wrongs, but I can still write these hooks
Oh, time to get exposed
You ain't been from 'round here, nigga, come get off your show
Savage said you pussy and he hit it on the nose
But that border's open, why you actin' like it's closed?
I don't know
Y'all be goin' in and out recessions
The same way that I be goin' in and out of Texas
Or in and out my sessions, or in and out her best friends
Or in and out these courtrooms, my lawyer like, ""Objection""
Yeah, whoa, whoa
All my bitches Spanish, Boricua
Water on my neck, these diamonds came with coral reefer
She from overseas, I had to buy her a new visa
Met your wife in Vegas, but I hit her in Ibiza
She a supermodel, so she only eatin' Caesar
Used to date a rapper, but he acted like a diva
Niggas hustlin' backwards, out here ballin' with the reup
Popped an Adderall, I feel like I can lift a tree up
Seen too many cameras, so I never lift my ski up (yeah)
I jump on your song and make you sound like you the feature
I jump on your song and make a label think they need ya, for real (yeah)
On that bullshit (okay), on that bullshit (okay)
On that bullshit (okay), on that bullshit (okay)
On that bullshit (okay), on that bullshit (okay)
On that bullshit, we on all the bullshit (okay)
On that bullshit (okay), on that bullshit (okay, okay)
On that bullshit (okay), on that bullshit (yeah)
On that bullshit (okay), on that bullshit (okay)
All the bullshit
Damn, maybe I should do a twenty, maybe I should break that twenty, do a ten
Maybe I should break that ten, do a five, then if it gets live, do a five again
If he held his tongue on that live, he'd be alive again, damn
My uncle's sister know she raised a real one, ill one
It's been thirty minutes, I don't feel nothin'
Oh shit, wait a minute, think I'm startin' to feel somethin'
Where you get this motherfuckin' pill from?
Heard they got some sanctions on my name
Heard they plottin' on my name, heard they bankin' on my name
I got Lita in this bitch and he might spank it on a lane
I'm just- what? In the cut, throwin' Franklins on her frame
I'm a- ayy, I'm a gentleman, I'm generous
I blow a half a million on you hoes, I'm a feminist
I never put no prices on the beef until we end this shit
I pay a half a million for his soul, he my nemesis
On that bullshit (okay), on that bullshit (okay)
On that bullshit (okay), on that bullshit (okay)
On that bullshit (okay), on that bullshit (okay)
On that bullshit, we on all the bullshit (okay)
On that bullshit (okay), on that bullshit (okay, okay)
On that bullshit (okay), on that bullshit (yeah)
On that bullshit (okay), on that bullshit (okay)
All the bullshit
Nah, I'm on, it's midnight, I don't care
Nothing's happening on a Wednesday, I don't care, I'm on
I'm looking for the smoke
This guy sitting front row, man, poof, who needs that?
Let me put my window down, I need fresh air
We don't want that, we want bars
The reason why we listen to 21 and The Boy
That's what we do in Paris, we don't do Fashion Week
Fashion Week, it's for the last decade, it's not for us
It's about the lights, the lights that we put on in the city
The lights of the Eiffel Tower
I'm in charge of it, I'm the one who's putting it on every day
And you try to flex next, next to me on the red light with your ugly
Whatever, flexing, most expensive car, V12
I drive a four-cylinder, I come from nothing but I'm doing something
And you cannot catch my drive
As fast as you try to go, you will never catch me, man
There is only one way, and this way I'm driving, nobody can do it
I'm Birdman, that's who I am
In Paris
Brrt, brrt"
What’s Next,"Ayy, woah
Ayy, ayy
Yeah
I'm makin' a change today, the liquor been takin' the pain away
I heard you was givin' your chain away, that's kinda like givin' your fame away
What's wrong with you? I sit in a box where the owners do
A boss is a role that I've grown into
I love you to death, but I told you the truth
I can't just be with you and only you
Yeah, I got one, Virgil got one and that there is the only two
Man, how many times have I shown improvement?
How many nights I been, woah
Swervin' them potholes
Not tryna fuck up the wheels on the road? Okay
Funny how life goes
He thought he was sick, now he wipin' his nose, okay
Soon as you give 'em your soul
You blow up, and they say you sellin' your soul, okay
They want my life exposed
They wanna know about the highs and lows
Well, summer all I did was rest, okay?
And New Year's all I did was stretch, okay?
And Valentine's Day I had sex, okay?
We'll see what's 'bout to happen next, okay? Okay? Okay?
We'll see what's 'bout to happen next, okay? Okay? Okay?
We'll see what's 'bout to happen, ayy, ayy
We'll see what's 'bout to happen, ayy
We'll see what's 'bout to happen
I'm makin' a change today, the liquor been takin' the pain away
I heard you was givin' your chain away, that's kinda like givin' your fame away
What's wrong with you? I sit in a box where the owners do
A boss is a role that I've grown into
I love you to death, but I told you the truth, I-
Ayy, yeah
I got one, lawyer got one and that there is the only two
Man, how many times have I told you the truth?
Man, how many nights I been, woah
Swervin' them potholes
Not tryna fuck up the wheels or fuck up the deals?
I'm posted in Stockholm
It's me, the owls and the twins, it's only the real
I'm movin' way too humble
Weezy had handed it off, I still got no fumbles
I'm on the hot one hundo, numero uno
This one ain't come with a bundle
I'm in the Wynn, a million in chocolate chips
And that's just how my cookie crumble
I put a skirt on a whip and a crown on the six
But there's no need to dress up the numbers
Ayy, ayy, yeah
But I guess they must have they reasons
They wanna know how I'm livin' my day-to-day life in the regular season
Well, summer all I did was rest, okay?
And New Year's all I did was stretch, okay?
And Valentine's Day I had sex, okay?
We'll see what's 'bout to happen next, okay? Okay? Okay?
We'll see what's 'bout to happen next, okay? Okay? Okay?
We'll see what's 'bout to happen, ayy, ayy
We'll see what's 'bout to happen, ayy
We'll see what's 'bout to happen
I'm makin' a change today, the liquor been takin' the pain away
I heard you was givin' your chain away, that's kinda like givin' your fame away
What's wrong with you? I sit in a box where the owners do
A boss is a role that I've grown into
I love you to death, but I told you the truth, I-"
TSU,"Yeah, we back
What's up, ladies?
Swishahouse, baby
What's up to all the ladies on the
Northside, Southside, Eastside, Westside?
What's up in Bay City?
What's up to all the ladies in Louisiana?
What's up to all the ladies in Dallas, Austin, San Antonio, Marshall, Prairie View?
It's going down
Wharton County, Texas City, H-Town, baby
TSU ladies
She moved out of state and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan to start up a business
Her daddy is not around, her mama is not around
I watch her climb to the top of the pole and then get to slidin' down
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix
Shawty is goin' legit, shawty is goin' legit
Me, I'm supportin' this shit
This is a story came from my life and I'm just recordin' this shit
I'ma just give it to you direct, instead of me throwin' this shit
You know you important and shit
You know I'm supportin' this shit
We used to do pornos when you would come over but now you got morals and shit
I got like four on the wrist and an adorable kid
I got a Drac' in the studio and I don't just mean that I'm in this bitch
Please make the most of this shit
Don't just come close to some shit
I give you this bread, you run me some head and then you go glow up a bit
She moved out of state and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan to start up a business
Her daddy is not around, her mama is not around
I watch her climb to the top of the pole and then get to s-
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix
Shawty is goin' legit, shawty is goin' legit
Me, I'm supportin' this shit
This is a story, it came from my life and I'm just recordin' this shit
Her daddy is not around, mama is definitely not around
She got a business plan, but she just ain't had time to write it down
Stay with her sister now, she got a man, but he out of town
Soon as he out of town, they hop in his whip and they ride around
I watch her climb to the top of the pole and then get to slidin', slidin'
Thought about trappin' a player before, but that just ain't right, right
Look in the mirror if you wanna look at some things on the bright side
You popped a 325, you feelin' too good to worry tonight
She moved out of state and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan to start up a business
Her daddy is not around, her mama is not around
I watch her climb to the top of the pole and then get to s-
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix
Shawty is goin' legit, shawty is goin' legit
Me, I'm supportin' this shit
This is a story, it came from my life and I'm just rec-
Ayy, black boxes with the bow and rose
Zara heels bound to give you Zara toes
Back that thing up it's a wide load, shawty
I'on't even know where the time go, shawty
Know you got some brand-new life goals
Baby blue but you are not a baby, I know, shawty, I know
Yeah, so why you gotta be so hardheaded?
Why you wanna ask girl? You know what I did
Acting like you don't already know what that is
Baby just relax, I'm on your side
I will not discuss it with nobody
Neither of our pasts 'bout to go away
You made me forget about it anyway
I know, I know
Black boxes with the bow and rose
Lil' side hustle with the Fashion Nova
Know we both came from a broken home, shawty
Mom and daddy didn't really get along, shawty
Heard you got some brand-new life goals
Baby blue but you are not a baby, I know, shawty
I know, know, know, know, know"
Spin Bout U,"You gotta motherfuckin' feel this shit, boy
(BanBwoi)
Woah
I got feelings for you
Hope you ain't lovin' the crew
How many bodies you got?
Pray it ain't more than a few
Know that you dealt with some lames
When you was young and in school
He had to pop your cherry
But I got it wet like a pool
She got a new G-Wag'
She wanna hit Highlight Room and show it off
Got a new body, girl, show it off
This a Brazilian, I know it's soft
Toned up and she got a six-pack
Look like she used to play volleyball
American Express, you can have it all
Code to the safe, you can have it all
Fuck your main page, what's your Finsta? I wanna know the real you
You started dancin' to pay your tuition, girl, I wanna know what you been through
You want a boutique or you wanna sell hair, just let me know what you into
If you out in public, and he want your number, just tell him, ""My nigga'll spin you""
The way you make me feel these days
Somethin' gettin' dry for you, baby girl
Smoke a nigga top for you, baby girl
Burn somebody block for you
The way you make me feel these days
Comin' out my body for you, baby girl
Wipe him like he snotty for you, baby girl
Comin' out my body for you
Damn, just turned on the news and seen that men who never got pussy in school
Are makin' laws about what women can do
I gotta protect ya, I'm a made man, tied in, all the way, baby
So I gotta respect ya
Niggas put hands on you in the past, insecure because your body is pressure
Four words when I think about them is crusty, musty, dusty, rusty
Eight words when I think about us is fuck me, fuck me, fuck me, fuck me
Disrespect ya and I'll smack 'em
The texts that you send in captions
The videos we got ever leak, we goin' viral or goin' platinum
Don't worry 'bout your friend's story when I had her alone
She gon' try and put some extras on it, take you out of your zone
You know how it goes when they can't get a reservation up in Carbone
They gon' tell you it's a chill night, tell you how they'd rather stay home, yeah
Jealous-ass hoes, yeah
And I know what I said 'bout bein' in Vogue
But just like that R&B group from the '90s
Girl, one call, I'll get you in Vogue
One call, you in runway shows
One call, I'm sittin' front row
One wrong call from your ex nigga sayin' dumb shit'll get him sent home
One call and my niggas ten toes
Down to go wherever I say go
Even if we gotta travel 'cross the globe
Down to take you to the end of the road, for real
The way you make me feel these days
Somethin' gettin' dry for you, baby girl
Smoke a nigga top for you, baby girl
Burn somebody block for you
The way you make me feel these days
Comin' out my body for you, baby girl
Wipe him like he snotty for you, baby girl
Comin' out my body for you
Want ya, I want-want ya
Oh, your lovin' so deep (feelin' so deep)
Want ya, I want-want ya
Give me your lovin' (feelin' so deep)"
Lemon Pepper Freestyle (feat. Rick Ross),"Tryin', tryin', tryin', tryin'
I pray these niggas understand how passionate the tale is
To get you under my pressure
Richer
I been tryin', tryin', tryin', tryin'
To get you under my pressure
Yes, uh, biggest, you feel me? (M-M-M-Maybach Music)
Godfather with a gun full of snakes
Car Porsche, time to give away a Wraith
Bricks boy, tryna turn 'em into bass
Big boy, I been tryin' by the Braves
Court room soundin' like I'm in the opera
Went and got it, now these niggas wanna knock us
Bitches fallin' 'cause they need a couple dollars
But it ain't a problem 'cause a nigga really got it
Fat boy, rich nigga, with a appetite
Count money all night under the candlelight
Spinnin' vinyl, Teddy P, or is it Lionel?
Not a model, but I know I been your idol
Big bank, sparkin' weed without a lighter
On fire 'cause I'm just a different writer
Practicin' social distance with all these snitch niggas
Guess he jealous 'cause I had his favorite bitch with us
Big bucks, steppin' outta big trucks
Steppin' on my feet, it'll get you fucked up
Got the squad with me and all they did was gimme love
Foot Locker, 20 deep, a nigga spend a dub
G-Wagen for my bitch, that girl go live it up
Death row, that's for these niggas, I'ma hit 'em up
Makaveli, it's All Eyez on Me
Pinkie rings, it's still M-O-B (M-M-M-Maybach Music)
I been tryin', tryin', tryin', tryin'
To get you under my pressure
I been tryin', tryin', tryin', tryin'
To get you under my pressure
Tryin', tryin', tryin', tryin'
Yeah, heart just turned purple
360 up front, it all comes full circle
Class photographs, Sandy had me on my Urkel
(I been tryin', tryin', tryin', tryin')
Patty Mahomes 'bout to fall short a couple hunnid
Signed, sealed, delivered, I fucked the notary public
She witnessed me sign off on some undeniable numbers
(I been tryin', tryin', tryin', tryin')
Yeah, make a set sail in Croatia to get the leverage
Groundskeepers cuttin' the grass and clippin' the hedges
I took two mill' out the cage down in the desert
Matthew Maddocks called in the pit boss double checkin'
""The number's all good, just pay me, I'm at the Rhino""
Real life, the whole fam' goons like Ralo
One truck in front of me, one behind me to follow
Lemme get a lemon pepper order, please
You gotta have the link before you order these
Dockin' jet skis in the Florida Keys
We all grateful for Weezy, but no one more than me
You just found a bottle with the messages
These days, fame is disconnected from excellence
Half the time I gotta ask niggas what their profession is
Ushered a generation in these are where my confessions live
(I been tryin', tryin', tryin', tryin')
I did brunch with the judge, we appearin' before
Private villas only, I don't go near a resort
We want everything galore, not just Lira Galore
(I been tryin', tryin', tryin', tryin')
For real, and my city love me like DeMar DeRozan
I sent her the child support, she sent me the heart emoji
They all say they love me but they hardly know me
(I been tryin', tryin', tryin', tryin')
Yeah, dropped him off at school, big day for my lil' man
Recess hits, daddy prolly made another M
School bell rings and I'm out there to get him again
(I been tryin', tryin', tryin', tryin')
Yeah, teacher-parent meetings, wives get googly-eyed
Regardless of what their husbands do to provide
Askin' if I know Beyoncé and Nicki Minaj
(I been tryin', tryin', tryin', tryin')
Of course, pull up to the front in the fleet of Suburbans
Flooded French Immersion with the Secret Service
Shit it so obvious it defeats the purpose
If this is your hobby then come and meet your maker
Champagne ring bells in the streets of Jamaica
Started at the crib, look how far this shit'll take ya
Ross sittin' on 235 acres (I been tryin', tryin', tryin', tryin')
And that's facts, Hamdan Mohammed like my third cousin (facts)
Mansoor Mohammed like my real brother (facts)
Dubai embrace me like a Emirati (facts)
All my Rolls Royces got a different body (facts)
Mansory, kitted out with every option (facts)
Lemme know if that's a problem (I been tryin', tryin', tryin', tryin')
If you got a problem with me, gotta walk around it
Used to say I had 'fore I got it, now I got it all
And bein' honest, I don't really wanna talk about it
And if I didn't have it, wouldn't wanna sulk about it
(I been tryin', tryin', tryin', tryin')
I had it so long, I don't even celebrate it
Negative thoughts don't even enter my inner matrix
'Magine me still rappin' 'bout if I never made it
(I been tryin', tryin', tryin', tryin')
Damn, not too many parallels left in our lives
I mean, my crib look bigger through my son's eyes
And the squad look bigger to the young guys
And my dick feel better when you drunk right
Spend nighttime starin' at the sunrise
And my diamonds all hittin' like tie-dye
Air Canada send a nigga when I die
Y'all gon' have to fly in and do your fake cry
First couple rows, you gon' see the real guys
The ones that purchase the vehicles 'cause of trunk size
The ones that look at other rappers like it's lunch time
Watch on my wrist never show me crunch time
'Cause I ain't never let it come to that one time
To be real, man, I never did one crime
But none of my brothers could caption that line
At all, kill me, that's talent God wasted
Instant noodles, sriracha, I still taste it
When mama was too tired to cook and we had the basics
Instant noodles, sriracha, I still taste it
Now it's a movie, I'm back at Bellag', wasted
Niggas love tryna put my back where the walls facin'
Big body frames, wasn't into car racin'
Me and Chubbs drive by, shorty's heart racin'
I always end up droppin' the top when it starts rainin'
Livin' in the 6, eight weeks, sun blazin'
After that, the killers just go into hibernation
(I been tryin', tryin', tryin', tryin')
Damn, rest in peace Dolla Bill
How I get a girl and girls still wanna holla still?
How I'm so famous, gotta live where they hide the hills?
(I been tryin', tryin', tryin', tryin')
Everybody that survive got survivor's guilt
My label gotta prove they love me, gotta wire mill's
My boy kitchen's done, lookin' like a flour mill
You niggas' faces lookin' like you drank sour milk
And your albums like some mothafuckin' fire drills
It's like this shit feels real but it's never real, yeah
I been tryin', tryin', tryin', tryin'
To get you under my pressure
I been tryin', tryin', tryin', tryin'
To get you under my pressure"
