Song Name,Lyrics
Heartless,"In the night I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?
How could you be so, cold as the winter wind when it breeze, yo
Just remember that you talkin' to me though
You need to watch the way you talkin' to me, yo
I mean after all the things that we've been through
I mean after all the things we got into
Ayo, I know of some things that you ain't told me
Ayo, I did some things, but that's the old me
And now you wanna get me back and you gon' show me
So you walk around like you don't know me
You got a new friend, well, I got homies
But in the end it's still so lonely
In the night I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?
How could be so Dr. Evil?
You bringin' out a side of me that I don't know
I decided we weren't gon' speak so
Why we up 3:00 a.m. on the phone?
Why do she be so mad at me for?
Homie, I don't know, she's hot and cold
I won't stop, won't mess my groove up
'Cause I already know how this thing go
You run and tell your friends that you're leaving me (hey)
They say that they don't see what you see in me (hey)
You wait a couple months then you gon' see (hey)
You'll never find nobody better than me
In the night I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?
Talk and talk and talk and talk
Baby let's just knock it off
They don't know what we been through
They don't know 'bout me and you
So I got something new to see
And you just gon' keep hatin' me
And we just gon' be enemies
I know you can't believe
I could just leave it wrong
And you can't make it right
I'm gon' take off tonight
Into the night
In the night I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?"
Flashing Lights,"Flashing lights (lights, lights)
Flashing lights (lights, lights)
Flashing lights (lights, lights)
Flashing lights (lights, lights)
She don't believe in shooting stars
But she believe in shoes and cars
Wood floors in the new apartment
Couture from the store's department
You more like ""love to start shit""
I'm more of the, trips to Florida
Ordered the hors d'oeuvres, views of the water
Straight from the page of your favorite author
And the weather so breezy
Man, why can't life always be this easy
She in the mirror dancing so sleazy
I get a call like, ""Where are you Yeezy?""
And try to hit you with the ol-wu-wopte
'Til I got flashed by the paparazzi
Damn, these niggas got me
I hate these niggas more than a Nazi
As I recall, I know you love to show off
But I never thought that you would take it this far
But what do I know?
Flashing lights (lights, light)
What do I know?
Flashing lights (lights, lights)
I know it's been a while, sweetheart
We hardly talk, I was doing my thing
I know I was foul, baby
Ayy, babe, lately, you've been all on my brain
And if somebody would've told me a month ago
Fronting though, yo, I wouldn't wanna know
If somebody would've told me a year ago
It'll go get this difficult
Feeling like Katrina with no FEMA
Like Martin with no Gina
Like a flight with no Visa
First class with the seat back, I still see ya
In my past, you on the other side of the glass
Of my memory's museum
I'm just saying, hey, Mona Lisa
Come home, you know you can't roam without Caesar
As I recall, I know you love to show off
But I never thought that you would take it this far
But what do I know?
Flashing lights (lights, lights)
What do I know?
Flashing lights (lights, lights)
As you recall, you know I love to show off
But you never thought that I would take it this far
But what do you know?
Flashing lights (lights, lights)
What do you know?
Flashing lights (lights, lights)
Flashing lights (lights, lights)
Flashing lights"
Ni**as In Paris,"We're gonna skate to one song and one song only
(Ball so hard, motherfuckers wanna fine me)
So I ball so hard, motherfuckers wanna fine me
But first niggas gotta find me
What's fifty grand to a motherfucker like me?
Can you please remind me?
Ball so hard, this shit crazy
Y'all don't know that don't shit faze me
The Nets could go 0 for 82
When I look at you like ""This shit gravy!""
Ball so hard, this shit weird
We ain't even 'posed to be here
Ball so hard, but since we here
It's only right that we'd be fair
Psycho, I'm liable
To go Michael, take your pick
Jackson, Tyson, Jordan, Game 6
Ball so hard, got a broke clock
Rolex's that don't tick-tock
Audemars that's losing time
Hidden behind all these big rocks
B-Ball so hard, I'm shocked too
I'm supposed to be locked up too
You escaped what I've escaped
You'd be in Paris getting fucked up too
B-Ball so hard, let's get faded
Le Meurice for like six days
Gold bottles, scold models
Spillin' Ace on my sick J's
B-Ball so hard, bitch, behave
Just might let you meet Ye
Chi-towns, D. Rose
I'm moving the Nets, BK
Ball so hard motherfuckers wanna fine me
That shit cray
That shit cray
That shit cray
B-Ball so hard motherfuckers wanna fine me
That shit cray
That shit cray
That shit cray
She said, ""Ye, can we get married at the mall?""
I said, ""Look, you need to crawl 'fore you ball""
Come and meet me in the bathroom stall
And show me why you deserve to have it all
Ball so hard
That shit cray
That shit cray
Ain't it Jay?
B-Ball so hard
What she order?
What she order?
Fish fillet?
B-Ball so hard
Your whip so cold
Whip so cold
This old thing?
Ball so hard
Act like you'll never be around motherfuckers like this again
Bougie girl, grab her hand
Fuck that bitch, she 'on't wanna dance
'Scuse my French, but I'm in France
Hehe, I'm just sayin'
Prince William's ain't do it right if you ask me
'Cause I was him, I would've-
Married Kate and Ashley
What's Gucci, my nigga?
What's Louis, my killa?
What's drugs, my deala?
What's that jacket, Margiela?
Doctors say I'm the illest
'Cause I'm suffering from realness
Got my niggas in Paris and they going gorillas, heh?
I don't even know what that means
No one knows what it means
But it's provocative
No, it's not, it's gross
Gets the people going
Ball so hard motherfuckers wanna fine me
B-Ball so hard motherfuckers wanna fine me
You are now watching the throne
Don't let me get in my zone
Don't let me get in my zone
Don't let me get in my zone
These other niggas is lyin'
Actin' like the summer ain't mine
I got that hot bitch in my home
You know how many hot bitches I own?
Don't let me get in my zone
Don't let me get in my zone
Don't let me get in my zone
Don't let me get in my zone
The Stars is in the building
They hands is to the ceiling
I know I'm 'bout to kill it
How you know I got that feeling?
You are now watching the throne
Don't let me into my zone
Don't let me into my zone
I'm definitely in my zone
(Zone, zone, zone, zone, zone)
(Zone, zone, zone, zone, zone)
(Zone, zone, zone, zone, zone)
(Zone, zone, zone, zone, zone)"
I Wonder,"Find your dreams come true
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means to find your dreams
I've been waiting on this my whole life
These dreams be waking me up at night (night, night)
(And I wonder) you say I think I'm never wrong (wrong, wrong)
(And I wonder) you know what, maybe you're right, aight?
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means to find your dreams
word
(And I wonder) do you even remember what the issue is?
You just trying to find where the tissue is
You can still be who you wish you is
It ain't happen yet
And that's what the intuition is (and I wonder)
When you hop back in the car
Drive back to the crib
Run back to their arms
The smokescreens
The chokes and the screams
You ever wonder what it all really mean
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means to find your dreams
and I'm back on my grind
A psychic read my lifeline
Told me in my lifetime
My name would help light up the Chicago skyline
And that's what I'm (and I wonder)
Seven o'clock, that's primetime
Heaven'll watch, God calling from the hotlines
Why he keep giving me hot lines?
I'm a star, how could I not shine? (And I wonder)
How many ladies in the house (if you know)
How many ladies in the house without a spouse (what it means)
Something in your blouse got me feeling so aroused (what it means)
What you about? (And I wonder)
On that independent shit (if you know)
Trade it all for a husband and some kids (what it means)
You ever wonder what it all really mean? (To find your dreams come true)
You ever wonder if you'll find your dreams"
All Falls Down,"Oh, when it all (yeah)
It all falls down (this the real one, baby)
I'm tellin' you all (uh)
It all falls down (Chi-Town, stand up)
Oh, when it all (Southside, Southside)
It all falls down (we gon' set this party off right)
I'm tellin' you all (Westside, Westside)
It all falls down, oh, when it all (we gon' set this party off right)
Man, I promise, she's so self-conscious
She has no idea what she doin' in college
That major that she majored in don't make no money
But she won't drop out, her parents'll look at her funny
Now, tell me that ain't insecurr
The concept of school seems so securr
Sophomore, three yurrs, ain't picked a carurr
She like, ""Fuck it, I'll just stay down hurr and do hair""
'Cause that's enough money to buy her a few pairs
Of new Airs, 'cause her baby daddy don't really care
She's so precious with the peer pressure
Couldn't afford a car, so she named her daughter Alexis
She had hair so long that it looked like weave
Then she cut it all off, now she look like Eve
And she be dealin' with some issues that you can't believe
Single black female addicted to retail, and well
Oh, when it all, it all falls down (uh)
And when it falls down, who you gon' call now?
I'm tellin' you all (c'mon, c'mon)
It all falls down
And when it falls down, oh, when it all (and when it all falls down)
Man, I promise, I'm so self-conscious
That's why you always see me with at least one of my watches
Rollies and Pashas done drove me crazy
I can't even pronounce nothin', pass that Ver-say-see
Then I spent four hundred bucks on this
Just to be like, ""Nigga, you ain't up on this""
And I can't even go to the grocery store
Without some Ones that's clean and a shirt with a team
It seem we livin' the American Dream
But the people highest up got the lowest self-esteem
The prettiest people do the ugliest things
For the road to riches and diamond rings
We shine because they hate us, floss 'cause they degrade us
We tryna buy back our 40 acres
And for that paper, look how low we'll stoop
Even if you in a Benz, you still a nigga in a coupe
Oh, when it all (c'mon, c'mon)
It all falls down (and when it falls down, who you gon' call now?)
I'm tellin' you all (come on, come on)
It all falls down, oh, when it all (and when it all falls down)
I say, ""Fuck the police, "" that's how I treat 'em
We buy our way out of jail, but we can't buy freedom
We'll buy a lot of clothes, but we don't really need 'em
Things we buy to cover up what's inside
'Cause they made us hate ourself and love they wealth
That's why shorty's hollerin', ""Where the ballers at?""
Drug dealer buy Jordan, crackhead buy crack
And the white man get paid off of all of that
But I ain't even gon' act holier than thou
'Cause fuck it, I went to Jacob with twenty-five thou
Before I had a house and I'd do it again
'Cause I wanna be on 106 & Park, pushin' a Benz
I want to act ballerific like it's all terrific
I got a couple past-due bills, I won't get specific
I got a problem with spendin' before I get it
We all self-conscious, I'm just the first to admit it
Oh, when it all (yeah, c'mon, c'mon)
It all falls down (and when it falls down, who you gon' call now?)
I'm tellin' you all (c'mon, c'mon)
It all falls down (and when it falls down)
Oh, when it all (Southside, Southside)
It all falls down (we gon' set this party off right)
I'm tellin' you all (Westside, Westside)
It all falls down (we gon' set this party off right)
Oh, when it all (Chi-Town, Chi-Town)
It all falls down (We gon' show 'em how we get down)
I'm tellin' you all (Now, Syleena, you just like a safe belt)
It all falls down (you saved my life, c'mon)
Oh, when it all, it all falls down
I'm tellin' you all, it all falls down
I's can't keep workin' like this
This grave shift is like a slave ship"
Gold Digger,"She take my money when I'm in need
Yeah, she's a triflin' friend indeed
Oh, she's a gold digger way over town
That digs on me (uh)
Now I ain't sayin' she a gold digger
But she ain't messin' with no broke niggas
Now I ain't sayin' she a gold digger
But she ain't messin' with no broke niggas
Get down girl, go'n 'head get down
Get down girl, go'n 'head get down
Get down girl, go'n 'head get down
Get down girl, go'n 'head
Cutie the bomb, met her at a beauty salon
With a baby Louis Vuitton under her underarm
She said, ""I can tell you rock, I can tell by your charm
Far as girls you got a flock
I can tell by your charm and your arm""
But I'm lookin' for the one, have you seen her?
My psychic told me she have a ass like Serena
Trina, Jennifer Lopez, four kids
And I gotta take all they bad ass to ShowBiz?
Okay, get yo' kids, but then they got their friends
I pulled up in the Benz, they all got a pen
We all went to din' and then I had to pay
If you fuckin' with this girl then you better be paid
You know why?
It take too much to touch her
From what I heard she got a baby by Busta
My best friend say she used to fuck with Usher
I don't care what none of y'all say I still love her
Now I ain't sayin' she a gold digger, uh
But she ain't messin' with no broke niggas, uh
Now I ain't sayin' she a gold digger, uh
But she ain't messin' with no broke niggas, uh
Get down girl, go'n 'head get down
Get down girl, go'n 'head get down
Get down girl, go'n 'head get down
Get down girl, go'n 'head
18 years, 18 years
She got one of yo' kids, got you for 18 years
I know somebody payin' child support for one of his kids
His baby momma car and crib is bigger than he is
You will see him on TV any given Sunday
Win the Super Bowl and drive off in a Hyundai
She was supposed to buy your shorty Tyco with your money
She went to the doctor, got lipo with your money
She walkin' around lookin' like Michael with your money
Shoulda got that insured, Geico for your money (money)
If you ain't no punk holla, ""We want prenup""
""We want prenup!"", yeah
It's something that you need to have
'Cause when she leave yo' ass she gone leave with half
18 years, 18 years
And on her 18th birthday, he found out it wasn't his
Now I ain't sayin' she a gold digger, uh
But she ain't messin' with no broke niggas, uh
Now I ain't sayin' she a gold digger, uh
But she ain't messin' with no broke niggas, uh
Get down girl, go'n 'head get down, uh
Get down girl, go'n 'head get down
Get down girl, go'n 'head get down, uh
Get down girl, go'n 'head
Now I ain't sayin' you a gold digger, you got needs
You don't want a dude to smoke, but he can't buy weed
You go out to eat, he can't pay, y'all can't leave
There's dishes in the back, he gotta roll up his sleeves
But while y'all washin', watch him
He gon' make it to a Benz out of that Datsun
He got that ambition, baby, look at his eyes
This week he moppin' floors, next week it's the fries
So, stick by his side
I know there's dudes ballin', and yeah, that's nice
And they gone keep callin' and tryin'
But you stay right girl
And when he get on, he'll leave yo' ass for a white girl
Get down girl, go'n head get down
Get down girl, go'n 'head get down
Get down girl, go'n 'head get down
Get down girl, go'n head
Let me hear that back"
Homecoming,"I'm coming home again
Do you think about me now and then?
Do you think about me now and then?
'Cause I'm coming home again
I met this girl when I was 3 years old
And what I loved most she had so much soul
She said ""Excuse me lil homey, I know you don't know me
But, my name is Windy and I like to blow trees""
And from that point I never blow her off
Niggas come from out of town, I like to show her off
They like to act tough, she like to tow 'em off
And make 'em straighten up their hat 'cause she know they soft
And when I grew up she showed me how to go downtown
In the nighttime her face lit up, so astounding
I told her in my heart is where she'll always be
She never messed with entertainers 'cause they always leave
She said it felt like they walked and drove on me
Knew I was gang affiliated, got on TV and told on me
I guess that's why last winter she got so cold on me
She said ""'Ye, keep making that keep making that platinum and gold for me!""
I'm coming home again
Do you think about me now and then?
Do you think about me now and then?
'Cause I'm coming home again
Do you think about me now and then?
Do you think about me now and then?
'Cause I'm coming home again
Maybe we can start again
But if you really cared for her
Then you wouldn't have never hit the airport to follow your dreams
Sometimes I still talk to her, but when I talk to her
It always seems like she talking 'bout me
She said, ""You left your kids, and they just like you
They want to rap and make soul beats just like you
But they just not you"" and I just got through
Talking 'bout what niggas tryna do, just not new
Now everybody got the game figured out all wrong
I guess you never know what you got 'til it's gone
I guess that's why I'm here and I can't come back home
And guess when I heard that? When I was back home
Every interview I'm representing you, making you proud
Reach for the stars so if you fall, you land on a cloud
Jump in the crowd, spark your lighters, wave 'em around
If you don't know by now, I'm talking 'bout Chi-Town!
I'm coming home again
Do you think about me now and then?
Do you think about me now and then?
'Cause I'm coming home again
Maybe you, do you remember when?
Fireworks at Lake Michigan
Oh, now I'm coming home again
Maybe you, do you remember when?
Fireworks at Lake Michigan
Oh, now I'm coming home again
Maybe we can start again"
Moon,"I wanna go to the moon
Don't leave so soon (don't leave so soon)
How could I get through? (How could I get through?)
I wanna go to the moon
Don't leave so soon (don't leave so soon)
How could I get through? (How could I get through?)
I wanna go to the moon
Don't leave so soon (don't leave so soon)
How could I get through? (How could I get through?)
Hmm, hmm, here we go strappin', we up
Never forget all the memories
Sittin', I sip out my cup
Thinkin' I should be a better me
Truly I'm blessed from the start
So much to say in these melodies, oh
Stare at the sky, the moon singin' sweet
Oh my God, such a sweet moment
Angels, they say I'm not ever weak, such a lonely moment
Heaven knows I might never sleep, trouble in my soul
Hey, I've been prayin', life can be drainin', oh
Hey, we were late, tryna keep haulin' on
I'm ashamed, hated what I will see
And nobody knows, so I go
How can I get through? (Don't leave so soon)
How can I get through? (To the moon)
How can I get through? (To the moon)
Early afternoon, I wanna go to the moon (take you to the moon)
Don't leave so soon (whoa)
Don't leave so soon
How could I get through? (Yeah)
How can I get through? (Ooh)
Early afternoon
I wanna go to the moon (ooh, take you to the moon)
Don't leave so soon (ooh)
Don't leave so soon (don't leave so soon)
How could I get through? (How can I get through?)
Yeah-yeah, oh-oh-oh
Whoa-oh, whoa-oh
Whoa-oh, oh-oh, oh-oh"
Ghost Town,"Some day, some day
Some day I'll, I wanna wear a starry crown
Some day, some day
Some day I wanna lay down, like God did, on Sunday
Hold up, hold up
Some days, some days
I remember this on Sunday
Back way, yeah way, way
Some day, mmm, mmm
Some day, I wanna tell everybody, some days
I wanna hit the red dot, I'll never find
Some days, some
Each one, knowing how 'm livin', smokin' marijuana
Now I'm livin' high, doin' what I wanna, some days
I've been tryin' to make you love me
But everything I try just takes you further from me
Some day we gon' set it off
Some day we gon' get this off
Baby, don't you bet it all
On a pack of Fentanyl
You might think they wrote you off
They gon' have to rope me off
Some day the drama'll be gone
And they'll pray, it's not enough
Sometimes I take all the shine
Talk like I drank all the wine
Years ahead but way behind
I'm on one, two, three, four, five
No half-truths, just naked minds
Caught between space and time
This not what we had in mind
But maybe some day
I've been tryin' to make you love me
But everything I try just takes you further from me
Oh, once again I am a child
I let it all go (go), of everything that I know, yeah
Of everything that I know, yeah
And nothing hurts anymore, I feel kinda free
We're still the kids we used to be, yeah, yeah
I put my hand on the stove, to see if I still bleed
Yeah, and nothing hurts anymore, I feel kinda free
We're still the kids we used to be, yeah, yeah
I put my hand on the stove, to see if I still bleed
Yeah, and nothing hurts anymore, I feel kinda free
We're still the kids we used to be, yeah, yeah
I put my hand on the stove, to see if I still bleed
Yeah, and nothing hurts anymore, I feel kinda free
We're still the kids we used to be, yeah, yeah
I put my hand on the stove, to see if I still bleed
Yeah, and nothing hurts anymore, I feel kinda free"
Devil In A New Dress,"I love it though
I love it though, y'know?
Uh put your hands to the constellations
They way you look should be a sin, you my sensation
I know I'm preaching to the congregation
We love Jesus but you done learned a lot from Satan
I mean a nigga did a lot of waiting
We ain't married but tonight I need some consummation
May the Lord forgive us
May the God's be with us
And that magic hour
I seen good Christians
Make brash decisions
Oh she do it
What happened to Religion?
Oh she lose it
She putting on her make up
She casually allure
Text message break up, the casualty of tour
How she gone wake up and not love me no more?
I thought I was the asshole, I guess it's rubbing off
Hood phenomenon, the Lebron of rhyme
Hard to be humble when you stuntin' on a jumbotron
I'm looking at her like, ""This what you really wantedt, huh?""
What we argue anyway, oh I forgot its summertime
Put your hands to the constellations
They way you look should be a sin, you my sensation
I know I'm preaching to the congregation
We love Jesus but you done learned a lot from Satan
I mean a nigga did a lot of waiting
We ain't married but tonight I need some consummation
When the sun go down its the magic hour
The magic hour
And outta all the colors that are still up the skies
You got green on your mind
I can see it in your eyes
Why you standing there with your face screwed up?
Don't leave while your hot that's how Mase screwed up
Throwing shit around, the whole place screwed up
Maybe I should call Mase so that he could pray for us
I hit the Jamaican spot, at the bar, take a seat
I ordered the jerk, she said, ""You are what you eat""
You see I always loved your sense of humor
But tonight you should have seen how quiet the room was
The Lyor Cohen or Dior Homme that's Dior Homme not Dior homie
The crib Scarface couldn't be more Tony
You love me for me could you be more phony
Put your hands to the constellations
They way you look should be a sin, you my sensation
Haven't said a word, haven't said a word to me this evening
Cat got your tongue?
Lookin' at my bitch I bet she give your ass a bone
Lookin' at my wrist it'll turn your ass to stone
Stretch limousine, sippin' Rose all along
Double-headed monster with a mind of his own
Cherry red chariot, excess is just my character
All black tux, nigga shoes lavender
I never needed acceptance from all you outsiders
Had cyphers with Yeezy before his mouth wired
Before his jaw shattered climbin' up the Lord's ladder
We still speedin' runnin' signs like they don't matter
Uh, hater talkin' never made me mad
Never that when I'm in my favorite papertag
Therefore G4's at the Clearport
When it come to tools fool I'm a Pep Boy
When it came to dope I was quick to export
Never tired of ballin' so it's on to the next sport
New Mercedes Sedan, the Lex' sport
So many cars D.M.V. though it was mail fraud
Different traps, I was gettin' mail from
Polk County, Jacksonville, rep Melbourne
Whole clique's appetite had tapeworms
Spinnin' Teddy Pendergrass vinyl as my jay burns
I shed a tear before the nights over
God bless the man I put this ice over, uh
Gettin' 2Pac money twice over
Still a real nigga, red Coogi sweater, dice roller
I'm makin' love to the angel of death
Catchin' feelings never stumble retracin' my steps"
