Song Name,Lyrics
Feelin' Like Tunechi,"Turn your wife to a groupie (yeah)
He got smoked like a loosie (yeah)
Ride the wraith like a hoopty (yeah)
I been feelin' like, I been feelin' like Tunechi
Coming live from the 504
Bad bitch in my mentions with a mil' on the floor
Big Tunechi, I can't ride the lil' Mazi' no more
Young niggas still grindin', I'm the motherfuckin' GOAT
I been feelin like Tunechi, huh
I been feelin like, yeah, fuck 'em
Let me get in my bag, duffle
Eat that bitch like the Last Supper
Got her feelin like, ""ooh, "" Tunechi
Got me feeling like, ""Yeah, fuck 'em""
Got me feelin' like Rich The Kid with grown-ass man money
I took the top off the 'cLaren, I'm letting the guts show
Walk in my bathroom, I step in the drug store
Treat the 200 for y'all like a tug boat, who want smoke?
Yeah, 'cause the bullet be drippin' like snot from a snub nose
I'm aimin' right to your heart like a love note
I told you right from the start, from the front door
I told her right from the pump, it's a gun show
It's me and Lil Richie and a fleet of some bitches
We stick to the code like Leo da Vinci
Many men, they wishing death upon me
Bop, bop, bop, give 'em three wishes
I need me a bitch that be needing them bitches
Fresh plate of pussy, I ain't cleaning the dishes
Chef's plate her bosom, yeah, I skeet on her titties
Creamy delicious, more babies than a pediatrician
Court days, I be leaning, I miss 'em
Nigga trippin' put the beef in the skillet
I pistol-whip 'em, I got teeth on the glizzy
Like, no way, can't believe it, I'm serious
No way, can't believe what I'm feelin'
No play, they don't need to play with me
OJ on this beat like it fit me
Turn your wife to a groupie (yeah)
He got smoked like a loosie (yeah)
Ride the wraith like a hoopty (yeah)
I been feelin' like, I been feelin' like Tunechi
Coming live from the 504
Bad bitch in my mentions with a mil' on the floor
Big Tunechi, I can't ride the lil' Mazi' no more
Young niggas still grindin', I'm the motherfuckin' GOAT
I been feelin' like Tunechi, huh
I been feelin' like, yeah, fuck 'em (fuck 'em)
Let me get in my bag, duffle (duffle)
Eat that bitch like the Last Supper (mmm)
Got her feelin' like, ""Ooh, "" Tunechi (ooh)
Got me feeling like, ""Yeah, fuck 'em"" (yeah)
Got me feelin' like Rich The Kid (yeah)
With grown-ass man money (yeah)
Weezy F, bitch, don't forget the Baby (Baby)
Big Tunechi watch cost four-eighty (Big Tunechi)
And I'm still screamin', ""Fuck you, pay me""
I been feelin' like Tunechi, bought a Maybach Mercedes (Skrt)
I'm in the Trukfit
I'ma fuck on a bitch and I make her lit (make her lit)
Man, I feel like Tha Carter, really rich (really rich)
Keep it real, 100, I could never switch
You just a worker, the boss in this bitch (boss)
I go platinum just talkin' my shit (just talkin' my shit)
My bitch too bad, get a bag if she throw a fit (fit)
I'm the GOAT killer, rappers get their throat slit (throat slit)
Count another fifty mil' like, ""Oh, shit"" (oh, shit)
Bank account gettin' heavy like a gold brick (gold brick)
I might buy a Bugatti (Bugatti)
Feelin' like Tunechi, baby mama get a big body
Turn your wife to a groupie (yeah)
He got smoked like a loosie (yeah)
Ride the wraith like a hoopty (yeah)
I been feelin' like, I been feelin' like Tunechi
Coming live from the 504
Bad bitch in my mentions with a mil' on the floor
Big Tunechi, I can't ride the lil' Mazi' no more
Young niggas still grindin', I'm the motherhfuckin' GOAT
I been feelin' like Tunechi, huh
I been feelin' like, yeah, fuck 'em (fuck 'em)
Let me get in my bag, duffle (duffle)
Eat that bitch like the Last Supper (mmm)
Got her feelin' like, ""Ooh, "" Tunechi (ooh)
Got me feeling like, ""Yeah, fuck 'em"" (yeah)
Got me feelin' like Rich The Kid (yeah)
With grown-ass man money (yeah)
Got me feelin' like, ""Fuck 'em"""
Lonely (with Lil Wayne),"Caught up in my feelings, I'll fuck around and kill another nigga
You ain't even gotta push me, how I'm feelin' now
I been havin' mood swings like a Gemini
I can use the murder for therapy
I can make the news with it, break the internet
Have 'em all nervous and scared of me
Then get away sneaky clean, never seen a thing (K.I.D.)
I got .44 and F&N bullets and
Twenty-five thousand stuffed in these Amiri jeans
Damn, look at what happened to hip-hop
He at the GRAMMYs and still got that shit cocked
Pull out the camera with me and my bitch out
And take a picture
Ain't a hatin' nigga in the world fuckin' with big John
Knock his brains out if he got it on his mind
Lonely, lonely baby
Lonely, lonely baby
A lonely, lonely baby (lonely)
Lonely, lonely baby (lonely, baby)
Lonely, lonely baby
A lonely, lonely baby (k)
As if I got a reason to act like I'm lonely
I saw my big brother laid out with his brains out
It's been catchin' up to me
Shit, how would you act if your bro took his life?
And you know that you rappin' like all of these niggas
And you don't even trap and you livin' your life
The best you ever had just to see it come crashin', I'm burnin'
You don't know the feelin' in the car with
A bottle of liquor, a pistol, a lonely killer
Ain't no love at the top, just a lonely nigga
Ain't no love at the bottom either
All these blood-suckin' leachers and bottom feeders
All these sores on our feet 'cause we over-steppin'
He just caught his first one so you know he reppin'
He just a lonely, lonely baby, yeah, baby
Peter Piper picked the pepper
I pulled a stick out, hit him, then I left him
She pulled my dick out, hit her on the dresser
We fucked my aggression out
She like a pretzel how I fold her up and put it in her
She fuckin' a lonely nigga that's a killer, nigga
(That ain't DaBaby, that's my baby, K.I.D.)
Hmm, it's Weezy Baby, at the top, it's lonely
Got choppers on me, can't stop the moment
I just popped a soma and now I'm karma
All that body on me got you hot, I'm warmin'
And it ain't gon' help you more than I'm gon' harm you
Outchea by myself rollin' like a army
Fuck her by myself, fuck her with her homies
I'on need nobody, I'on see no solids
Ba-ba-ba-ba-bap, bet I'on see nobody
Come and see about it, I bet you see a rivalry
On Giovanni's and I bet this pipe knock the Peter out of him
Better pick the pepper, all the devils hide from here to Heaven
Better get her reverend, bet his momma cry when she hear the reverend
Shots hit the reverend, better get it extra with your lonely ass
On your OnlyFans, you a only fan
You gon' die a stripper, wasn't born to dance
Fucked a thousand niggas, I'm the only man let you stay lonely
Let you skate on it, let you play on it, then let you cuddle on 'em
Jay on 'em, like you are not alone
Lonely, lonely baby (baby)
Lonely, lonely baby
A lonely, lonely baby (lonely, lonely, lonely)
Lonely, lonely baby (lonely, lonely, lonely)
Lonely, lonely baby
A lonely, lonely baby (you and I alone, k)
Lonely, lonely, lonely
Baby, lonely, lonely, lonely
Lonely, lonely, lonely
Baby, lonely, lonely, lonely"
Wockesha (with Lil Wayne & Ashanti) - Remix,"Yeah, I kinda put the cup down for a minute but uhm
But honestly, it ain't nobody's business what's in my cup
What's in your cup, what's in their cup
It's your cup, drink it
So whatever the hell was in my cup
The only reaction I did was got more popular, more successful
Than a lot more things that I've ever done
I probably should pick that cup back up (haha)
I'm seein' her lookin' like Keisha, like
""Do you love me, do you love me not?""
Damn, you hit the spot
Taste like candy (candy), sweet like fruit (ooh)
Wet like water, can I love on you?
Withdrawals, I'm feelin' different, every day I need a dose
Every now and thеn I'm missin', I got my times when I go ghost
But she minе (hmm, hmm, hmm, hmm), I'm stampin' her
Priority status, so them other bitches mad at her (too mad, ha)
Thumbin' through a hunnid thou', I spent that times two on you
Caught myself cuttin' you loose, then I popped back up like peekaboo
Here I go, flyer than most, Louis V coat
Gas station, coffe cup full, I don't drive boats, no
Money can't buy happiness but she found love inside a G
Head and somethin' to eat, that's all a thug nigga need
No lie, you get me higher than the prices on my weed
I'm displayin' my feelings like I'm wearing 'em on my sleeve
One minute I'm done with you, the next one I be runnin' back
Go your way, I go my way but somehow we be still attached
Tryna find my answers with this cup, but ain't no truth in that
They be like, I'm dumb for fuckin' with you, I spend stupid racks
I'm sittin' here knowing I don't need ya pouring O's in the lid
Sippin' chaser with my reefer, can't get my mind off Wockesha
Watch me put my heart in this cup
In my feelings, she my therapist, I'ma talk to this cup (I swear)
Ring around the rose-z, cup full of OZ's
I hope I don't OD, she keep sayin', ""Pour me""
Turn me to that purple demon emoji (Devil)
Fuck me like you miss me, it's been a whole week
This ain't no playground love, we grown (too grown)
I'm too fucked up, I paid four hunnid for a zone (that strong)
My bitch don't like you, you've been fuckin' my home (in my house)
Relapsin' every time I try to leave you lone (I relapse, girl)
Every nigga in the street lookin' for her but she rare
Dark skin, purple hair, stingy, with a heart to share (I can't)
Never needed nobody but it feel good to have somebody (that somebody)
Drop you and pick you up whenever I feel like it
This shit toxic
Let me know if you feel me, hmm-hmm (hmm-hmm, hmm-hmm, hmm)
I gotta stop it, I must stop it
One minute I'm done with you, the next one I be runnin' back
Go your way, I go my way but somehow we be still attached
Tryna find my answers with this cup, but ain't no truth in that
They be like, I'm dumb for fuckin' with you, I spend stupid racks
I'm sittin' here knowing I don't need ya pouring O's in the lid
Sippin' chaser with my reefer, can't get my mind off Wockesha
Watch me put my heart in this cup
In my feelings, she my therapist, I'ma talk to this cup (I swear)
Hmm-hmm, hmm-hmm, hmm
Hmm-hmm, hmm-hmm, hmm"
Hasta La Vista,"I tell you I love you
I tell you I need you
I say I won't leave you
(Uh)
I like when I'm faded, I'm so innovative
Eatin' pussy at my dinner table, I been gettin' it catered
Get the yayo, got me spendin' pesos, Benjamin tornado
Count my blessing's, this is what we pray for, everyone ain't able
Drop her heart, just like a hot potato, I'ma say though
She think she lit, I am fuego, keep that BS in her a-hole
'Cause I say so, and my bando, we just lay low
Rub my back, ask how my day go
I say I been on my J-O
She say, ""They know"", say no mo'
'Cause she go low, bless my wo-wo
I say ""Uh-oh, "" she start slow-mo
Once that coco start her mojo
She gon' go-go, she gon' deep throat 'til it's sore throat
She go deep sleep, I go NoDoz
Said ""I love you, "" watch my nose grow
Once that dope go, she go bozo
Girl, I'm gone
Hasta la vista, baby
Hasta la vista, baby
Hasta la vista, baby
Hasta la vista, baby (yuh)
I tell you I love you, baby
I tell you I need you, baby
I say I won't leave you, baby (I say I won't leave you)
Then I get amnesia, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
I tell you I love you (I tell you I love you)
I tell you I need you (I tell you I need you)
I say I won't leave you (I say I won't leave you)
Then I get amnesia (then I get amnesia)
I'm smokin' Keisha, baby (Keisha)
I'm high as Felicia, baby (Felicia)
I'ma find me a vegan baby (gone)
'Cause I'm tired of this beefin' baby (yuh)
I tell you I love you, baby (tell you I love you)
I tell you I need you, baby (I need you)
I say I won't leave you, baby (I won't leave you)
I like when I'm faded (gone)
So outta here, keep that shit over there
Where do we go from here
Come to the end of the road
Can't get the road repaired
I am on Mars with a bitch in her underwear
She take 'em off and then come back to Earth
In a hundred years, you niggas gummy bears
Rest in peace Rabbit
I got the Lamborghini doors up like some bunny ears (ah)
Bitch, better not jump in here
Bitch, better not run in here talkin' crazy
Get her walkin' papers
See these married niggas makin' it hard for players
But, see, the hardest players is too hard to play
I give her dick and a couple ultimatums
A cup of bumbu and a cup of coffee later
She do all the drugs, he do all the favors
So we fuck now and we argue later
Dick runnin' like an alternator
I don't separate 'em, I just alternate 'em
I got all the flavors, sit back enjoy the fruit of our labors
You gon' tan that applebottom, it's gon' be orange later
So I fucked the girl, wrote my number down
On the morning paper, set it on the table
Told her, ""I'll be back"", Schwarzenegger
Li'l mama, I'm gone (gone)
Hasta la vista, baby (yah)
Hasta la vista, baby (yah)
Hasta la vista, baby (hasta la vista)
Hasta la vista, baby (yah)
I tell you I love you, baby (I tell you I love you)
I tell you I need you, baby (I tell you I need you)
I say I won't leave you, baby (I say I won't leave you)
I get amnesia, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
I tell you I love you (I tell you I love you)
I tell you I need you (I tell you I need you, hey)
I say I won't leave you (I say I won't leave you)
Then I get amnesia (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
Hasta la vista, baby (gone)
I tell you I love you (I tell you I love you)
I tell you I need you (I tell you I need you)
I say I won't leave you (I say I won't leave you)
Then I get amnesia (then I get amnesia)"
In This House (feat. Gucci Mane),"Actin' like they killers, but them niggas just some hoes
We act like this a studio, this really just a trap
Everything we got, we had to whip it out the bowl
Before we shake your hand, we'd rather slap you with the strap
A million cash in hunnids, now they bring it to the door (racks)
Twenty K for a coat that I ain't even wore
This bitch so bad, I let her shop, I made 'em close the store
She think she trickin' me, but bitch don't know my pockets swole (the money)
Big bankroll, top floor South Beach (top)
Long money Gucci, ask your bitch 'bout me (ask)
Penthouse suite, four hoes, two weeks (yeah)
And all my shooters shootin' .223's 'bout me, Wop
Pick 'em with the AK-47
Three-sixty-five, twenty-four seven
Percocet got a nigga nose sweaty
But all the hoe shit still so smelly
Belch wrong, get your throat slashed
Nigga, broke ass, where's your cash?
Nigga, Santa Claus with no bag
Nigga, you a ho-ho-ho ass, nigga
You a ho-ho-ho ass, nigga
Pick 'em with the AK-47
Three-sixty-five, twenty-four seven
Percocet got a nigga nose sweaty
But all the hoe shit still so smelly
Belch wrong, get your throat slashed
Nigga, broke ass, where's your cash?
Nigga, Santa Claus with no bag
Nigga, you a ho-ho-ho ass, nigga
Boy, you been a hoe
I remember, hoe
You ain't foolin' Weezy F, and that's friend or foe
Tell them hoes in the house we kickin' in the door
He a ho and she a hoe, now that's too many hoes
Boy you been a hoe since Arsenio
Fuck yo' bitch, put her in the figure four
Scope on the gun, better visual
Silencer make the bullets tippy-toe
I don't give a fuck, never gave fucks
Always knew that a better day'd come
Haven't been asleep, seven day run
Never knew how a Chevrolet run
Ice Cube, Eazy-E, Ren, and Dre
I am the new NWA
Nigga with a AK-47
Three-sixty-five, twenty-four seven
Take lives like students took lessons
Jail time, felt like it took seconds
I'm a Goodfella, was a dope seller
All these hoe niggas must be Hoe-chella
Three-sixty-five, twenty-four seven
You a ho-ho-ho ass, nigga
Nigga with a AK-47
Three-sixty five, twenty-four seven
Percocet got a nigga nose sweaty
But all the hoe shit still so smelly
Nigga with a AK-47
Three-sixty five, twenty-four seven
Percocet got a nigga's nose sweaty
But all the hoe shit still so smelly
Belch wrong, get your throat slashed
Nigga, broke ass, where's your cash?
Nigga, Santa Claus with no bag
Nigga, you a ho-ho-ho ass, nigga
No bullshit, my nigga, I'm pushin' my triggers
They lookin' for niggas in bushes, my nigga
In the ocean, in the lake, in the woods, in the rivers
They skies was gray and the bullets was silver
Young Money on friend and my lady, my nigga
You front on your money, you quittin', my nigga
We kill you by breakfast and cook you for dinner
The lesbians say you a pussy-ass nigga, ol' hoe-ass nigga
I put some pressure on your hoe
Make her tell me what she know
Stop confessin' to that hoe
Stop confidin' in that hoe
Stop providin' for that hoe
You gon' die for that hoe
Suicide for that hoe
Boy, you been a hoe
I remember, hoe
You ain't foolin' Weezy F, and that's for friend or foe
Tell them hoes in the house we kickin' in the door
He a hoe and she a hoe, now that's too many hoes
Nigga with a AK-47
Three-sixty five, twenty-four seven
Percocet got a nigga nose sweaty
But all the hoe shit still so smelly
Belch wrong, get your throat slashed
Nigga, broke ass, where's your cash?
Nigga, Santa Claus with no bag
Nigga, you a ho-ho-ho ass, nigga
Boy, you been a hoe
I remember, hoe
You ain't foolin' Weezy F, and that's for friend or foe
Tell them hoes in the house we kickin' in the door
He a hoe and she a hoe, now that's too many hoes
(There's some whores in this house)"
I Love You Dwayne,"Lil Wayne, Mama proud of you
You done came so far, I can't wait for your album to come out
A lot of people ask me when it's coming out
They can't wait for your album to come out
I'm just proud of you
You's my rock
You's always been my rock
Mama love you
I love you
You take care of me and my son
Your little brother, we never wanted for nothing
I thank the Lord everyday for keeping us on this Earth
And he would help
I just pray things go well for you in life
But I thank the Lord, 'cause I knew you been through a lot
That I don't even know about
Mama love you
I love you Dwayne, with all my heart
You's my life
I live for you
You make sure if mama is taken care of
I don't care if you don't have it, you gon' make sure I get it anyway
Even though you don't have it to give
And my son does so much, ain't wanted for nothing
Anything somebody call you for, you gon', you gon' make sure he get it
Your children
A true man
Mama love you, I can't wait 'til your album come out
'Cause everybody asking about it and I know it's gonna be a beautiful album
Love you Dwayne"
Don't Cry (feat. XXXTENTACION),"Yeah
C5
Don't cry, don't go
Won't lie, I f- love you, whoa!
While you're staring into the clouds
Am I rising or they comin' down?
I see death around the corner
And the U-turn sign's lookin' like a smile
What do I do now? Who gon' find me, how?
Nowhere to turn but around and 'round
Just another n- that done lost his head
No, a f- king that forgot his crown
I am not number one, it's true
I'm number 9-27-82
Color blind, even if I may be blue
A lot on my plate, ain't my favorite food
But I'm hungry, so hungry
Need my family tree next to a money tree
With a bunch of leaves in the Garden of Eden
With a bunch of Eves, no fruit punch for me
I sipped from the fountain of youth
So if I die young, blame the juice
Bury me in New Orleans
Tombstone reads, ""Don't cry, stay tuned""
Bring me back to life
Got to lose a life just to have a life
But if heaven's as good as advertised
I want a triple extension on my motherf- afterlife
Rest in paradise
Don't cry (don't cry, don't cry), don't go (why, oh why?)
Won't lie, I f- love you (don't cry, don't cry, don't cry)
Don't cry (don't cry, don't cry), don't go
Don't go (oh no, oh why? Oh why? Oh why?
Won't lie, (don't cry, don't cry) I f- love you (don't cry, don't cry)
Talent is God-given, be grateful
Fame is not a given, be humble
And conceit is self-driven, drive carefully
Stay in your own lane, seat buckled
And sometimes when there is no music
We toot our own horns, rum-bum-bum-bum
That woman carried the future
And Tunechi was born like, ""Dun-dun-dun-dun""
Don't call it a comeback
It was dark, now the sun back
Hit me hard, but I punched back
The wheels fell off, I rode the hubcap
Is it suicide or is it do or die?
It's newer days and it's bluer skies
I told myself, ""It's just you and I""
Then the breeze came and it blew my mind
Lord knows who I'm there for
I give my last breath to effort
Mama tell me to be careful
Voice in my head give me an earful
But I got mind control over my control
I lost control but knew I'd find control
I let God control what I cannot control
Can't control the tears, let them drop and roll
Don't cry (don't cry, don't cry), don't go (why, oh why?)
Won't lie (don't cry, don't cry), I f- love you (triple extension on my motherf- afterlife)
Don't cry (don't cry, don't cry), don't go (why, oh why?)
Won't lie (don't cry), I f- love you (don't cry)
Don't cry, stay tuned
I want a triple extension on my motherf- afterlife
Rest in paradise"
Uproar,"I see, thank you man, thank you
Y'all know his name
Ayo, Mack, let the beat drop
Ladies and gentlemen, C5 (oh), Wayne time (oh)
Yeah, yeah, yeah
Zone, zone, zone, zone, zone
Let me see your shoulders work
I mean, I don't know what y'all came here to do, but uh
If you don't ain't a lighter, what the f- you smoking for
We hot (ha)
What the f- though?
Where the love go?
Five, four, three, two, I let one go
Bow, get the f- though, I don't bluff, bro
Aimin' at your head like a buffalo
You a roughneck, I'm a cutthroat
You're a tough guy, that's enough jokes
Then the sun die, the night is young though
The diamonds still shine, get it rough h-
What the f- though?
Where the love go?
Five, four, three, two, where the ones go?
It's a sh- show, put you front row
Talkin' sh-, bro? Let your tongue show
Money over b- and above h-
That is still my favorite love quote
Put the gun inside, what the f- for?
I sleep with the gun, and she don't snore
What the f- yo?
Where the love go?
Trade the ski mask, for the muzzle
It's a blood bath, where the suds go?
It's a Swizz beat, there the drums go?
If she's iffy, there the drugs go
If she sip lean, double-cup toast
I got a duffle full of hundos
There the love go, where's the uproar?
What the f- though?
Where the love go?
Five, four, three, two, I let one go
Bow, get the f- though, I don't bluff, bro
Aimin' at your head like a buffalo
What the f- though?
Where the love go?
Five, four, three, two, I let one go
Bow, get the f- though, I don't bluff, bro
Aimin' at your head like a buffalo
Get the f- though, I don't bluff, bro'
I come out the scuffle without a scuff, bro
Puff, puff, bro, I don't huff though
Yellow diamonds up close, catch a sunstroke
At your front door with a gun stowed
""Knock-knock, who's there?"" is how it won't go
This the jungle so have the utmost
For the nutzos, and we nuts, so
What the f-, bro?
It's where I'm from, bro
We grow up fast, we roll up slow
We throw up gang signs, she throw up dope
Dreadlock hang down like you dun know
Put the green in the bag, like a lawnmower
Hair trigger pulled back like a cornrow
Extra clip in the stash like a console
Listenin' to Bono, you listen to Donald
What the f- bro?
Where the love go?
Swizzy, he the chef, I like my lunch gross
Just look up, bro, there the scuds go
I see the shovel, but where did bruh go?
Hmm, to the unknown
Only way he comin' is through his unborns
If you see what's in my bag, think I'm a drug lord
It's empty when I give it back, now where's the uproar?
What the f- though?
Where the love go?
Five, four, three, two, I let one go
Bow, get the f- though, I don't bluff, bro
Aimin' at your head like a buffalo
What the f- though?
Where the love go?
Five, four, three, two, I let one go
Bow, get the f- though, I don't bluff, bro
Aimin' at your head like a buffalo"
Dedicate,"If it wasn't for Wayne, it wouldn't be
You tatted your face
Bugatti, new boo
You screamed ""Suu-Whoop""
Yeah, yeah, yeah, yeah
You bought a Bugatti, so you can flex
Most of the bad bitches your ex
Tattoos, Suu-Whoop, Bugatti, new boo
New subject, new paper, new Class, new school
New buddies, new haters, new ass, new boobs
Much later, too soon, too bad, too cool
Too hot, too lit, too high to move
Two eyes to view, but too blind to bloom
Who lied to you?
Two middle fingers that's up high to whom
It may consume, kaboom, goddamn
Who knew that I am the guru with voodoo
That sued you with to high hell
With shooters that shoot through the iron, man and see through the con man
And now he a dyin' man
I turned a goddamn into a God's Plan
Go over to diagram and get to the job man
Watch for the spycam
Sit back and watch and do not watch your watch hand
Give me some time, man
I am the bomb, man
I am gon' swim 'til I come out on dry land or on the fryin' pan
No we did not land on Plymouth Rock
But it landed on our land, now I'm just buyin' land
Back to the block where they got more rock fans
Than a fuckin' rock band under a rock, man
We need Barack, man
I do what I can to keep it solid as a you know what I'm sayin'
With some rock playin'
You tatted your face and changed the culture (you changed)
You screamed ""Suu-Whoop"" and them gangsters loved you (yeah, yeah)
You bought a Bugatti so you could flex (so you can flex)
And most of the bad bitches your ex
I started this shit, you just part of this shit
I'm the heart of this shit, and the heart doesn't skip
Take the heart of yo' bitch
'Cause like Bart, you a simp
And your water don't drip so your garden ain't shit
You just countin' the money, I'm drownin' in money
Like ""Where the fuck is the lifeguard in this bitch?""
I go Mars in this bitch, watch me orbit and shit
For the art of this shit, Andy Warhol and shit
Go retarded as shit, you go sweet tangy
I go tart on this shit, I'ma barf on this shit
I'm a martian and shit, you a orphan' lil' bitch
If I taught you some shit, that's like Harvard lil' bitch
You ain't talkin' 'bout shit but you softer than shit
Walk it like you talk it, now you walkin' in shit
I go Marvel movie on some marvelous shit
In the spot light too long should be darker than this
It's Tha Carter, lil' bitch
You tatted your face and changed the culture (you changed)
You screamed ""Suu-Whoop"" and them gangsters loved you (yeah, yeah)
You bought a Bugatti so you could flex (so you can flex)
And most of the bad bitches your ex
I started this shit, they borrowed this shit
I thought of this shit, they thought it was it
I'm doggin' this shit, they bark and they sit
Put a fork in that shit, which drawer to look in
I brought in this shit, the starters get benched
The orders get sent, then targets get hit
Billion dollar smile, I sell myself short if I grin
I'm bargainin' then
Apartments and shit, I could park in this shit
In the foreign car that I could talk to and shit
With a cultural bitch I can talk to and shit
'Bout the culture and shit, how I altered this shit
Tattoos, Suu-Whoop, Bugatti, new boo
Tattoos, Suu-Whoop, Bugatti, new boo
Tattoos, Suu-whoop, Bugatti, new boo
All of that shit, just tha Carter lil' bitch
You changed, Suu-whoop (you tatted your face)
Bugatti, new boo (you screamed ""Suu-whoop"")
Tattoos, Suu-whoop, Bugatti, new boo
Tattoos, Suu-whoop, Bugatti, new boo
Tunechi
(If it wasn't for Wayne, it wouldn't be)
They might think they've got a pretty good jump shot
Or a pretty good flow
But our kids can't all aspire to be LeBron or Lil Wayne!"
Let It Fly (feat. Travis Scott),"Fly
Let it fly
Let it fly like the birds in the sky
Hotter than the weather in July
I done did so much I can't decide
Word, word to my guys
She just get so -, I slip and slide
Had to get it back to give them five
I, I, I, yeah
It's Mr. Michael Myers man (Michael Myers)
Work the money back, I keep it coming in (whoo, whoo)
By the way we work you think I had a twin (twin)
I'm tryna run the game, it ain't no subbing in (naw)
You can't faze me, sliding from a dangerous life (it's lit!)
Always down to ball, I'm tryna drain these nights
See the smoke clouds through these entertainment lights
The way it go down we taking fours
And keeping doors tight (yeah, yeah!)
We at the top, end of discussion (discussion)
Been mixing alcohol in that 'tussin
The demon in they eyes and they clutchin' (scared)
I feed 'em adderall and they bussing, yeah (pew, pew, pew)
I kept the towel, not throwing in
I'm riding around in my ends
I got a driver for the pent to drop me 'round where I been
I keep some - just to lick, they help me out when I vent
She wanna hit that sh- again, nah (brr brr, brr brr)
That's the phone call, when my blood ring
It's Tha Carter 5, let the thugs sing (thugs)
Let it fly (brr, fly)
Let it fly like the birds in the sky (brr brr)
Hotter than the weather in July (brr brr)
I done did so much I can't decide (it's lit)
Word, word to my guys (yah)
She just get so wet, I slip and slide (splash)
Had to give it back to give them five
I, I, I
It's alive, it's alive, I'm revived, it's C5
Been arrived, kiss the sky, did the time
Please advise it is advise or be advised, and we advise
You not - with me and mine
And keep in mind that we don't mind losing our minds
Free your mind, read your mind, read your mind
Body take a week to find, the cops gon' be like, ""Never mind""
What's on your mind? Put the pistol to your mind and blow your mind
Control your mind, mind, freak no sober mind, I'm so behind
Front line, you crossed the line and you better know your lines
And if you gettin' out of line, I hang you with a clothing line
Wring you like an open line, keep your stanky - in line
Them - be lying, it's a thin line, I know you know you lyin'
Second line, second line, Tunechi got effective lines
Rough edges like a box of checker fries, that's a line
Catch the line, American flag, less thoughts extra lines
Stretch the line, skip the line, 'til you no more the next in line, yeah
Tunechi tuna lunatic, my goonie goons the gooniest
Run inside your room and kill you and who you rooming with
The Uzi with the booty clip, more than one I'm too equipped
Talking 'bout some fake -, based on true events
Trying not to get pinched, smoking on a stupid stench
Looking in the mirror tryna figure where my pupils went
Flash ya with a boujee -, Travy that's my hooligan (it's lit)
Take the T off Tunechi and look at it as the crucifix, bitch
C5, best rapper alive
Yeah, yeah, yeah, yeah
Let it fly"
