Song Name,Lyrics
Tusa,"¿Qué pasó contigo?
Dímelo, rrr
O-O-Ovy On The Drums (mmh)
Ya no tiene excusa (no)
Hoy salió con su amiga (ah), dizque pa matar la tusa (la tusa)
Que porque un hombre le pagó mal (ah)
Está dura y abusa (eh)
Se cansó de ser buena, ahora es ella quien los usa (oh-oh)
Que porque un hombre le pagó mal (mal)
Ya no se le ve sentimental (-tal)
Dice que por otro man no llora (llora), no
Pero si le ponen la canción (ah)
Le da una depresión tonta
Llorando, lo comienza a llamar
Pero él la dejó en buzón (-zón)
Será porque con otra está (con otra está)
Fingiendo que a otra se puede amar
Pero hice todo este llanto por nada
Ahora soy una chica mala
And now you kicking and screaming, a big toddler
Don't try to get your friends to come holler, holler
Ayy-yo, I used to lay low
I wasn't in the clubs, I was on my JO (wuh)
Until I realized you a epic fail, yo
So don't tell your guys that I'm still your bae, yo
'Cause it's a new day, I'm in a new place (uh-huh)
Getting some new D, sitting on a new face (okay)
'Cause I know I'm the baddest bitch you ever really met (ooh)
You searching for a badder bitch, and you ain't met her yet (ooh)
Ayy-yo, tell 'em to back off, he wanna slack off
Ain't no more booty calls, you gotta jack off
It's me and KAROL G, we let them rats talk
Don't run up on us 'cause they letting the macks off (rrr)
Pero si le ponen la canción (ah)
Le da una depresión tonta (tonta)
Llorando, lo comienza a llamar
Pero él la dejó en buzón (no)
Será porque con otra está (con otra está)
Fingiendo que a otra se puede amar, eh-uh
Un-un shot pa la pena profunda (eh)
Y seguimo' gastando la funda (la funda)
Otro shot pa la mente (yeah, yeah)
Pa que el recuerdo no la atormente (ah; oh)
Ya no le copia nada
Su ex ya no vale nada
Se va pa la disco y solo quiere perrear (perrear)
Pero se confunde cuando empieza a tomar (tomar)
Ella se cura con rumba (ah)
Y el amor pa la tumba (eh)
To' los hombre' le zumban (le zumban)
Pero si le ponen la canción (oh)
Le da una depresión tonta (tonta)
Llorando, lo comienza a llamar
Pero él la dejó en buzón (oh)
Será porque con otra está (con otra está)
Fingiendo que a otra se puede amar
Hey, KAROL G (ah; KAROL G)
Nicki Minaj (ah, ajá), hey
The Queen with The Queen (ah)
O-O-Ovy On The Drums"
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Drank
Young Money
Love in a thousand different flavours
I wish that I could taste them all tonight
No, I ain't got no dinner plans
So you should bring all your friends
I swear that to all y'all my type
All you girls in here, if you're feeling thirsty
Come on take a sip 'cause you know what I'm servin'
Shimmy shimmy yay, shimmy yay, shimmy ya (drank)
Swalla-la-la (drank)
Swalla-la-la (swalla-la-la)
Swalla-la-la
Shimmy shimmy yay, shimmy yay, shimmy ya (drank)
Swalla-la-la (drank)
Swalla-la-la (swalla-la-la)
Swalla-la-la
Freaky, freaky gyal
My freaky, freaky gyal
Shimmy shimmy shimmy yay, shimmy yah
Bad girls gon' swalla-la-la
Bust down on my wrist in this bitch
My pinky-ring bigger than this
Met her out in Beverly Hills, ay
Dolla got too many girls, ay
Met her out in Beverly Hills
All she wear is red bottom heels
When she back it up, put it on the Snap'
When she droppin' low, put it on the 'Gram
DJ poppin', she gon' swallow that
Champagne poppin', she gon' swallow that
All you girls in here, if you're feeling thirsty
Come on take a sip 'cause you know what I'm servin'
Shimmy shimmy yay, shimmy yay, shimmy ya (drank)
Swalla-la-la (drank)
Swalla-la-la (swalla-la-la)
Swalla-la-la
Shimmy shimmy yay, shimmy yay, shimmy ya (drank)
Swalla-la-la (drank)
Swalla-la-la (swalla-la-la)
Swalla-la-la
Freaky, freaky gyal
My freaky, freaky gyal (yo, yo, ayo)
Bad gyal nuh swalla nuttin', word to the Dalai Lama
He know I'm a fashion killa, word to John Galliano
He copping that Valentino, ain't no telling me ""no""
I'm that bitch, and he know, he know
How y'all wifin' these thots? You don't get wins for that
I'm havin' another good year, we don't get blimps for that
Pussy game still cold, we don't get minx for that
When I'm poppin' them bananas, we don't link chimps for that
I gave these bitches two years, now your time's up
Bless her heart, she throwing shots but every line sucks
I'm in that cherry red foreign with the brown guts
My shit slappin' like dude did LeBron's nuts
All you girls in here, if you're feeling thirsty
Come on take a sip 'cause you know what I'm servin'
Shimmy shimmy yay, shimmy yay, shimmy ya (my love) (drank)
Swalla-la-la (my love) (drank)
Swalla-la-la (swalla-la-la)
Swalla-la-la
Shimmy shimmy yay, shimmy yay, shimmy ya (drank)
Swalla-la-la (drank)
Swalla-la-la (swalla-la-la)
Swalla-la-la
Young Money
Swalla-la-la
J.D
Freaky, freaky gyal
Swalla-la-la
My freaky, freaky gyal
Swalla-la-la
My freaky, freaky gyal
Swalla-la-la
My freaky, freaky gyal
Derulo"
Bang Bang,"She got a body like an hourglass
But I can give it to you all the time
She got a booty like a Cadillac
But I can send you into overdrive, oh
You've been waiting for that
Step on up, swing your bat
See, anybody could be bad to you
You need a good girl to blow your mind, yeah
Bang-bang into the room (I know you want it)
Bang-bang all over you (I'll let you have it)
Just wait a minute, let me take you there (ah)
And wait a minute 'til you (ah, hey!)
Bang-bang, there goes your heart (I know you want it)
Back-back seat of my car (I'll let you have it)
Just wait a minute, let me take you there (ah)
And wait a minute 'til you (ah, hey!)
She might've let you hold her hand in school
But I'ma show you how to graduate (mhm)
No, I don't need to hear you talk the talk (hey, hey, hey)
Just come and show me what your mama gave, oh (alright)
I heard you've got a very big (shh)
Mouth, but don't say a thing
See, anybody could be good to you
You need a bad girl to blow your mind
Bang-bang into the room (I know you want it)
Bang-bang all over you (I'll let you have it)
Just wait a minute, let me take you there (ah)
And wait a minute 'til you (ah, hey!)
Bang-bang, there goes your heart (I know you want it)
Back, backseat of my car (seat of my car), I'll let you have it
Just wait a minute, let me take you there (you know what, girls?)
And wait a minute 'til you, ah, hey (let me show you how to do it)
It's Myx moscato, it's frizz in a bottle
It's Nicki Full Throttle, it's oh-oh
Swimming in The Grotto, we winning in the lotto'
We dipping in the powder blue, four-door
Kitten so good, it's dripping on wood
Get a ride in the engine that could go
Batman, robbin' it, bang-bang, cocking it
Queen Nicki dominant, prominent
It's me, Jessie and Ari', if they test me, they sorry
Ride his, uh, like a Harley then pull off in his Ferrari
If he hanging, we banging, phone ranging, he slanging
It ain't karaoke night but get the mic' 'cause I'm singing
Uh, B to the A to the N to the G to the-
Uh, B to the A to the N to the G to the, hey
See, anybody could be good to you
You need a bad girl to blow your mind
Your mind, hey (okay)
Bang-bang into the room (I know you want it)
Bang-bang all over you (bang, bang, bang, bang), I'll let you have it
Just wait a minute, let me take you there (ah)
And wait a minute 'til you (ah-yeah, yeah-uh-huh, ah, hey!)
Bang-bang, there goes your heart (there goes your heart), I know you want it
Back-back seat of my car (back of my car), I'll let you have it
Just wait a minute, let me take you there (let me take you there)
And wait a minute 'til you (ah, hey!)
Bang-bang into the room (I know you want it)
Bang-bang all over you (all over you, baby)
Yo, I said, bang, bang, bang, b-bang, bang
Bang, bang, bang, bang, b-bang, bang
Bang-bang, there goes your heart (I know you want it)
Back, backseat of my car, I'll let you have it (oh-oh)
Just wait a minute, let me take you there (ah)
And wait a minute 'til you (ah, hey!)"
Starships,"Uh, let's go to the beach-each
Let's go get a wave
They say what they gonna say
Have a drink, clink, found the Bud Light
Bad bitches like me is hard to come by
The Patrón-ón? Let's go get it on
The zone-one? Yes, I'm in the zone
Is it two, three? Leave a good tip
I'ma blow all of my money and don't give two shits, uh
I'm on the floor, floor
I love to dance
So give me more, more, 'til I can't stand
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am
Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time, oh
Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop (we're higher than a motherfucker)
Jump in my hoopty, hoopty, hoop, I own that
And I ain't paying my rent this month, I owe that
But fuck who you want and fuck who you like
Dancehall life, there's no end in sight
Twinkle, twinkle, little star
Now everybody, let me hear you say ray, ray, ray
Go spend all your money 'cause today payday
And if you're a G, you a G, G, G
My name is Onika, you can call me Nicki (woo)
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am
Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop (we're higher than a motherfucker)
Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop (we're higher than a motherfucker)"
Side To Side,"I've been here all night (Ariana)
I've been here all day (Nicki Minaj)
And boy, got me walkin' side to side
(Let them hoes know)
I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('Bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('Bout nothin')
These friends keep talkin' way too much
Say I should give you up
Can't hear them no, 'cause I
I've been here all night
I've been here all day
And boy, got me walkin' side to side
I've been here all night
I've been here all day
And boy, got me walkin' side to side (Side to side)
Been tryna hide it
Baby what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)
And boy I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me
These friends keep talkin' way too much
Say I should give you up
Can't hear them no, 'cause
I've been here all night
I've been here all day
And boy, got me walkin' side to side (Side to side)
I've been here all night
(Been here all night, baby)
I've been here all day
(Been here all day, baby)
And boy, got me walkin' side to side (Side to side)
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come true yo, get you this type of blow
If you wanna menage I got a tricycle
All these bitches, flows is my mini-me
Body smoking, so they call me young Nicki chimney
Rappers in they feelings cause they feelin' me
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop and I make my gum pop
I'm the queen of rap, young Ariana run pop
These friends keep talkin' way too much
Say I should give him up
Can't hear them no, 'cause I
I've been here all night
I've been here all day
And boy, got me walkin' side to side (Side to side)
I've been here all night
(Been here all night baby)
I've been here all day
(Been here all day baby)
Boy, got me walkin' side to side (Side to side)
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come true yo, get you this type of blow
If you wanna menage I got a tricycle"
Chun-Li,"Ayy, yo
Look like I'm goin' for a swim
Dunked on 'em, now I'm swingin' off the rim
Bitch ain't comin' off the bench
While I'm comin' off the court fully drenched
Here go some haterade, get your thirst quenched
Style'd on 'em in this Burberry trench
These birds copy every word, every inch
But gang-gang got the hammer and the wrench (brrt)
I pull up in that quarter milli' off the lot
Oh, now she tryna be friends like I forgot
Show off my diamonds like I'm signed by the Roc
Ain't pushin' out his babies 'til he buy the rock
Ayy, yo, I been on, bitch, you been corn
Bentley tints on, Fendi prints on
I mean I been Storm, X-Men been formed
He keep on dialin' Nicki, like the Prince song
I-I-I been on, bitch, you been corn
Bentley tints on, Fendi prints on
Ayy, yo, I been North, Laura been Croft
Plates say Chun-Li, drop the Benz off, uh
Oh, I get it
They paintin' me out to be the bad guy
Well, it's the last time you're gonna see a bad guy do the rap game like me
I went and copped the chopsticks
Put it in my bun just to pop shit
I'm always in the top shit
Box seats, bitch, fuck the gossip
How many of them could've did it with finesse?
Now everybody like, ""She really is the best""
You play checkers, couldn't beat me playin' chess
Now I'm about to turn around and beat my chest
Bitch, it's King Kong, yes, it's King Kong
Bitch, it's King Kong, this is Kin' Kong
Chinese ink on, Siamese links on
Call me 2 Chainz, name go ding-dong
Bitch, it's King Kong, yes, I'm King Kong
This is King Kong? Yes, Miss King Kong
In my kingdom with my Timbs on
(How many championships?) What? Six rings on
They need rappers like me
They need rappers like me
So they can get on their fuckin' keyboards and make me, the bad guy
Chun-li
Ayy, yo, I been on, bitch, you been corn
Bentley tints on, Fendi prints on
I mean I been Storm, X-Men been formed
He keep on dialin' Nicki, like the Prince song
I-i-i been on, bitch, you been corn
Bentley tints on, Fendi prints on
Ayy, yo, I been North, Laura been Croft
Plates say 'Chun-Li' drop the Benz off, uh
I come alive, I, I'm always sky high
Designer thigh highs
It's my lifestyle
I come alive, I, I'm always sky high
Designer thigh highs
It's my lifestyle
I need a Mai Tai, so fuckin' sci-fi
Give me the password, to the fuckin' WiFi"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","Be my woman, girl, I'mma
Be your man
Be my woman, girl, I'll
Be your man
Yes I be your woman
Yes I be your baby
Yes I be whatever that you tell me when you ready
Yes I be your girl, forever your lady
You ain't never gotta worry, I'm down for you baby
Best believe that when you need that
I'll provide that you will always have it
I'll be on deck keep it in check
When you need that I'mma let you have it
You beatin' drum like dum di di dey
I love the dirty rhythm you play
I wanna hear you calling my name
Like hey mama mama hey mama mama (Hey)
Banging the drum like dum di di dey
I know you want it in the worst way
I wanna hear you calling my name
Like hey mama mama hey mama mama (Hey)
Be my woman, girl, I'mma
Be your man
Be my woman, girl, I'll
Be your man
Yes I do the cooking
Yes I do the cleaning
Yes I keep the nana real sweet for your eating
Yes you be the boss yes I be respecting
Whatever that you tell me 'cause it's game you be spitting
Best believe that when you need that
I'll provide that you will always have it
I'll be on deck keep it in check
When you need that I'mma let you have it
You beatin' my drum like dum di di dey
I love the dirty rhythm you play
I wanna hear you calling my name
Like hey mama mama hey mama mama (Hey)
Banging the drum like dum di di dey
I know you want it in the worst way
I wanna hear you calling my name
Like hey mama mama hey mama mama (Hey)
Be my woman, girl, I'mma
Be your man
Be my woman, girl, I'll
Be your man
Whole crew got the juice
Your dick game the truth
My screams is the proof
Them other dudes get the deuce
I might speed in the coupe
Leaving this interview
It ain't nothin' new, I been fuckin' with you
None of them bitches ain't taking you,
Just tell them to make a U (Make a U)
Huh, that how it be, I come first like debuts, huh
So baby when you need that, give me that word
I'm no good, I'll be bad for my baby
So I make sure that he's getting his share
So I make sure that his baby take care
So I make sure mama, toes on my knees
Keep him, please, rub him down, be a lady and a freak
You beatin' my drum like dum di di dey
I love the dirty rhythm you play
I wanna hear you calling my name
Like hey mama mama hey mama mama (Hey)
Banging the drum like dum di di dey
I know you want it in the worst way
I wanna hear you calling my name
Like hey mama mama mama hey mama mama (Hey)
Be my woman, girl, I'mma
Be your man
Be my woman, girl, I'll
Be your man"
Beauty And A Beat,"Yeah
Young Money
Nicki Minaj, Justin
Show you off, tonight I wanna show you off (aye-aye-aye)
What you got, a billion could've never bought (aye-aye-aye)
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya
'Cause all I need
Is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby do it like you do
'Cause
Body rock
Girl, I can feel your body rock (aye-aye-aye)
Take a bow
You on the hottest ticket now (aye-aye-aye)
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, we young tonight
I'm coming for ya, I'm coming for ya
'Cause all I need
Is a beauty and a beat
Who can make my life complete
It's all 'bout you
When the music makes you move
Baby do it like you do
In time, ink lines
Bitches couldn't get on my incline
World tours, it's mine
Ten little letters on a big sign
Justin Bieber
You know I'mma hit 'em with the ether
Buns out, weiner
But I gotta keep an eye out for Selener
Beauty, beauty and the beast
Beauty from the East
Beautiful confessions of the priest
Beast, beauty from the streets, beat will get deceased
Every time Beauty on the beat-eat
Body rock, oh (yeah, yeah)
I wanna feel your body rock (yea, let's go, let's go)
'Cause all I need (all I need is love)
Is a beauty and a beat
Who can make my life complete (oh, woah)
It's all 'bout you (all I need is you)
When the music makes you move
Baby do it like you do
'Cause"
Monster,"I shoot the lights out
Hide 'til it's bright out
Oh, just another lonely night
Are you willing to sacrifice your life?
Ahh!
Bitch, I'm a monster no-good blood sucker
Fat motherfucker, now look who's in trouble
As you run through my jungles, all you hear is rumbles
Kanye Wests sample, here's one for example
Gossip, gossip, nigga, just stop it
Everybody know (I'm a motherfuckin' monster)
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
Uh, the best livin' or dead hands down, huh
Less talk, more head right now, huh
And my eyes more red than the devil is
And I'm 'bout to take it to another level, bitch
Matter who you go and get, ain't nobody cold as this
Do the rap and the track, triple-double, no assists
And my only focus is stayin' on some bogus shit
Arguin' with my older bitch, actin' like I owe her shit
I heard the beat, the same raps that give the track pain
Bought the chain that always give me back pain
Fuckin' up my money so, yeah, I had to act sane
Chi nigga but these hoes love my accent
She came up to me and said, ""This the number to dial""
If you wanna make it number one, you're number two now
Mix that Goose and Malibu, I call it ""Malibooyauh""
Goddamn, Yeezy always hit 'em with a new style
Know that motherfucker, well, what you gon' do now?
Whatever ever I wanna do, gosh, it's cool now
Know I'm gonna do, ah, it's the new now
Think you motherfuckers really really need to cool out
'Cause you will never get on top off this
So, mami, best advice is just to get on top of this
Have you ever had sex with a pharaoh?
Ah, put the pussy in a sarcophagus
Now she claimin' that I bruised her esophagus
Head of the class and she just won a swallowship
I'm livin' in the future so the present is my past
My presence is a present, kiss my ass
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
Sasquatch, Godzilla, King Kong, Lochness
Goblin, ghoul, a zombie with no conscience
Question, what do these things all have in common?
Everybody knows I'm a motherfuckin' monster
Conquer, stomp ya, stop your silly nonsense
Nonsense, none of you niggas know where the swamp is
None of you niggas have seen the carnage that I've seen
I still here fiends scream in my dreams
Murder, murder in black convertibles
I kill a block I murder avenues, ah
Rape and pillage a village, women and children
Everybody wanna know what my Achilles heel is
Love, I don't get enough of it
All I get is these vampires and blood suckers
All I see is these niggas I made millionaires
Millin' about, spillin' they feelings in the air
All I see is these fake fucks with no fangs
Tryna draw blood from my ice-cold veins
I smell a massacre
Seems to be the only way to back you bastards up
Gossip, gossip, nigga, just stop it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands at the concert
Profit, profit, nigga, I got it
Everybody know I'm a motherfuckin' monster
I'ma need to see your fuckin' hands at the concert
I'ma need to see your fuckin' hands
Pull up in the monster, automobile gangsta
With a bad bitch that came from Sri Lanka
Yeah, I'm in that Tonka, color of Willy Wonka
You could be the king but watch the Queen conquer
Okay, first things first I'll eat your brains
Then I'ma start rockin' gold teeth and fangs
'Cause that's what a motherfuckin' monster do
Hairdresser from Milan, that's the monster 'do
Monster Giuseppe heel, that's the monster shoe
Young money is the roster and the monster crew
And I'm all up, all up, all up in the bank with the funny face
And if I'm fake, I ain't notice 'cause my money ain't
So let me get this straight, wait, I'm the rookie?
But my features and my shows ten times your pay?
Fifty K for a verse, no album out
Yeah, my money's so tall that my Barbies gotta climb it
Hotter than a Middle Eastern climate, violent
Tony Matterhorn, dutty wine it, wine it
Nicki on them titties when I sign it
That's how these niggas so one-track minded
But really, really I don't give a F-U-C-K
""Forget Barbie, fuck Nicki 'cause sh-she's fake""
""She on a diet, "" but my pockets eatin' cheesecake
And I'll say bride of Chucky is child's play
Just killed another career it's a mild day
Besides, Ye, they can't stand besides me
I think me, you and Amb' should ménage Friday
Pink wig, thick ass, give 'em whip lash
I think big, get cash, make 'em blink fast
Now look at what you just saw, this is what you live for
Ah, I'm a motherfuckin' monster!
I, I crossed the limelight
And I'll, I'll let God decide-cide
And I, I wouldn't last these shows
So I, I am headed home (headed home)
I, I crossed the limelight
And I'll, I'll let God decide-cide
And I, I wouldn't last these shows
So I, I am headed home (headed home)
I, I crossed the limelight (no, the limelight)
And I'll, I'll let God decide-cide
And I, I wouldn't last these shows
So I, I am headed home (headed home)"
Bottoms Up (feat. Nicki Minaj),"… Kane is in the building, nigga
(Oh-oh-oh-ohh, ay) it's Mr. Steal Yo Girl
(Oh-oh-oh-ohh, ay) it's Mr. Steal Yo Girl
(Oh-oh-oh-ohh) hey girl, hey girl
(Oh-oh-ohh) hey girl, hey girl
(Hey girl) leggo
… Bottoms up, bottoms up (up), ayy, what's in ya cup?
Got a couple bottles, but a couple ain't enough
Bottoms up, bottoms up (up), throw your hands up
Tell security we 'bout to tear this club up
… Bottoms up, bottoms up (up), pocket full of green
Girl, you know I love the way you shake it in them jeans
Bottoms up, bottoms up (up), throw yo' hands up
Bottoms up (up), bottoms up (up), bottoms up, up, up
… You know what it is, girl, we back up in this thang (thang)
Money stay in my pocket, girl, I'm like a walkin' bank (bank)
Tell me whatcha drank, tell me whatcha think
If I go get these bottles, we go alcohol insane ('sane)
… Callin' all the girls (girls), do you hear me?
All around the world (world), city to city (city)
Cheers to the girls, throw a deuce to the guys
Now I got a chicken and a goose in the ride, gettin' loose in the ride
Hatin' ass nigga you can move to the, move to the, move to the side
… Bottoms up, bottoms up (up), ay, what's in yo' cup?
Got a couple bottles, but a couple ain't enough
Bottoms up, bottoms up (up), throw your hands up
Tell security we 'bout to tear this club up
… Bottoms up, bottoms up (up), pocket full of green
Girl, you know I love the way you shake it in them jeans
Bottoms up, bottoms up (up), throw yo' hands up
Bottoms up (up), bottoms up (up), bottoms up, up, up
… My vision's blurred (c'mere), my words slurred (c'mere)
It's jam-packed (yeah), a million girls (ay)
And I ain't tryna leave, though (hey)
We drunk so let me be your alcohol hero
… Callin' all the girls (girls, girls), do you hear me? (Girls)
All around the world (world), city to city (yeah)
Cheers to the girls, throw a deuce to the guys
Now I got a chicken and a goose in the ride, gettin' loose in the ride
Hatin' ass nigga you can move to the, move to the, move to the side
… Bottoms up, bottoms up (up), ay, what's in yo' cup?
Got a couple bottles, but a couple ain't enough
Bottoms up, bottoms up (up), throw your hands up
Tell security we 'bout to tear this club up
… Bottoms up, bottoms up (up), pocket full of green
Girl, you know I love the way you shake it in them jeans
Bottoms up, bottoms up (uh-huh), throw ya hands up (uh)
Bottoms up (uh), bottoms up, bottoms up (uh), up, up (yo)
… Could I get that 'trón? Could I get that Remy?
Could I get that coke? Could I get that Henny?
Could I get that margarita on the ro-ro-rocks?
Could I get that salt all around that rim, rim, rim, rim?
Trey, I was like, ""Yo, Trey
Do you think you could buy me a bottle of Rosé?""
Okay, let's get it now
… I'm with a bad bitch, he's with his friends
I don't say hi, I say, keys to the Benz
Keys to the Benz? Keys to the Benz
Mu-mu' right, yeah, V to the 10
If a bitch tryna get cute I'ma stomp her
Throw a lot of money at her then yell, ""Fuck her
Fuck her! Fuck her!"", then yell, ""Fuck her!""
Then I'ma go get my Louisville Slugger
… Excuse me? I'm sorry, I'm really such a lady
I rep Young Money, you know, Slim, Baby?
And we be doin' donuts while we wavin' the .380
We give a lot of money to the babies out in Haiti
… Yellin' all around the world, ""Do you hear me?""
Do you like my body? Anna Nicki (ow)
Rest in peace to Anna Nicole Smith
Yes, my dear, you're so explosive
Say hi to Mary, Mary and Joseph
Now, bottoms up and double my dosage
… Bottoms up, bottoms up (up), ay, what's in yo' cup?
Got a couple bottles, but a couple ain't enough
(Turn your) bottoms up, bottoms up (up), throw your hands up
Tell security we 'bout to tear this club up
… Bottoms up, bottoms up (up), pocket full of green
Girl, you know I love the way you shake it in them jeans
(It's not that I'm drunk) ooh, shake it
Bottoms up (I'm, I'm), bottoms up (I'm, I'm on that), throw yo' hands up
(I'ma be, I'm, I'm, I'm good) bottoms up, bottoms up (I'm good)
… Trigga Trey, Nicki M (bottoms up), let's get it (c'mere)
Bottoms up, bottoms up, bottoms up
I, I, I, I am Zolanski (bottoms up)
I'm Roman (bottoms up)
Yeah"
