Song Name,Lyrics
(You Gotta ) Fight For Your Right (To Party),"… Kick it!
… You wake up late for school, man you don't want to go
You ask you mom, please? but she still says, no
You missed two classes, and no homework
But your teacher preaches class like you're some kind of jerk
… You gotta fight for your right to party
… Your pops caught you smoking, and he says, ""No way!""
That hypocrite smokes two packs a day
Man, living at home is such a drag
Now your mom threw away your best porno mag (bust it!)
… You gotta fight for your right to party
… You gotta fight
… Don't step out of this house if that's the clothes you're gonna wear
I'll kick you out of my home if you don't cut that hair
Your mom busted in and said, what's that noise?
Aw, mom you're just jealous it's the Beastie Boys
… You gotta fight for your right to party
You gotta fight for your right to party
… Party
Party"
Wild Thing,"Let's do it
Workin' all week 9 to 5 for my money
So when the weekend comes I go get live with the honey
Rollin' down the street I saw this girl and she was pumpin'
I winked my eye she got into the ride went to a club was jumpin'
Introduce myself as Loc she said ""You're a liar""
I said ""I got it goin' on baby doll and I'm on fire""
Took her to the hotel she said ""You're the king""
I said ""Be my queen if you know what I mean and let us do the wild thing
Wild thing
Wild thing
Shoppin' at the mall looking for some gear to buy
I saw this girl she cool rocked my world and I had to adjust my fly
She looked at me and smiled and said ""You have plans for the night""
I said ""Hopefully if things go well I'll be with you tonight""
So we journeyed to her house one thing led to an other
I keyed the door we cold hit the floor looked up and it was her mother
I didn't know what to say I was hanging by a string
She said ""Hey you two I was once like you and I liked to do the wild thing""
Wild thing
She loved to do the wild thing
Wild thing
Please baby baby please
Posse in effect hangin' out is always hype
And when me and the crew leave the shindig I want a girl who's just my type
Saw this luscious little frame I ain't lyin' fellas she was fine
The sweet young miss go gave me a kiss and I knew that she was mine
Took her to the limousine still parked outside
I tipped the chauffeur when it was over and I gave her my own ride
Couldn't get her off my jack she was like static cling
But that's what happens when body start slappin' from doin' the wild thing
Wild thing
She want to do the wild thing
Please baby baby please
Wild thing
Doin' a little show at the local discotheque
This fine youg chick was on my jack so I say what the heck
She want to come on stage and do her little dance
So I said chill for now but maybe later you'll get your chance
So when the show was finished I took her around the way
And what do you know she was good to go without a word to say
We was all alone and she said ""Tone let me tell you one thing
I need $50 to make you holler I get paid to do the wild thing""
Say what
Yo love you must be kidding
You're walkin' babe
Just break out of here
Hasta la vista baby
Wild thing"
Bust A Move,"This here's a jam for all the fellas
Tryin' to do what those ladies tell us
Get shot down 'cause you're overzealous
Play hard to get, females get jealous
Ok, smarty, go to a party
Girls are scantily clad and showin' body
A chick walks by you wish you could sex her
But you're standin' on the wall like you was Poindexter
Next day's function, high class luncheon
Food is served and you're stone cold munchin'
Music comes on, people start to dance
But then you ate so much you nearly split your pants
A girl starts walkin', guys start gawkin'
Sits down next to you and starts talkin'
Says she wanna dance 'cause she likes the groove
So come on, fatso, and just bust a move
Ah, ah, yeah
Ah, ah, ah, yeah
Ah, ah, yeah (just bust a move!)
Ah, ah, yeah, ah, ah
You're on a mission and you're wishin'
Someone could cure your lonely condition
Lookin' for love in all the wrong places
No fine girls, just ugly faces
From frustration, first inclination
Is to become a monk and leave the situation
But every dark tunnel has a lighter hope
So don't hang yourself with a celibate rope
New movie's showin', so you're goin'
Could care less about the five you're blowin'
Theatre gets dark just to start the show
Then you spot a fine woman sittin' in your row
She's dressed in yellow, she says ""hello
Come sit next to me, you fine fellow!""
You run over there without a second to lose
And what comes next? hey, bust a move!
If you want it, you got it
If you want it, baby, you got it, (just bust a move!)
If you want it, you got it
If you want it, baby, you got it
In the city, ladies look pretty
Guys tell jokes so they can seem witty
Tell a funny joke just to get some play
Then you try to make a move and she says, ""no way""
Girls are fakin', goodness sakin'
They want a man who brings home the bacon
Got no money and you got no car
Then you got no woman and there you are
Some girls are sophistic, materialistic
Looking for a man makes them opportunistic
They're lyin' on the beach perpetratin' a tan
So that a brother with money can be their man
So on the beach you're strollin', real high-rollin'
Everything you have is yours and not stolen
A girl runs up with somethin' to prove
So don't just stand there, bust a move!
If you want it, you got it
If you want it, baby, you got it (just bust a move)
If you want it, you got it
If you want it, baby, you got it (break it down for me fellas)
Ah, ah
Ah, ah
Ah, ah
Ah, ah
Ah, ah, hey, yeah
Ooh, uh, hey, yeah!
Ooh, uh, hey, yeah!
Ooh, uh, uh, uh
Your best friend Harry has a brother Larry
In five days from now he's gonna marry
He's hopin' you can make it there if you can
'Cause in the ceremony you'll be the best man
You say neato, check your libido
And roll to the church in your new tuxedo
The bride walks down just to start the wedding
And there's one more girl you won't be getting
So you start thinkin', then you start blinkin'
A bride maid looks and thinks that you're winkin'
She thinks you're kinda cute so she winks back
And now you're feelin really fine 'cause the girl is stacked
Reception's jumpin', bass is pumpin'
Look at the girl and your heart starts thumpin'
Says she wants to dance to a different groove
Now you know what to do, G, bust a move!
If you want it, you got it, ah
If you want it, baby, you got it (just bust a move), ah
If you want it, you got it, ah
If you want it, baby, you got it (move it, boy)
Aah, aah, aah, aah
Ah, ah, yeah, ah
Aah, hey, aah, yeah!
Aah, aah, heyy, yeah, yeah!"
Funky Cold Medina,"Cold coolin' at a bar, and I'm lookin' for some action
Feel like Mike Jagger said, I can't get no satisfaction
The girls are all around, but none of them wanna get with me
My threads are fresh and I'm lookin' def', yo, what's up with L-O-C?
The girls is all jockin' at the other end of the bar
Havin' drinks with some no name chump
When they know that I'm the star
So I got up and strolled over to the other side of the cantina
I asked the guy, ""Why you so fly?"" he said, ""Funky Cold Medina""
You know I'm saying
Funky Cold Medina
This brother told me a secret on how to get more chicks
Put a little Medina in your glass, and the girls'll come real quick
It's better than any alcohol or aphrodisiac
A couple of sips of this love potion, and she'll be on your lap
So I gave some to my dog when he began to beg
Then he licked his bowl and he looked at me
And did the wild thing on my leg
He used to scratch and bite me, before he was much, much meaner
But now all the poodles run to my house for the Funky Cold Medina
Oh, my goodness gracious, break it down for 'em
Uh-huh, Funky Cold Medina
I went up to this girl, she said, ""Hi, my name is Sheena""
I thought she'd be good to go with a little Funky Cold Medina
She said, ""I'd like a drink, "" I said, ""Ehm, okay, I'll go get it""
Then a couple sips she cold licked her lips
And I knew that she was with it
So I took her to my crib, and everything went well as planned
But when she got undressed, it was a big old mess, Sheena was a man
So I threw him out, I don't mess around with no Oscar Meyer wiener
You must be sure that your girl is pure for the Funky Cold Medina
You know what I'msaying, y'all? Ain't no plans with a man
Oh, yeah, Funky Cold Medina
Oh, it's too late, break it down
Back in the saddle, lookin' for a little affection
I took a shot as a contestant on, the Love Connection
The audience voted, and you know they picked a winner
I took my date to the Hilton for a Medina and some dinner
We had a few drinks, I'm thinkin' soon what I'll be gettin'
Instead she started talkin' 'bout plans for our weddin'
I said, ""Wait, slow down, love, not so fast says, I'll be seein' ya""
That's why I found you don't play around with the Funky Cold Medina
Funky Cold Medina"
Have You Seen Her,"Ah yeah, I'm glad I put this tape in,
I'm just goin' cruise down the road,
Look at the stars in the sky,
And drift off into the sweet memory's that I have,
Of a love that my heart has been searching for,
For so long, and I know somewhere,
If I keep searching, that love I'll find,
The picture grows clearer and clearer,
From the back to the front of my mind,
And like love, a love I know I'll have,
The girl that I want, she'll be mine, she'll be fly, and it'll last,
I see her face and I can't let go,
She's in my dreams and my heart, so let me know,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
I'm looking for that love,
She's a thought and a vision in my memory,
I haven't met her, but tell me where could she be,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
I'm looking for that special love,
(love, oh love, love is a feeling that I need)
Love is a feeling that the Hammer definitely needs,
(please be mine)
Baby be mine,
(I need your love to make it)
I need your love to make it,
So why don't you be mine,
The search is going on,
From coast to coast,
A women for the man, who's propping the most,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
My heart is beating strong,
This love cannot be wrong,
I need her and I want her, so come on to my home,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
I'm a keep looking,
At the movies, in my car, on my stero,
At a game of Different World or the Cosby Show,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
Yo veo, tell me what's up,
At the track, at the club, or out buying dub,
If you've seen her, then I'll have her, cause I'm in love,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
My heart is hurting so bad,
(love, oh love, love is a feeling that I need)
Love is a feeling that I know I need,
(please be mine)
Be mine baby,
(I need your love to make it)
I need your love to make it,
Why don't you be mine,
(baby, be mine)
Where could she be?,
At the store around the corner,
Or wondering at night,
Or chilling with another brother holding the mic,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
Hammer, you know I'm looking,
Calling all my friends all around the place,
Guy, Lavertte, or my homey Rob Base,
(have you seen her?)
Have you seen her?,
(tell me have you seen her?)
If you've peeped her out, tell me,
Yo, veo on the phone,
Ted, Dre, or Ed Lover,
Fab Five, homeys won't you help a young brother,
Have you seen her?,
(tell me have you seen her?)
I got a picture in my mind,
The thought is so clear of the love I need here,
Like D-be magic, and why don't you appear,
(have you seen her?)
Oh baby, why don't you appear,
I can see yo' face,
I'm seeing her face, again and again,
Come knocking at my door, and you know I'll let you in,
Have you seen her?,
(tell me have you seen her?)
Oh, my sweet love,
Searching 'round the world, what more can I say?,
The girl is hard to see like an unseen VJ,
(have you seen her? tell me have you seen her? have you seen her?)"
U Can't Touch This,"You can't touch this
You can't touch this
You can't touch this
You can't touch this
My, my, my, my
(You can't touch this)
Music hits me so hard
Makes me say ""Oh, my Lord
Thank you for blessing me
With a mind to rhyme and two hyped feet""
It feels good when you know you're down
A super dope homeboy from the Oaktown
And I'm known as such
And this is a beat, uh, you can't touch
I told you, homeboy
You can't touch this
Yeah, that's how we livin', and ya know
You can't touch this
Look in my eyes, man
You can't touch this
Yo, let me bust the funky Iyrics
You can't touch this
Fresh new kicks and pants
You got it like that
Now you know you wanna dance
So, move outta your seat
And get a fly girl
And catch this beat
While it's rolling
Hold on
Pump a little bit and let 'em know it's going on
Like that, like that
Cold on a mission, so fall on back
Let 'em know that you're too much
And this is a beat, uh, they can't touch
Yo, I told you
You can't touch this
Why you standing there, man?
You can't touch this
Yo, sound the bell, school's in, sucker
You can't touch this
Give me a song or rhythm
Making them sweat, that's what I'm giving them
Now, they know
You talk about the Hammer
When you're talkin 'bout a show
That's hyped and tight
Singers are sweatin'
So pass them a wipe or a tape
To learn
What it's gonna take in the 90's to burn
The chart's legit
Either work hard or you might as well quit
That's word, because, you know
You can't touch this
You can't touch this
Break it down!
Stop, Hammer time!
""Go with the flow"", it is said
If you can't groove to this, then you probably are dead
So, wave your hands in the air
Bust a few moves
Run your fingers through your hair
This is it, for a winner
Dance to this and you're gonna get thinner
Now move, slide your rump
Just for a minute, let's all do the bump
(Bump, bump, bump)
Yeah
You can't touch this
Look, man
You can't touch this
You'll probably get hyped, boy, 'cause you know you can't
You can't touch this
Ring the bell, school's back in
Break it down!
Stop, Hammer time!
You can't touch this
You can't touch this
You can't touch this
Break it down!
Stop, Hammer time!
Every time you see me
That Hammer's just so hype
I'm dope on the floor
And I'm magic on the mic
Now, why would I ever
Stop doing this
With others making records
That just don't hit?
I toured around the world
From London to The Bay
It's ""Hammer! Go, Hammer! MC Hammer! Yo, Hammer!""
And the rest can go and play
""U Can't Touch This""
You can't touch this
You can't touch this
Yeah
You can't touch this
I told you
You can't touch this
Too hype, you can't touch this
Yo, we're outta here
You can't touch this"
The Humpty Dance,"All right, stop whatcha doin' 'cause I'm about to ruin
The image and the style that ya used to
I look funny, but, yo, I'm makin' money, see
So, yo, world I hope you're ready for me
Now gather 'round, I'm the new fool in town
And my sound's laid down by the Underground
I drink up all the Hennessey ya got on ya shelf
So just let me introduce myself
My name is Humpty, pronounced with a Umpty
Yo, ladies, oh, how I like to funk thee
And all the rappers in the top ten
Please allow me to bump thee
I'm steppin' tall, y'all and just like Humpty Dumpty
You're gonna fall when the stereos pump me
I like to rhyme, I like my beats funky
I'm spunky, I like my oatmeal lumpy
I'm sick wit dis, straight gangsta mack
But sometimes I get ridiculous
I'll eat up all your crackers and your licorice
Uh, yo fat girl, come here, are ya ticklish?
Yeah, I called ya fat, look at me, I'm skinny
It never stopped me from gettin' busy
I'm a freak, I like the girls with the boom
I once got busy in a Burger King bathroom, I'm crazy
Allow me to amaze thee
They say I'm ugly but it just don't faze me
I'm still gettin' in the girls' pants
And I even got my own dance
The Humpty Dance is your chance to do the hump
(Oh, do me, baby) come on, uh
Do the Humpty Hump, come on and do the Humpty Hump
(Oh, oh, do me, baby) check me out y'all
Do the Humpty Hump, just watch me do the Humpty Hump
(Oh, oh, oh, do me, baby) yeah
Do the Humpty Hump (do ya know what I'm doin'?)
Do the Humpty Hump (doin' the Humpty Hump) (oh, oh, oh, do me, baby)
Come on, do the Humpty Hump, ha, do the Humpty Hump
People say, ""Yo, Humpty, you're really funny lookin'""
That's all right 'cause I get things cookin'
Ya stare, ya glare, ya constantly try to compare me
But ya can't get near me
I give 'em more, see, and on the floor, be
All the girls they adore me
Oh yes, ladies, I'm really bein' sincere
'Cause in a 69 my humpty nose will tickle ya rear
My nose is big, uh-uh I'm not ashamed
Big like a pickle, I'm still gettin' paid
I get laid by the ladies, ya know I'm in charge
Both how I'm livin' and my nose is large
I get stupid, I shoot an arrow like Cupid
I'll use a word that don't mean nothin', like looptid
I sang on Doowhutchalike, and if ya missed it
I'm the one who said, ""Just grab 'em in the biscuits""
Also told ya that I like to bite
Well, yeah, I guess it's obvious, I also like to write
All ya had to do was give Humpty a chance
And now I'm gonna do my dance
The Humpty Dance is your chance to do the hump
(Oh, do me, baby) come on, yeah, sexy lady
Do the Humpty Hump, come on, uh, do the Humpty Hump
(Oh, oh, do me, baby) sexy baby, everybody
Do the Humpty Hump, do the Humpty Hump (come on and do the Humpty Hump)
(Oh, oh, oh, oh, do me, baby) uh
Do the Humpty Hump (do ya know what we're doin'?)
Do the Humpty Hump (we doin' the Humpty Hump, y'all) (oh, oh, oh, do me, baby)
Uh, do the Humpty Hump, watch me do the Humpty Hump
Oh, yeah, that's the break, y'all
Let a little of that bass groove right here
A-doo-doo, a-doo-doo
Oh, yeah
Now that I told y'all a little bit about myself
Let me tell ya a little bit about this dance
It's real easy to do, check it out
First I limp to the side like my leg was broken
Shakin' and twitchin' kinda like I was smokin'
Crazy, whack, funky
People say, ""You look like M.C. Hammer on crack, Humpty""
That's all right 'cause my body's in motion
It's supposed to look like a fit or a convulsion
Anyone can play this game
This is my dance, y'all, Humpty Hump's my name
No two people will do it the same
You got it down when you appear to be in pain
Humpin', funkin', jumpin'
Jig around, shakin' ya rump
And when a doo-doo chump punk points a finger like a stump
Tell him step off, I'm doin' the Hump
The Humpty Dance is your chance to do the hump
(Oh, do me, baby) everybody, uh
Do the Humpty Hump, come on, do the Humpty Hump
(Oh, oh, oh, do me, baby) sexy lady
Do the Humpty Hump (uh), do the Humpty Hump
(Oh, oh, oh, oh, do me, baby)
Do the Humpty Hump (do ya know what I'm doin'?)
Do the Humpty Hump (we're doin' the Humpty Hump, y'all) (oh, oh, oh, do me, baby)
Uh, watch me do the Humpty Hump, uh, do the Humpty Hump
Check it out (oh, oh, oh, do me, baby)
Black people
Do the Humpty Hump, do the Humpty Hump (oh, oh, oh, do me, baby)
Come on, white people
Do the Humpty Hump, do the Humpty Hump (oh, oh, oh, do me, baby)
Puerto Ricans
Do the Humpty Hump, just keep on doin' the hump (do the, do the Humpty Hump)
(Oh, oh, oh, do me, baby)
Samoans
Do the Humpty Hump, do the, do the Humpty Hump
Oh, yeah
Let's get stupid
uh
Do the Humpty Hump, do the Humpty Hump
(Gimme me, gimme me the music)
Everybody do the Humpty Hump, do the Humpty Hump
Uh, gi-gimme me the music
Do the Humpty Hump, come on and do the Humpty Hump
(Gimme me, gimme me the music)
Do the Humpty Hump (do ya know what we're doin'?)
Do the Humpty Hump (doin' the Humpty Hump)
Oh, yeah, gon' and break it down (oh, oh, do me, baby)
Uh, uh
Yeah, yeah, sexy lady (oh, oh, do me, baby)
Once again, the Underground is in the house
I'd like to send a shout out to the whole world
Keep on doin' the Humpty Dance
And to the ladies
Peace and humptiness forever"
Just a Friend,"Have you ever met a girl that you tried to date
But a year to make love she wanted you to wait?
Let me tell ya a story of my situation
I was talkin' to this girl from the U.S. nation
The way that I met her was on tour at a concert
She had long hair and a short miniskirt
I just got onstage drippin', pourin' with sweat
I was walkin' through the crowd and gues who I met
I whispered in her ear, ""Come to the picture booth
So I can ask you some questions to see if you are a hundred proof""
I asked her her name, she said blah-blah-blah
I took a couple of flicks and she was enthused
I said, ""How do you like the show?""
She said, ""I was very amused""
I started throwin' bass, she started throwin' back mid-range
But when I sprung the question, she acted kind of strange
Then when I asked, ""Do ya have a man, "" she tried to pretend
She said, ""No I don't, I only have a friend""
Come on, I'm not even goin' for it
This is what I'm goin' sing
You, you got what I need but you say he's just a friend
And you say he's just a friend, oh baby
You, got what I need but you say he's just a friend
But you say he's just a friend, oh baby
You, got what I need but you say he's just a friend
But you say he's just a friend
So I took blah-blah's word for it at this time
I thought just havin' a friend couldn't be no crime
'Cause I have friends and that's a fact
Like Agnes, Agatha, Germaine, and Jacq
Forget about that, let's go into the story
About a girl named blah-blah-blah that adored me
So we started talkin', gettin' familiar
Spendin' a lot of time so we can build up
A relationship or some understanding
How it's gonna be in the future we was plannin'
Everything sounded so dandy and sweet
I had no idea I was in for a treat
After this was established, everything was cool
The tour was over and she went back to school
I called every day to see how she was doin'
Every time that I called her it seemed somethin' was brewin'
I called her on my dime, picked up, and then I called again
I said, ""Yo, who was that?"" ""Oh, he's just a friend""
Don't gimme that, don't even gimme that
Jus' bust this
You, you got what I need but you say he's just a friend
And you say he's just a friend, oh baby
You, got what I need but you say he's just a friend
But you say he's just a friend, oh baby
You, got what I need but you say he's just a friend
But you say he's just a friend
So I came to her college on a surprise visit
To see my girl that was so exquisite
It was a school day, I knew she was there
The first semester of the school year
I went to a gate to ask where was her dorm
This guy made me fill out a visitor's form
He told me where it was and I as on my way
To see my baby doll, I was happy to say
I arrived in front of the dormitory
Yo, could you tell me where is door three?
They showed me where it was for the moment
I didn't know I was in for such an event
So I came to her room and opened the door
Oh, snap! Guess what I saw?
A fella tongue-kissin' my girl in the mouth
I was so in shock my heart went down south
So please listen to the message that I say
Don't ever talk to a girl who says she just has a friend"
Around The Way Girl,"You got me shook up, shook down, shook out
On your loving, on your loving
I want a girl with extensions in her hair
Bamboo earrings, at least two pair
A Fendi bag and a bad attitude
That's all I need to get me in a good mood
She can walk with a switch and talk with street slang
I love it when a woman ain't scared to do her thing
Standing at the bus stop sucking on a lollipop
Once she gets pumping it's hard to make the hottie stop
She likes to dance to the rap jam
She sweet as brown sugar with the candied yams
Honey coated complexion, using Camay
Let's hear it for the girl, she's from around the way
I need an around the way girl
Around the way girl
That's the one for me
She's the only one for me
I need an around the way girl
(You got me shook up, shook down, shook out on your loving)
Silky, milky her smile is like sunshine
That's why I had to dedicate at least one rhyme
To all the cuties in the neighborhood
'Cause if I didn't tell you then another brother would
Your sweet like sugar with your gangster talk
Want to eat you like a cookie when I see you walk
With your rayon, silk or maybe even denim
It really doesn't matter as long as you're in them
You can break hearts and manipulate minds
Or surrender act tender be gentle and kind
You always know what to say and do
Cold flip when you think your man is playing you
Not cheap or petty, you're ready for loving
You're real independent so your parents be bugging
But if you ever need a place to stay
Come around my way
I need an around the way girl
Around the way girl
That's the one for me
She's the only one for me (To the bridge)
I need an around the way girl
(You got me shook up, shook down, shook out on your loving)
Perm in your hair or even a curly weave
With your New Edition Bobby Brown button on your sleeve
I tell you come here, you say meet me half way
'Cause brothers been popping that game all day
Around the way you're like a neighborhood jewel
All the home boys sweat you so you're crazy cool
Wear your gold in the summer with your biking shorts
While you watching all the brothers on the basketball court
Going to the movies with your homegirl's crew
While the businessmen in suits be hawking you
Baby, hair pumping, lip gloss is shining
I think you in the mood for whining and dining
So we can go out and eat somewhere
We got a lot of private jokes to share
Lisa, Angela, Pamela, Renee
I love you, you're from around the way
I need an around the way girl
Around the way girl
That's the one for me
She don't love him (You got me shook)
I need an around the way girl
An around the way girl
Fine as can be
I need an around the way girl
That's the one for me
I need an around the way girl
Fine as can be"
Now That We Found Love,"… Yeah
Now that we found love what are we gonna do (What are we gonna do)
With it (With it)
Now that we found love what are we gonna do (Hey)
With it (Now)
… One two, tell me what you got
Let me slip my quarters inside your slot to hit the jackpot
Rev me up rev me up, my little buttercup
We can tug sheets snuggle up and get stuck
Believe it or not here comes the brother with glow
A strugglin', bubblin' overweight lover hurt prone
So what's it gonna be, me or the TV?
… Now let me take time to set your mind and your body free
(Now) So why don't you just stretch, stretch for a sec
Played stretch so I could cop a quick rec
Shake me, shake me, baby baby bake me
No need to fake here I am, come on and take me
Wind your body
Baby move your body
I see you slip sliding, come on now do it hottie!
I'm not quite sure as to what is going down
But I'm feeling Hunky Dory 'bout this thing that I found
… Now that we found love what are we gonna do with it
Now that we found love what are we gonna do with it (Come on Heavy, come on Heavy)
… I like the way you wiggle you don't jiggle once you jiggle
So hand over your love 'cause it's heavier than it'll
Move her like a mover she wanted to groove so I grooved her
Then she wanted to learn so we did school and I schooled her
(Now) Mary had a little lamb, but not like this
We can waltz and turn, rumble tumble and twist
Then you think you gonna give in
Fantasies relivin'
So lay down and relax (Yeah baby, that's it)
… Lover my lady
Lady love of my baby girl
Spread your wings so we can fly around the world
Harmony, charm of me
Your fingertips are callin' me
When you drop me kisses you're so cute you drop the bomb on me
… Stretch it, stretch it, flex it, flex it
Gimme the permission
Okey dokey I'll bless ya
Blessin' like Buddha, Buddha as the bless
You can lay down on the lover, put your head on my chest (Now that we)
… Now that we found love what are we gonna do with it (What are we gonna do with it)
Now that we found love what are we gonna do with it (TR, get em up one time)
… Uh, keep it funky
Yeah (Keep it smooth) like this
(Now) Uh, here we go
(Now) What can we do
What are we gonna do
Roses are red and Violets are blue
Love is good and plenty if you get plenty good lovin'
Kiss you where you're hot to what I got to keep you bubblin'
… Do me right, do me right, my lonesome dove
Tell me one more time what is this thing called love
I'm not quite sure as to what is going down
But I'm feeling Hunky Dory
About this thing that I found (Yeah)
… Now that we found love what are we gonna do with it (Teddy Riley in the house)
Now that we found love what are we gonna do with it (C'mon, c'mon, G Wiz, DJ NF, let's flex)
… Now that we found love what are we gonna do with it
Now that we found love what are we gonna do with it (I need to know, somebody got to tell me, got to tell me)
… What are we gonna do with this love, oh sweet love yeah
Oh yeah, uh, shake it, shake it
C'mon do the right thing baby (Shake it, shake it)
… Now that we found love what are we gonna do with it (Here we go, keep it funky)
Now that we found love what are we gonna do with it (Put your hands together, uh)
… All up in money my furnish was decades you hear what I'm sayin'
Brooklyn, Bronx, Queens, Manhattan
The whole New York City
I said I love you to death, and you don't stop, and you don't quit
You got keep it on to the dip dip, do it like this
And you don't stop, and you don't quit
You got keep it on and on and on and on
… Uh yeah yeah aye aye, ha ha
Huh, (C'mon) oh yeah
Now that we found love what are we gonna do with it"
