Song Name,Lyrics
You Make My Dreams (Come True),Unavailable
Rich Girl,Unavailable
Maneater,"She'll only come out at night
The lean and hungry type
Nothing is new, I've seen her here before
Watching and waiting
Ooh, she's sitting with you but her eyes are on the door
So many have paid to see
What you think you're getting for free
The woman is wild, a she-cat tamed by the purr of a Jaguar
Money's the matter
If you're in it for love
You ain't gonna get too far
Watch out boy she'll chew you up
(Oh here she comes)
She's a maneater
(Oh here she comes)
Watch out boy she'll chew you up
(Oh here she comes)
She's a maneater
I wouldn't if I were you
I know what she can do
She's deadly man, she could really rip your world apart
Mind over matter
Ooh, the beauty is there but a beast is in the heart
Watch out boy she'll chew you up
(Oh here she comes)
She's a maneater
(Oh here she comes)
Watch out boy she'll chew you up
(Oh here she comes)
She's a maneater
Ooh,
Oh here she comes
Here she comes
Watch out boy she'll chew you up
Whoa here she comes
(Watch out)
She's a maneater
Oh here she comes
(She's a maneater)
Ooh, she'll chew you up
(Oh here she comes)
Here she comes, she's a maneater
(Oh here she comes)
(Watch out)
She'll only come out at night, ooh
(Oh here she comes)
Here she comes
She's a maneater
(Oh here she comes)
(She's a maneater)
The woman is wild ooh
(Oh here she comes)
Here she comes
Watch out boy, watch out boy
(Oh here she comes)
Oh, watch out, watch out, watch out, watch out
(Oh here she comes)
Yeah yeah she's a maneater
(Oh here she comes)
(She's a maneater)
She's watching and waiting ooh
(Oh here she comes)
Oh she's a maneater"
Sara Smile,"Baby hair with a woman's eyes
I can feel you watching in the night
All alone with me and we're waiting for the sunlight
When I feel cold, you warm me
And when I feel I can't go on, you come and hold me
It's you and me forever
Sara smile
Won't you smile a while for me, Sara
If you feel like leaving, you know you can go
But why don't you stay until tomorrow?
If you want to be free, you know, all you got to do is say so
And when you feel cold, I'll warm you
And when you feel you can't go on, I'll come and hold you
It's you and me forever
Sara smile
Won't you smile a while for me, Sara
Sara smile
Won't you smile a while for me, Sara
Smile
Won't you smile a while for me, Sara
Oh smile a while, won't you laugh Sara
Make me feel like a man not keeping me crazy crazy
Smile a while"
She's Gone,Unavailable
Private Eyes,"I see you, you see me
Watch you blowin' the lines
When you're making a scene
Oh girl, you've got to know
What my head overlooks
The senses will show to my heart
When it's watching for lies
You can't escape my
Private eyes
They're watching you
They see your every move
Private eyes
They're watching you
Private eyes
They're watching you watching
You watching you watching you
You play with words you play with love
You can twist it around baby that ain't enough
'Cause girl I'm gonna know
If you're letting me in or letting me go
Don't lie when you're hurting inside
'Cause you can't escape my
Private eyes
They're watching you
They see your every move
Private eyes
They're watching you
Private eyes
They're watching you watching
You watching you watching you
Why you try to put up a front for me
I'm a spy but on your side you see
Slip on, into any disguise
I'll still know you
Look into my
Private eyes
They're watching you
They see your every move
Private eyes
They're watching you
Private eyes
They're watching you
Private eyes
They're watching you
They see your every move
Private eyes
They're watching you
Private eyes
They're watching you
Private eyes
They're watching you
They see your every move
Private eyes
They're watching you
Private eyes
They're watching you"
Out of Touch,"Shake it up is all that we know
Using the bodies up as we go
I'm waking up to fantasy
The shades all around aren't the colors we used to see
Broken ice still melts in the sun
And times that are broken can often be one again
We're soul alone
And soul really matters to me
Take a look around
You're out of touch
I'm out of time
But I'm out of my head when you're not around
You're out of touch
I'm out of time (time)
But I'm out of my head when you're not around
Oh oh oh oh oh oh
Reaching out for something to hold
Looking for a love where the climate is cold
Manic moves and drowsy dreams
Or living in the middle between the two extremes
Smoking guns hot to the touch
Would cool down if we didn't use them so much, yeah
We're soul alone
And soul really matters to me
Too much
You're out of touch
I'm out of time
But I'm out of my head when you're not around
You're out of touch
I'm out of time
But I'm out of my head when you're not around
Oh oh oh oh oh oh
Oh oh oh oh oh oh
You're out of touch
I'm out of time
But I'm out of my head when you're not around
You're out of touch
I'm out of time
But I'm out of my head when you're not around
You're out of touch
Time
But I'm out of my head when you're not around
You're out of touch
I'm out of time
Not around
You're out of touch
I'm out of time"
Kiss on My List,"My friends wonder why I call you all the time
What can I say
I don't feel the need to give such secrets away
You think maybe I need help, no, I know I'm right, alright
I'm just better off not listening to friends' advice
When they insist on knowing my bliss
I tell them this
When they want to know what the reason is
I only smile when I lie, then I tell them why
your kiss is on my list
(Because your kiss) your kiss is on my list
Because your kiss is on my list of the best things in life
(Because your kiss) your kiss is on my list
(Because your kiss) your kiss I can't resist
(Because your kiss) is what I miss when I turn out the lights
I go crazy wondering what there is to really see
Did the night just take up your time, 'cause it means more to me
Sometimes I forget what I'm doing
I don't forget what I want, what I want
Regret what I've done, regret you, I couldn't go on
But if you insist on knowing my bliss
I'll tell you this
If you want to know what the reason is
I only smile when I lie, then I'll tell you why
your kiss is on my list
(Because your kiss) your kiss is on my list
Because your kiss is on my list of the best things in life
(Because your kiss) your kiss is on my list
(Because your kiss) your kiss I can't resist
(Because your kiss) is what I miss when I turn out the lights
I really miss you babe
your kiss is on my list
(Because your kiss) your kiss is on my list
Because your kiss is on my list of the best things in life
(Because your kiss) your kiss is on my list
(Because your kiss) your kiss I can't resist
(Because your kiss) is what I miss when I turn out the lights
your kiss is on my list
(Because your kiss) your kiss I can't resist
Because your kiss is on my list of the best things in life"
One On One,"I'm tired of playing on the team
It seems I don't get time out anymore
What a change if we set the pace face to face
No one even trying to score oh
Oh oh I can feel the magic of your touch
And when you move in close a little bit means so much
Ooh yeah, you've got to understand baby
Time out is what I'm here for
One on one I want to play that game tonight
One on one I know I want to play that
One on one I want to play that game tonight
One on one so slow
You can't tell me you don't miss me girl
I think I might know you too well
Wonder what you'd say if you knew that I was coming tonight
(Want to) I want you can't you tell
One on one I want to play that game tonight
One on one I know I want to play that
One on one I want to play that game tonight
One on one so slow
That's all you need to know now
'Cause if it's really right there's nothing else
One on one I want to play that game tonight
One on one I want to play that game tonight
One on one I want to play that game tonight
One on one I want to play that game tonight
One on one, girl
There's nothing else but you and me
I don't want no one else
I don't want no one else
Baby I am tired of playing
I am tired of playing
I don't want to play those games no more, no more
I want to play with you girl
I want to play with you girl
Just you and me
You and me
You and me"
I Can't Go for That (No Can Do),Unavailable
