Song Name,Lyrics
Sharks,Unavailable
Bones,"Gimme, gimme, gimme some time to think
I'm in the bathroom, looking at me
Face in the mirror is all I need (ooh)
Wait until the reaper takes my life
Never gonna get me out alive
I will live a thousand million lives (ooh)
My patience is waning
Is this entertaining?
Our patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones
I-I-I got this feeling in my soul
Go ahead and throw your stones
'Cause there's magic in my bones
Playing with a stick of dynamite
There was never gray in black and white
There was never wrong 'til there was right (ooh, oh)
Feeling like a boulder hurtling
Seeing all the vultures circling
Burning in the flames I'm working in
Turning in a bed that's darkening
My patience is waning
Is this entertaining?
Our patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones (in my bones)
I-I-I got this feeling in my soul
Go ahead and throw your stones
'Cause there's magic in my bones
'Cause there's magic in my bones
Look in the mirror of my mind
Turning the pages of my life
Walking the path so many paced a million times
Drown out the voices in the air
Leaving the ones that never cared
Picking the pieces up and building to the sky
My patience is waning
Is this entertaining?
My patience is waning
Is this entertaining?
I-I-I got this feeling, yeah, you know
Where I'm losing all control
'Cause there's magic in my bones (magic in my bones)
I-I-I got this feeling in my soul (soul)
Go ahead and throw your stones
'Cause there's magic in
There goes my mind (I-I-I)
Don't mind
There goes my mind (there it goes, there it goes)
There goes my mind (I-I-I)
Don't mind (there it goes)
There goes my mind
'Cause there's magic in my bones"
Believer,"First things first
I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second
Don't you tell me what you think that I could be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh
I was broken from a young age
Taking my sulking to the masses
Writing my poems for the few
That look at me, took to me, shook to me, feeling me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
First things first
Can you imagine what's about to happen?
It's Weezy the Dragon, I link with the Dragons
And we gon' get ratchet, no need for imaginin'
This is what's happenin'
Second thing second, I reckon immaculate
Sound about accurate
I know that strength, it don't come, don't come without strategy
I know the sweet, it don't come without cavities
I know the passages come with some traffic
I start with from the basement, end up in the attic
And third thing third
Whoever call me out, they simply can't count
Let's get mathematic, I'm up in this, huh
Is you a believer?
I get a unicorn out of a zebra
I wear my uniform like a tuxedo
This dragon don't hold his breath, don't need no breather
Love you Ms. Cita, the son of a leader
I know the bloomin' don't come without rain
I know the losin' don't come without shame
I know the beauty don't come without hurt
Hol' up, hol' up, last thing last
I know that Tunechi don't come without Wayne
I know that losin' don't come without game
I know that glory don't come without...
Don't come without...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
Last things last
By the grace of fire and flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh
But they never did, ever lived, ebbing and flowing
Inhibited, limited 'til it broke open and rained down
It rained down, like...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer"
Enemy (with JID) - from the series Arcane League of Legends,"I wake up to the sounds of the silence that allows
For my mind to run around with my ear up to the ground
I'm searching to behold the stories that are told
When my back is to the world that was smiling when I turned
Tell you you're the greatest
But once you turn, they hate us
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy
(Look out for yourself)
My enemy (look, look, look, look)
(Look out for yourself)
But I'm ready
Your words up on the wall as you're praying for my fall
And the laughter in the halls and the names that I've been called
I stack it in my mind and I'm waiting for the time
When I show you what it's like to be words spit in a mic
Tell you you're the greatest
But once you turn, they hate us (huh)
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy (look, look, look, look)
(Look out for yourself)
My enemy (look, look, look, look)
(Look out for yourself)
Uh, look
Okay, I'm hoping that somebody pray for me
I'm praying that somebody hope for me
I'm staying where nobody 'posed to be
P-P-Posted, being a wreck of emotions
Ready to go whenever, just let me know
The road is long, so put the pedal into the floor
The enemy on my trail, my energy unavailable
I'ma tell 'em hasta luego
They wanna plot on my trot to the top
I've been outta shape, thinkin' out the box, I'm an astronaut
I blasted off the planet rock to cause catastrophe
And it matters more because I had it not
Had I thought about wreaking havoc on an opposition
Kinda shocking they wanted static with precision, I'm automatic
Quarterback, I ain't talkin' sacking
Pack it, pack it up, I don't panic
Batter, batter up, who the baddest?
It don't matter 'cause we at your throat
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy
Pray it away, I swear
I'll never be a saint, no way
My enemy
Pray it away, I swear
I'll never be a saint"
Demons,"When the days are cold
And the cards all fold
And the saints we see are all made of gold
When your dreams all fail
And the ones we hail
Are the worst of all, and the blood's run stale
I wanna hide the truth
I wanna shelter you
But with the beast inside
There's nowhere we can hide
No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come
When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide
At the curtain's call
It's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave
And the masquerade
Will come calling out at the mess you've made
Don't wanna let you down
But I am hell-bound
Though this is all for you
Don't wanna hide the truth
No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come
When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide
They say it's what you make
I say it's up to fate
It's woven in my soul
I need to let you go
Your eyes, they shine so bright
I wanna save that light
I can't escape this now
Unless you show me how
When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide"
Natural,"Will you hold the line
When every one of them has given up and given in? Tell me
In this house of mine
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will heaven step in? Will it save us from our sin, will it?
'Cause this house of mine stands strong
That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge face up
'Cause you're a natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Will somebody
Let me see the light within the dark trees shadowing?
What's happening?
Looking through the glass find the wrong within the past knowing
Oh, we are the youth
Cut until it bleeds inside a world without the peace, face it
A bit of the truth, the truth
That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge face up
'Cause you're a natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Deep inside me, I'm fading to black, I'm fading
Took an oath by the blood on my hand, won't break it
I can taste it, the end is upon us, I swear
Gonna make it
I'm gonna make it
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Natural
Yeah, you're a natural"
Thunder,"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a ""Yes sir"", not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder
Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder
Thunder, thunder, thun-, thunder
Thun-thun-thunder, thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, thunder
Thunder
Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say, ""You're basic"", they say, ""You're easy""
You're always riding in the backseat
Now I'm smiling from the stage while
You were clapping in the nosebleeds
Thunder, thunder, thun-
Thunder, thun-thun-thunder
Thunder, thunder
Thunder, thun-, thunder
Thun-thun-thunder, thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder, feel the thunder
Lightning and the thunder
Thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder
Lightning and the thunder, thunder
Thunder, feel the thunder (never give up, never give up)
Lightning and the thunder, thunder (never give up, never give up)
Thunder, feel the thunder (never give up, never give up)
Lightning and the thunder, thunder (never give up)
Thunder, thunder, thun-
Thunder, thun-thun-thunder, thunder
Thunder, thunder, thun-
Thunder, thun-thun-thunder, thunder
Thunder, thunder, thun-
Thunder, thun-thun-thunder, thunder
Thunder, thunder, thun-, thunder
Thun-thun-thunder, thunder"
Lonely,"Sometimes, I can get a little
I can get a little lonely
Sometimes, I can get a little
I can get a little lonely
Some nights, I get a little lonely
It's even when there's people all around me
Sometimes, I get a little anxious
'Cause these pills don't work the way the doctor played it
I'm startin' to spin, needles and pins
Right on the brim, hand on a limb, takin' it in
Sleep it away, life in a day, and a day in a life
Mixing it up, checkin' it twice
Trying to breathe, starting to seize
Lights, camera, action and scene
Story of my life
Oh, love (sometimes, I can get a little)
Have mercy (I can get a little lonely)
On me (sometimes, I can get a little)
And keep me company (I can get a little lonely)
I said, ""Oh, love"" (sometimes, I can get a little)
""Have mercy"" (I can get a little lonely)
""On me"" (sometimes, I can get a little)
""And keep me company"" (I can get a little lonely)
I said-
Sometimes, I smile to keep things easy
I hide in corners, hope that no one sees me
So I'm playin' the role, ridin' the bull, stuck in a hole
Takin' a bow, lookin' so proud
Look at me now, talkin' about pills in my mouth
Under the tongue, isn't it fun?
Trying to breathe, starting to seize
Lights, camera, action and scene
Story of my life, oh-oh
Oh, love (sometimes, I can get a little)
Have mercy (I can get a little lonely)
On me (sometimes, I can get a little)
And keep me company (I can get a little lonely)
I said, ""Oh, love"" (sometimes, I can get a little)
""Have mercy"" (I can get a little lonely)
""On me"" (sometimes, I can get a little)
""And keep me company"" (I can get a little lonely)
I said, ""Oh, love"" (keep me company, I said, ""Help keep me company"", I said)
""Have mercy"" (""Help keep me company"", I said, ""Oh, love"")
Oh, love, can you please have mercy on me?
(Keep me company, I said, ""Help keep me company"", I said)
Can you keep me company? (""Help keep me company"", I said, ""Help-"")
L-O-N-E-L-Why am I so lonely?
Oh, love (sometimes, I can get a little)
Have mercy (I can get a little lonely)
On me (sometimes, I can get a little)
And keep me company (I can get a little lonely)
I said, ""Oh, love"" (sometimes, I can get a little)
""Have mercy"" (I can get a little lonely)
""On me"" (sometimes, I can get a little)
""And keep me company"" (I can get a little lonely)
I said, ""Oh, l-"""
Radioactive,"Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh
Whoa
I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
I raise my flags, don my clothes
It's a revolution, I suppose
We'll paint it red to fit right in
Whoa
I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
All systems go, the sun hasn't died
Deep in my bones, straight from inside
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive"
Bad Liar,"Oh, hush, my dear, it's been a difficult year
And terrors don't prey on
Innocent victims
Trust me, darling, trust me darling
It's been a loveless year
I'm a man of three fears
Integrity, faith and
Crocodile tears
Trust me, darling, trust me, darling
So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape
I don't wanna fake it
Wish I could erase it
Make your heart believe
But I'm a bad liar, bad liar
Now you know
Now you know
I'm a bad liar, bad liar
Now you know, you're free to go (go)
Did all my dreams never mean one thing?
Does happiness lie in a diamond ring?
Oh, I've been askin'
Oh, I've been askin' for problems, problems, problems
I wage my war, on the world inside
I take my gun to the enemy's side
Oh, I've been askin' for (trust me, darling)
Oh, I've been askin' for (trust me, darling)
Problems, problems, problems
So look me in the eyes
Tell me what you see
Perfect paradise
Tearing at the seams
I wish I could escape
I don't wanna fake it
Wish I could erase it
Make your heart believe
But I'm a bad liar, bad liar
Now you know
Now you know
That I'm a bad liar, bad liar
Now you know, you're free to go
I can't breathe, I can't be
I can't be what you want me to be
Believe me, this one time
Believe me
I'm a bad liar, bad liar
Now you know
Now you know
That I'm a bad liar, bad liar
Now you know, you're free to go
Oh
Please believe me
Please believe me"
