Song Name,Lyrics
"Paint It, Black","I see a red door
And I want it painted black
No colors anymore
I want them to turn black
I see the girls walk by
Dressed in their summer clothes
I have to turn my head
Until my darkness goes
I see a line of cars
And they're all painted black
With flowers and my love
Both never to come back
I've seen people turn their heads
And quickly look away
Like a newborn baby
It just happens everyday
I look inside myself
And see my heart is black
I see my red door
I must have it painted black
Maybe then, I'll fade away
And not have to face the facts
It's not easy facing up
When your whole world is black
No more will my green sea
Go turn a deeper blue
I could not foresee this thing
Happening to you
If I look hard enough
Into the setting sun
My love will laugh with me
Before the morning comes
I see a red door
And I want it painted black
No colors anymore
I want them to turn black
I see the girls walk by
Dressed in their summer clothes
I have to turn my head
Until my darkness goes
I wanna see it painted
Painted black
Black as night
Black as coal
I wanna see the sun
Blotted out from the sky
I wanna see it painted, painted, painted
Painted black, yeah"
Start Me Up - Remastered 2009,"If you start me up
If you start me up, I'll never stop
If you start me up
If you start me up, I'll never stop
I've been running hot
You got me wrecking gonna blow my top
If you start me up
If you start me up, I'll never stop
Never stop, never stop, never stop
You make a grown man cry
You make a grown man cry
You make a grown man cry
Spread out the oil, the gasoline
I walk smooth, ride in a mean, mean machine
Start it up
If you start me up
Kick on the starter give it all you got, you got, you got
I can't compete
With the riders in the other heats
If you rough it up
If you like it you can slide it up
Slide it up, slide it up, slide it up
Don't make a grown man cry
Don't make a grown man cry
Don't make a grown man cry
My eyes dilate, my lips won't wait
My hands are greasy, she's a mean, mean machine
Start it up
Start me up
Give it all you got
You got to never, never, never stop
Slide it up, whoo
Oh baby, just slide it up
Slide it up, slide it up, never, never, never
You make a grown man cry
You make a grown man cry
You make a grown man cry
Ride like the wind at double speed
I'll take you places that you've never, never seen
Start it up
Let me tell you we will never stop, never stop
Never, never, never stop
Start me up
Never stop, never stop
You, you, you make a grown man cry
You, you make a dead man come
You, you make a dead man come"
Gimme Shelter,"Ooh, a storm is threatening
My very life today
If I don't get some shelter
Ooh yeah I'm gonna fade away
War, children
It's just a shot away
It's just a shot away
War, children
It's just a shot away
It's just a shot away
Ooh, see the fire is sweepin'
Our streets today
Burns like a red coal carpet
Mad bull lost its way
War, children
It's just a shot away
It's just a shot away
War, children
It's just a shot away
It's just a shot away
Rape, murder, it's just a shot away
It's just a shot away
Rape, murder, yeah, it's just a shot away
It's just a shot away
Rape, murder, it's just a shot away
It's just a shot away
Mmm, a flood is threatening
My very life today
Gimme, gimme shelter
Or I'm gonna fade away
War, children
It's just a shot away
It's just a shot away
It's just a shot away
It's just a shot away
It's just a shot away
I tell you love, sister
It's just a kiss away
It's just a kiss away
It's just a kiss away
It's just a kiss away
It's just a kiss away
Kiss away, kiss away"
(I Can't Get No) Satisfaction - Mono Version,"I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no
When I'm driving in my car
When a man come on the radio
He's telling me more and more
About some useless information
Supposed to fire my imagination
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no
When I'm watchin' my TV
And a man comes on and tells me
How white my shirts can be
But, he can't be a man 'cause he doesn't smoke
The same cigarettes as me
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no satisfaction
I can't get no girl reaction
'Cause I try, and I try, and I try, and I try
I can't get no, I can't get no
When I'm ridin' 'round the world
And I'm doin' this and I'm signin' that
And I'm tryin' to make some girl, who tells me
Baby, better come back maybe next week
Can't you see I'm on a losing streak?
I can't get no, oh, no, no, no, hey, hey, hey
That's what I say
I can't get no, I can't get no
I can't get no satisfaction, no satisfaction
No satisfaction, no satisfaction
I can't get no"
Beast Of Burden - Remastered 1994,Unavailable
Angie,"Angie, Angie
When will those clouds all disappear?
Angie, Angie
Where will it lead us from here?
With no lovin' in our souls
And no money in our coats
You can't say we're satisfied
Angie, Angie
You can't say we never tried
Angie, you're beautiful, yeah
But ain't it time we said goodbye?
Angie, I still love you
Remember all those nights we cried?
All the dreams were held so close
Seemed to all go up in smoke
Let me whisper in your ear
Angie, Angie
Where will it lead us from here
Oh, Angie, don't you weep
Oh, your kisses still taste sweet
I hate that sadness in your eyes
But Angie, Angie
Ain't it time we said goodbye? Yeah
With no lovin' in our souls
And no money in our coats
You can't say we're satisfied
Angie, I still love you, baby
Everywhere I look, I see your eyes
There ain't a woman that comes close to you
Come on, baby, dry your eyes
Angie, Angie
Ain't it good to be alive?
Angie, Angie
They can't say we never tried"
Wild Horses - 2009 Mix,"Childhood living
Is easy to do
The things you wanted
I bought them for you
Graceless lady
You know who I am
You know I can't let you
Slide through my hands
Wild horses
Couldn't drag me away
Wild, wild horses
Couldn't drag me away
I watched you suffer
A dull aching pain
Now you've decided
To show me the same
No sweeping exit
Or offstage lines
Could make me feel bitter
Or treat you unkind
Wild horses
Couldn't drag me away
Wild, wild horses
Couldn't drag me away
I know I've dreamed you
A sin and a lie
I have my freedom
But I don't have much time
Faith has been broken
Tears must be cried
Let's do some living
After we die
Wild horses
Couldn't drag me away
Wild, wild horses
We'll ride them some day
Wild horses
Couldn't drag me away
Wild, wild horses
We'll ride them some day"
Sympathy For The Devil - 50th Anniversary Edition,"Please allow me to introduce myself
I'm a man of wealth and taste
I've been around for a long, long years
Stole million man's soul an faith
And I was 'round when Jesus Christ
Had his moment of doubt and pain
Made damn sure that Pilate
Washed his hands and sealed his fate
Pleased to meet you
Hope you guess my name
But what's puzzling you
Is the nature of my game
Stuck around St. Petersburg
When I saw it was a time for a change
Killed Tsar and his ministers
Anastasia screamed in vain
I rode a tank
Held a general's rank
When the blitzkrieg raged
And the bodies stank
Pleased to meet you
Hope you guess my name, oh yeah
Ah, what's puzzling you
Is the nature of my game, oh yeah
I watched with glee
While your kings and queens
Fought for ten decades
For the gods they made
I shouted out
Who killed the Kennedys?
When after all
It was you and me
Let me please introduce myself
I'm a man of wealth and taste
And I laid traps for troubadours
Who get killed before they reached Bombay
Pleased to meet you
Hope you guessed my name, oh yeah
But what's puzzling you
Is the nature of my game, oh yeah, get down, baby
Pleased to meet you
Hope you guessed my name, oh yeah
But what's confusing you
Is just the nature of my game
Just as every cop is a criminal
And all the sinners saints
As heads is tails
Just call me Lucifer
'Cause I'm in need of some restraint
So if you meet me
Have some courtesy
Have some sympathy, and some taste
Use all your well-learned politnesse
Or I'll lay your soul to waste, mm yeah
Pleased to meet you
Hope you guessed my name, mm yeah
But what's puzzling you
Is the nature of my game, mm mean it, get down
Woo, who
Oh yeah, get on down
Oh yeah
Aah yeah
Tell me baby, what's my name?
Tell me honey, can ya guess my name?
Tell me baby, what's my name?
I tell you one time, you're to blame
What's my name
Tell me, baby, what's my name?
Tell me, sweetie, what's my name?"
Miss You - Remastered,"I've been holdin' out so long
I've been sleepin' all alone
Lord, I miss you
I've been hanging on the phone
I've been sleeping all alone
I want to kiss you sometime
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
Well, I've been haunted in my sleep
You've been starrin' in my dreams
Lord, I miss you, child
I've been waitin' in the hall
Been waitin' on your call
Your phone rings
It's just some friends of mine that say
""Hey, what's the matter, man?
We're gonna come around at twelve
With some Puerto Rican girls that's just dyin' to meet you
We're gonna bring a case of wine
Hey, let's go mess and fool around
You know, like we used to""
Aah aah aah aah aah
Aah aah aah aah aah
Aah aah aah aah
Aah aah aah aah aah
Aah aah aah aah aah
Aah aah aah aah
Oh everybody waits so long
Oh baby, why you wait so long?
Won't you come on, come on
I've been walking Central Park
Singin' after dark
People think I'm crazy
Stumbling on my feet
Shuffling through the street
Asking people, ""What's the matter with you, boy?""
Sometimes I want to say to, to myself
Sometimes I say
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
Ooh ooh ooh ooh ooh
Ooh ooh ooh ooh ooh
I won't miss you, child
I guess I'm lying to myself
It's just you and no one else
Lord, I won't miss you, child
You've just been blottin' out my mind
Foolin' on my time
No, I won't miss you, baby, yeah
Lord, I miss you child
Aah aah aah aah aah
Aah aah aah aah aah
Aah aah aah aah
Lord, I miss you, child
Aah aah aah aah aah
Aah aah aah aah aah
Aah aah aah aah
Lord, I miss you, child
Aah aah aah aah aah
Aah aah aah aah aah
Aah aah aah aah"
Honky Tonk Women,"I met a gin-soaked, bar-room queen in Memphis
She tried to take me upstairs for a ride
She had to heave me right across her shoulder
'Cause I just can't seem to drink you off my mind
It's the honky tonk women
Gimme, gimme, gimme the honky tonk blues
I laid a divorcée in New York City
I had to put up some kind of a fight
The lady then she covered me with roses
She blew my nose and then she blew my mind
It's the honky tonk women
Gimme, gimme, gimme the honky tonk blues
It's the honky tonk women
Gimme, gimme, gimme the honky tonk blues
It's the honky tonk women
Gimme, gimme, gimme the honky tonk blues"
Jumpin' Jack Flash,"I was born in a cross-fire hurricane
And I howled at my ma in the driving rain
But it's all right now, in fact, it's a gas
But it's all right. I'm Jumpin' Jack Flash
It's a gas! Gas! Gas
I was raised by a toothless, bearded hag
I was schooled with a strap right across my back
But it's all right now, in fact, it's a gas
But it's all right, I'm Jumpin' Jack Flash
It's a gas! Gas! Gas
I was drowned, I was washed up and left for dead
I fell down to my feet and I saw they bled
I frowned at the crumbs of a crust of bread
Yeah, yeah, yeah
I was crowned with a spike right thru my head
But it's all right now, in fact, it's a gas
But it's all right, I'm Jumpin' Jack Flash
It's a gas! Gas! Gas
Jumping Jack Flash, it's a gas
Jumping Jack Flash, it's a gas
Jumping Jack Flash, it's a gas
Jumping Jack Flash, it's a gas
Jumping Jack Flash"
Brown Sugar - 2009 Remaster,Unavailable
Under My Thumb,"Under my thumb
The girl who once had me down
Under my thumb
The girl who once pushed me around
It's down to me
The difference in the clothes she wears
Down to me, the change has come
She's under my thumb
And ain't it the truth babe?
Under my thumb
It's a squirmin' dog who's just had her day
Under my thumb
A girl who has just changed her ways
It's down to me
Yes it is
The way she does just what she's told down to me
The change has come
She's under my thumb
Ah, ah, say it's alright
Under my thumb
Is a Siamese cat of a girl
Under my thumb
She's the sweetest, hm, pet in the world
It's down to me
The way she talks when she's spoken to
Down to me, the change has come
She's under my thumb
Ah, take it easy babe
Yeah
It's down to me, oh yeah
The way she talks when she's spoken to
Down to me, the change has come
She's under my thumb
Yeah, it feels alright
Under my thumb
Her eyes are just kept to herself
Under my thumb, well I
I can still look at someone else
It's down to me, oh, that's what I said
The way she talks when she's spoken to
Down to me, the change has come
She's under my thumb
Say, it's alright
Say it's all
Say it's all
Take it easy babe
Take it easy babe
Feels alright
Take it, take it easy babe"
Ruby Tuesday,"She would never say where she came from
Yesterday don't matter if it's gone
While the sun is bright
Or in the darkest night
No one knows, she comes and goes
Goodbye, Ruby Tuesday
Who could hang a name on you?
When you change with every new day
Still, I'm gonna miss you
Don't question why she needs to be so free
She'll tell you it's the only way to be
She just can't be chained
To a life where nothing's gained
And nothing's lost, at such a cost
Goodbye, Ruby Tuesday
Who could hang a name on you?
When you change with every new day
Still, I'm gonna miss you
""There's no time to lose, "" I heard her say
Catch your dreams before they slip away
Dying all the time
Lose your dreams and you will lose your mind
Ain't life unkind?
Goodbye, Ruby Tuesday
Who could hang a name on you?
When you change with every new day
Still, I'm gonna miss you
Goodbye, Ruby Tuesday
Who could hang a name on you?
When you change with every new day
Still, I'm gonna miss you"
