Song Name,Lyrics
Tomorrow Never Knows - Take 1,Unavailable
Taxman - 2022 Mix,"One, two, three, four
One, two (one, two, three, four)
Let me tell you how it will be
There's one for you, nineteen for me
'Cause I'm the taxman
Yeah, I'm the taxman
Should five percent appear too small
Be thankful I don't take it all
'Cause I'm the taxman
Yeah, I'm the taxman
I'll tax the street
(If you try to sit, sit) I'll tax your seat
(If you get too cold, cold) I'll tax the heat
(If you take a walk, walk) I'll tax your feet
(Taxman)
'Cause I'm the taxman
Yeah, I'm the taxman
Don't ask me what I want it for
(Ah, ah, Mr. Wilson)
If you don't want to pay some more
(Ah, ah, Mr. Heath)
'Cause I'm the taxman
Yeah, I'm the taxman
Now my advice for those who die (taxman)
Declare the pennies on your eyes (taxman)
'Cause I'm the taxman
Yeah, I'm the taxman
And you're working for no one but me (taxman)"
Here Comes The Sun - Remastered 2009,"Here comes the sun, doo-doo-doo-doo
Here comes the sun, and I say
It's alright
Little darlin', it's been a long, cold, lonely winter
Little darlin', it feels like years since it's been here
Here comes the sun, doo-doo-doo-doo
Here comes the sun, and I say
It's alright
Little darlin', the smile's returning to their faces
Little darlin', it seems like years since it's been here
Here comes the sun
Here comes the sun, and I say
It's alright
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Little darlin', I feel that ice is slowly melting
Little darlin', it seems like years since it's been clear
Here comes the sun, doo-doo-doo-doo
Here comes the sun, and I say
It's alright
Here comes the sun, doo-doo-doo-doo
Here comes the sun
It's alright
It's alright"
Yesterday - Remastered 2009,Unavailable
In My Life - Remastered 2009,"There are places I'll remember
All my life though some have changed
Some forever, not for better
Some have gone and some remain
All these places have their moments
With lovers and friends I still can recall
Some are dead and some are living
In my life I've loved them all
But of all these friends and lovers
There is no one compares with you
And these memories lose their meaning
When I think of love as something new
Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life I love you more
Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life I love you more
In my life I love you more"
Blackbird - Remastered 2009,"Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise
Blackbird singing in the dead of night
Take these sunken eyes and learn to see
All your life
You were only waiting for this moment to be free
Blackbird fly, blackbird fly
Into the light of a dark black night
Blackbird fly, blackbird fly
Into the light of a dark black night
Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise
You were only waiting for this moment to arise
You were only waiting for this moment to arise"
Let It Be - Remastered 2009,"When I find myself in times of trouble, Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness she is standing right in front of me
Speaking words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
And when the broken hearted people living in the world agree
There will be an answer, let it be
For though they may be parted, there is still a chance that they will see
There will be an answer, let it be
Let it be, let it be, let it be, let it be
There will be an answer, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be, be
And when the night is cloudy there is still a light that shines on me
Shinin' until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me
Speaking words of wisdom, let it be
And let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
And let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be"
Come Together - Remastered 2009,"Here come old flat top
He come grooving up slowly
He got joo joo eyeball
He one holy roller
He got hair down to his knee
Got to be a joker he just do what he please
He wear no shoe shine
He got toe jam football
He got monkey finger
He shoot Coca-Cola
He say I know you, you know me
One thing I can tell you is you got to be free
Come together, right now, over me
He bag production
He got walrus gumboot
He got Ono sideboard
He one spinal cracker
He got feet down below his knee
Hold you in his armchair you can feel his disease
Come together, right now, over me
He roller coaster
He got early warning
He got muddy water
He one mojo filter
He say, ""one and one and one is three""
Got to be good looking 'cause he's so hard to see
Come together, right now, over me
Oh
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Oh
Come together, yeah
Come together, yeah"
Norwegian Wood (This Bird Has Flown) - Remastered 2009,"I once had a girl
Or should I say she once had me
She showed me her room
Isn't it good Norwegian wood?
She asked me to stay
And she told me to sit anywhere
So I looked around
And I noticed there wasn't a chair
I sat on a rug biding my time
Drinking her wine
We talked until two and then she said
""It's time for bed""
She told me she worked
In the morning and started to laugh
I told her I didn't
And crawled off to sleep in the bath
And when I awoke I was alone
This bird had flown
So I lit a fire
Isn't it good Norwegian wood?"
Twist And Shout - Remastered 2009,"Well, shake it up, baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
Well, work it on out, honey
You know you look so good
You know you got me goin' now
Just like I knew you would
Well, shake it up, baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine, woo
Ah, ah, ah, ah, wow
Baby, now
Twist and shout
Come on, come on, come, come on, baby, now
Come on and work it on out
You know you twist, little girl
You know you twist so fine
Come on and twist a little closer now
And let me know that you're mine
Well, shake it, shake it, shake it, baby, now
Well, shake it, shake it, shake it, baby, now
Well, shake it, shake it, shake it, baby, now
Ah, ah, ah, ah"
I Want To Hold Your Hand - Remastered 2015,Unavailable
Something - Remastered 2009,Unavailable
You've Got To Hide Your Love Away - Remastered 2009,Unavailable
"Ob-La-Di, Ob-La-Da - Remastered 2009",Unavailable
All My Loving - Remastered 2009,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away, I'll write home everyday
And I'll send all my loving to you
I'll pretend that I'm kissing the lips I am missing
And hope that my dreams will come true
And then while I'm away, I'll write home everyday
And I'll send all my loving to you
All my loving I will send to you
All my loving
Darling, I'll be true
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away, I'll write home everyday
And I'll send all my loving to you
All my loving I will send to you
All my loving
Darling, I'll be true
All my loving
All my loving
Ooh
All my loving I will send to you"
Hey Jude - Remastered 2015,"Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her into your heart,
Then you can start to make it better.
Hey Jude, don't be afraid.
You were made to go out and get her.
The minute you let her under your skin,
Then you begin to make it better.
And anytime you feel the pain, hey Jude, refrain,
Don't carry the world upon your shoulders.
For well you know that it's a fool who plays it cool
By making his world a little colder.
Hey Jude, don't let me down.
You have found her, now go and get her.
Remember to let her into your heart,
Then you can start to make it better.
So let it out and let it in, hey Jude, begin,
You're waiting for someone to perform with.
And don't you know that it's just you, hey Jude, you'll do,
The movement you need is on your shoulder.
Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her under your skin,
Then you'll begin to make it
Better better better better better better, oh.
Na na na nananana, nannana, hey Jude...
(repeat X number of times, fade)"
Help! - Remastered 2009,"I need somebody
(Help) not just anybody
(Help) you know I need someone, help
So much younger than today
(I never need) I never needed anybody's help in any way
(Now) but now these days are gone (these days are gone)
I'm not so self assured
(And now I find) now I find I've changed my mind
And opened up the doors
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me
In oh so many ways
(My independ-) my independence seems to vanish in the haze
(But) but every now and then (now and then)
I feel so insecure
(I know that I) I know that I just need you like
I've never done before
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me
When I was younger, so much younger than today
I never needed anybody's help in any way
(Now) but now these days are gone (these days are gone)
I'm not so self assured
(And now I find) now I find I've changed my mind
And opened up the doors
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me, help me, help me, ooh"
While My Guitar Gently Weeps - Remastered 2009,Unavailable
And I Love Her - Remastered 2009,"I give her all my love
That's all I do
And if you saw my love
You'd love her too
I love her
She gives me everything
And tenderly
The kiss my lover brings
She brings to me
And I love her
A love like ours
Could never die
As long as I
Have you near me
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her"
Love Me Do - Remastered 2009,"Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa-oh, love me do
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa-oh, love me do
Someone to love
Somebody new
Someone to love
Someone like you
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa-oh, love me do
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa-oh, love me do
Yeah, love me do
Whoa-oh, love me do
Yeah, love me do"
Michelle - Remastered 2009,"Michelle, ma belle
These are words that go together well
My Michelle
Michelle, ma belle
Sont les mots qui vont tres bien ensemble
Tres bien ensemble
I love you, I love you, I love you
That's all I want to say
Until I find a way
I will say the only words I know that you'll understand
Michelle, ma belle
Sont les mots qui vont tres bien ensemble
Tres bien ensemble
I need to, I need to, I need to
I need to make you see
Oh, what you mean to me
Until I do, I'm hoping you will know what I mean
I love you
I want you, I want you, I want you
I think you know by now
I'll get to you somehow
Until I do, I'm telling you so you'll understand
Michelle, ma belle
Sont les mots qui vont tres bien ensemble
Tres bien ensemble
And I will say the only words I know that you'll understand
My Michelle"
Golden Slumbers - Remastered 2009,"Once there was a way
To get back homeward
Once there was a way
To get back home
Sleep, pretty darling
Do not cry
And I will sing a lullaby
Golden slumbers fill your eyes
Smiles awake you when you rise
Sleep, pretty darling
Do not cry
And I will sing a lullaby
Once there was a way
To get back homeward
Once there was a way
To get back home
Sleep, pretty darling
Do not cry
And I will sing a lullaby"
Eleanor Rigby - Remastered 2009,"Ah, look at all the lonely people
Ah, look at all the lonely people
Eleanor Rigby
Picks up the rice in the church where a wedding has been
Lives in a dream
Waits at the window
Wearing the face that she keeps in a jar by the door
Who is it for?
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?
Father McKenzie
Writing the words of a sermon that no one will hear
No one comes near
Look at him working
Darning his socks in the night when there's nobody there
What does he care?
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?
Ah, look at all the lonely people
Ah, look at all the lonely people
Eleanor Rigby
Died in the church and was buried along with her name
Nobody came
Father McKenzie
Wiping the dirt from his hands as he walks from the grave
No one was saved
All the lonely people (ah, look at all the lonely people)
Where do they all come from?
All the lonely people (ah, look at all the lonely people)
Where do they all belong?"
Can't Buy Me Love - Remastered 2009,"Can't buy me love, love
Can't buy me love, oh
I'll buy you a diamond ring, my friend
If it makes you feel all right
I'll get you anything, my friend
If it makes you feel all right
'Cause I don't care too much for money
But money can't buy me love
I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I got I'll give to you
I don't care too much for money
Money can't buy me love
Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no
Say you don't need no diamond rings
And I'll be satisfied
Tell me that you want the kind of things
That money just can't buy
I don't care too much for money
Money can't buy me love
Ah, woo!
Buy me love
Everybody tells me so
Can't buy me love
No, no, no, no
Say you don't need no diamond rings
And I'll be satisfied
Tell me that you want the kind of things
That money just can't buy
I don't care too much for money
Money can't buy me love
Can't buy me love, love
Can't buy me love, oh"
Ticket To Ride - Remastered 2009,Unavailable
Get Back - Remastered 2009,Unavailable
"Here, There And Everywhere - Remastered 2009","To lead a better life
I need my love to be here
Here
Making each day of the year
Changing my life with a wave of her hand
Nobody can deny that there's something there
There
Running my hands through her hair
Both of us thinking how good it can be
Someone is speaking, but she doesn't know he's there
I want here everywhere
And if she beside me I know I need never care
But to love her is to need her
Everywhere
Knowing that love is to share
Each one believing that love never dies
Watching her eyes, and hoping I'm always there
I want her everywhere
And if she's beside me I know I need never care
But to love her is to need her
Everywhere
Knowing that love is to share
Each one believing that love never dies
Watching her eyes and hoping I'm always there
I will be there
And everywhere
Here, there and everywhere"
I Saw Her Standing There - Remastered 2009,Unavailable
I Will - Remastered 2009,Unavailable
The Long And Winding Road - Remastered 2009,"The long and winding road
That leads to your door
Will never disappear
I've seen that road before
It always leads me here
Lead me to you door
The wild and windy night
That the rain washed away
Has left a pool of tears
Crying for the day
Why leave me standing here?
Let me know the way
Many times I've been alone
And many times I've cried
Anyway, you'll never know
The many ways I've tried
And still they lead me back
To the long winding road
You left me standing here
A long, long time ago
Don't leave me waiting here
Lead me to your door
But still they lead me back
To the long winding road
You left me standing here
A long, long time ago
Don't keep me waiting here
Lead me to your door
Yeah, yeah, yeah, yeah"
Day Tripper - Remastered 2015,"Got a good reason
For taking the easy way out
Got a good reason
For taking the easy way out now
She was a day tripper
One way ticket, yeah
It took me so long to find out
And I found out
She's a big teaser
She took me half the way there
She's a big teaser
She took me half the way there, now
She was a day tripper
One way ticket, yeah
It took me so long to find out
And I found out
Tried to please her
She only played one night stand
Tried to please her
She only played one night stand, now
She was a day tripper
Sunday driver, yeah
It took me so long to find out
And I found out
Day tripper, day tripper, yeah
Day tripper, day tripper, yeah
Day tripper"
Don't Let Me Down - Remastered 2009,"Don't let me down
Don't let me down
Don't let me down
Don't let me down
Nobody ever loved me like she does
Oh she does,
Yes she does
And if somebody loved me like she do
Oh she do me,
Yes she does
Don't let me down
Don't let me down
Don't let me down
Don't let me down
I'm in love for the first time
Don't you know it's gonna last
It's a love that lasts forever
It's a love that had no past
Don't let me down
Don't let me down
Don't let me down
Don't let me down
And from the first time that she really done me
Oh she done me,
She done me good
I guess nobody ever really done me
Oh she done me,
She done me good
Don't let me down
Don't let me down
Don't let me down
Don't let me down
I'm in love for the first time
Don't you know it's gonna last
It's a love that lasts forever
It's a love that had no past
Don't let me down
Don't let me down
Don't let me down
Don't let me down
Don't let me down"
Drive My Car - Remastered 2009,"Asked a girl what she wanted to be
She said, ""Baby, can't you see?
I wanna be famous, a star of the screen""
But you can do something in between
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you
I told that girl that my prospects were good
And she said, ""Baby, it's understood
Working for peanuts is all very fine
But I can show you a better time""
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you
Beep-beep, beep-beep, yeah
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you
I told that girl I can start right away
When she said, ""Listen, babe, I got somethin' to say
I got no car and it's breaking my heart
But I've found a driver and that's a start""
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you""
Beep-beep, beep-beep, yeah
Beep-beep, beep-beep, yeah
Beep-beep, beep-beep, yeah
Beep-beep, beep-beep, yeah"
I'll Follow The Sun - Remastered 2009,"One day you'll look
To see I've gone
For tomorrow may rain
So I'll follow the sun
Some day you'll know
I was the one
But tomorrow may rain
So I'll follow the sun
And now the time has come
And so, my love, I must go
And though I lose a friend
In the end, you will know, oh
One day you'll find
That I have gone
But tomorrow may rain
So I'll follow the sun
Yeah, tomorrow may rain
So I'll follow the sun
And now the time has come
And so, my love, I must go
And though I lose a friend
In the end, you will know, oh
One day you'll find
That I have gone
But tomorrow may rain
So I'll follow the sun"
