Song Name,Lyrics
Stairway to Heaven,"Climb up, way up high
Climb up, way up high
Climb up, way up high
Well a, well a, well a, heavenly angel
I want you for my girl
When I kissed your sweet, sweet lips
I knew that you were out of this world
I'll build a stairway to heaven
I'll climb to the highest star
I'll build a stairway to heaven
Cause heaven is where you are
Well a, well a, well a, over the rainbow
That's where I'm gonna climb
Way up high where the bluebirds fly
I'm gonna love you all the time
I'll build a stairway to heaven
I'll climb to the highest star
I'll build a stairway to heaven
Cause heaven is where you are
I'll build a stairway to heaven
I'll climb to the highest star
I'll build a stairway to heaven
Cause heaven is where you are
Well a, well a, well a, I gotta be going
Gonna leave the world behind
Every day in a heavenly way
You're gonna drive me outta my mind
I'll build a stairway to heaven
I'll climb to the highest star
I'll build a stairway to heaven
Cause heaven is where you are
I'll build a stairway to heaven
Cause heaven is where you are
Clim up, way up high
Clim up, way up high
Clim up, way up high..."
Calendar Girl,"I love, I love, I love my calender girl
Yeah, sweet calender girl
I love, I love, I love my calender girl
Each and every day of the year
You start the year off fine
(February) You're my little valentine
(March) I'm gonna march you down the aisle
(April) You're the Easter Bunny when you smile
Yeah, yeah, my heart's in a whirl
I love, I love, I love my little calender girl
Every day (Every day) Every day (Every day)
Of the year
(Every day of the year)
Maybe if I ask your dad and mom
(June) They'll let me take you to the Junior Prom
(July) Like a firecracker all aglow
(August) When you're on the beach you steal the show
Yeah, yeah, my heart's in a whirl
I love, I love, I love my little calender girl
Every day (Every day) Every day (Every day)
Of the year
(Every day of the year)
Yeah, yeah, my heart's in a whirl
I love, I love, I love my little calender girl
Every day (Every day) Every day (Every day)
Of the year
(Every day of the year)
I light the candles at your sweet sixteen
(October) Romeo and Juliet on Halloween
(November) I'll give thanks that you belong to me
(December) You're the present 'neath my Christmas tree
Yeah, yeah, my heart's in a whirl
I love, I love, I love my little calender girl
Every day (Every day) Every day (Every day)
Of the year
(Every day of the year)
I love, I love, I love my calender girl
Yeah, sweet calender girl
I love, I love, I love my calender girl"
"Old Hits Medley (The Way You Look Tonight, Theme from a Summer Place, When I Fall in Love)","Some day, when I'm awfully low
When the world is cold
I will feel a glow just thinking of you
And the way you look tonight
Yes you're lovely, with your smile so warm
And your cheeks so soft
There is nothing for me but to love you
And the way you look tonight
With each word your tenderness grows
Tearing my fear apart
And that laugh that wrinkles your nose
It touches my foolish heart
Lovely, never, ever change
Keep that breathless charm
Won't you please arrange it?
'Cause I love you
Just the way you look tonight
Mm, Mm, Mm, Mm,
Just the way you look tonight"
Breaking Up Is Hard to Do,"Do do do
Down dooby doo down down
Comma, comma, down dooby doo down down
Comma, comma, down dooby doo down down
Breaking up is hard to do
Don't take your love away from me
Don't you leave my heart in misery
If you go then I'll be blue
'Cause breaking up is hard to do
Remember when you held me tight
And you kissed me all through the night
Think of all that we've been through
And breaking up is hard to do
They say that breaking up is hard to do
Now I know
I know that it's true
Don't say that this is the end
Instead of breaking up I wish that we were making up again
I beg of you don't say goodbye
Can't we give our love another try?
Come on, baby, let's start anew
'Cause breaking up is hard to do
Now I know
I know that it's true
(Don't say that this is the end)
Instead of breaking up I wish that we were making up again
I beg of you don't say goodbye
Can't we give our love another try?
Come on, baby, let's start anew
'Cause breaking up is hard to do
Comma, comma, down dooby doo down down
Comma, comma, down dooby doo down down
Comma, comma, down dooby doo down down
Comma, comma, down dooby doo down"
If I Had a Hammer - 2004 Remaster,"If I had a hammer
I'd hammer in the morning
I'd hammer in the evening
All over this land
I'd hammer out danger
I'd hammer out a warning
I'd hammer out love between
My brothers and my sisters
All over this land, uh
If I had a bell
I'd ring it in the morning
I'd ring it in the evening
All over this land
I'd ring out danger
I'd ring out a warning
I'd ring out love between
My brothers and my sisters
All over this land, oh
If I had a song
I'd sing it in the morning
I'd sing it in the evening
All over this land
I'd sing out danger
I'd song of out a warning
I'd sing out love between
My brothers and my sisters
All over this land, oh
Well, I've got a hammer
And I've got a bell
And I've got a song to sing
All over this land
It's the hammer of justice
It's the bell of freedom
It's a song about love between
My brothers and my sisters
All over this land
It's a hammer of justice
It's a bell of freedom
It's a song about love between my brothers and my sisters
All over this land"
Surfin' Safari - Mono/Remastered 2001,"Let's go surfin' now
Everybody's learning how
Come on and safari with me
(Come on and safari with)
Early in the morning we'll be startin' out
Some honeys will be coming along
We're loading up our woody
With our boards inside
And headin' out singing our song
Come on (surfin') baby wait and see (surfin' safari)
Yes I'm gonna (surfin') take you surfin' (surfin' safari) with me
Come along (surfin') baby wait and see (surfin' safari)
Yes I'm gonna (surfin') take you surfin' (surfin' safari) with me
Let's go surfin' now
Everybody's learning how
Come on and safari with me
(Come on and safari with)
At huntington and malibu
They're shooting the pier
At rincon they're walking the nose
We're going on safari to the islands this year
So if you're coming get ready to go
Come on (surfin') baby wait and see (surfin' safari)
Yes I'm gonna (surfin') take you surfin' (surfin' safari) with me
Come along (surfin') baby wait and see (surfin' safari)
Yes I'm gonna (surfin') take you surfin' (surfin' safari) with me
Let's go surfin' now
Everybody's learning how
Come on and safari with me
(Come on and safari with)
They're anglin' in laguna in Cerro Azul
They're kicking out in dohini too
I tell you surfing's mighty wild
It's getting bigger every day
From Hawaii to the shores of Peru
Come on (surfin') baby wait and see (surfin' safari)
Yes I'm gonna (surfin') take you surfin' (surfin' safari) with me
Come along (surfin') baby wait and see (surfin' safari)
Yes I'm gonna (surfin') take you surfin' (surfin' safari) with me
Let's go surfin' now
Everybody's learning how
Come on and safari with me
(Come on and safari with)
With me
Surfin' safari
With me
Surfin' safari
With me
Surfin' safari
With me
Surfin' safari"
"Puff, the Magic Dragon","Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee
Little Jackie Paper loved that rascal Puff
And brought him strings and sealing wax and other fancy stuff
Oh, Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee
Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee
Together they would travel on a boat with billowed sail
Jackie kept a lookout perched on Puff's gigantic tail
Noble kings and princes would bow whene'er they came
Pirate ships would lower their flags when Puff roared out his name
Oh, Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee
Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee
A dragon lives forever, but not so little boys
Painted wings and giant's rings make way for other toys
One gray night it happened, Jackie Paper came no more
And Puff, that mighty dragon, he ceased his fearless roar
His head was bent in sorrow, green scales fell like rain
Puff no longer went to play along the cherry lane
Without his lifelong friend, Puff could not be brave
So Puff, that mighty dragon, sadly slipped into his cave
Oh, Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee
Puff the magic dragon lived by the sea
And frolicked in the autumn mist in a land called Honah Lee"
Blowin' in the Wind,"How many roads must a man walk down
Before they call him a man?
How many seas must a white dove sail
Before she sleeps in the sand?
How many times must the cannonballs fly
Before they're forever banned?
The answer, my friend, is blowing in the wind
The answer is blowing in the wind
How many years must a mountain exist
Before it is washed to the sea?
How many years can some people exist
Before they're allowed to be free?
How many times can a man turn his head
And pretend that he just doesn't see?
The answer, my friend, is blowing in the wind
The answer is blowing in the wind
How many times must a man look up
Before he can see the sky?
How many ears must one man have
Before he can hear people cry?
How many deaths will it take till he knows
That too many people have died?
The answer, my friend, is blowing in the wind
The answer is blowing in the wind"
Shut Down - 2021 Stereo Mix,"Tack it up, tack it up
Buddy, gonna shut you down
It happened on the strip where the road is wide
Two cool shorts standin' side by side
Yeah, my fuel injected Stingray and a four-thirteen
A revvin' up our engines and it sounds real mean
Tack it up, tack it up
Buddy, gonna shut you down
Declinin' numbers at an even rate
At the count of one we both accelerate
My stingray is light the slicks are startin' to spin
But the four-thirteen's really diggin' in
Gotta be cool now
Power shift, here we go
Superstock dodge is windin' out in low
But my fuel injected Stingray's really startin' to go
To get the traction I'm ridin' the clutch
My pressure plate's burnin, ' that machine's too much
Pedal's to the floor, hear the dual quads drink
And now the four-thirteen's lead is startin' to shrink
He's hot with ram induction but it's understood
I got a fuel-injected engine sittin' under my hood
Shut it off, shut it off
Buddy, now I shut you down
Shut it off, shut it off
Buddy, now I shut you down
Shut it off, shut it off
Buddy, now I shut you down
Shut it off, shut it off
Buddy, now I shut you down
Shut it off, shut it off
Buddy, now I shut you down"
She Loves You - Mono / Remastered,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah, yeah
You think you've lost your love
Well, I saw her yesterday
It's you she's thinkin' of
And she told me what to say
She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad
She said you hurt her so
She almost lost her mind
But now she says she knows
You're not the hurtin' kind
She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad, ooh
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
You know it's up to you
I think it's only fair
Pride can hurt you, too
Apologize to her
Because she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad, ooh
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
You know you should be glad
With a love like that
You know you should be glad
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah"
